"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.0086824,2.4485,-2.1964,-1.3363,1.7898,1.5513,-0.74242
-0.0086824,0.89335,-1.5611,-0.35676,-0.16347,-0.095416,-1.8124
-0.0086824,-0.45992,1.3287,0.90248,-2.1866,-1.5686,-1.2474
-0.0086824,1.3785,0.9155,1.6109,-0.79912,-1.7055,-0.087884
-0.0086824,1.1883,2.2603,1.5244,0.026656,-0.90529,0.21608
-0.0086824,-0.93801,0.57383,1.0599,0.03346,-0.25621,-0.05127
-0.0086824,-1.4705,-2.3031,0.6116,0.088638,-0.12142,-0.10179
-0.0086824,-1.002,-0.93539,0.19599,0.38586,-0.081408,0.084835
-0.0086824,-0.98914,-0.3829,-0.26015,0.28179,0.12291,0.22806
-0.0086824,-0.67745,2.6748,-0.65938,0.18914,0.24787,0.43266
-0.0086824,-0.51329,1.4044,-0.82839,0.13922,0.21608,1.1271
-0.0086824,0.029835,-1.8534,-0.70819,0.45652,0.35123,1.9569
-0.0086824,0.89994,-0.68197,-0.42007,0.31934,0.66652,1.6871
1.295,-0.074205,-0.063128,-0.091897,2.3775,2.1757,0.71582
0.97688,-0.074205,-0.063128,-0.091897,-0.52008,1.8824,0.081636
-0.11761,-0.074205,-0.063128,-0.091897,-2.612,-0.85108,-0.54887
-0.043288,-0.074205,-0.063128,-0.091897,-0.060119,-0.79432,0.43297
0.46161,-0.074205,-0.063128,-0.091897,-0.058847,0.7258,0.35572
-0.15731,-0.074205,-0.063128,-0.091897,-0.14527,0.82597,-0.088082
-1.5609,-0.074205,-0.063128,-0.091897,0.043159,0.94043,0.10772
-1.5187,-0.074205,-0.063128,-0.091897,0.011372,1.7007,-0.23169
-0.27137,-0.074205,-0.063128,-0.091897,0.015732,0.523,-0.85726
0.098791,-0.074205,-0.063128,-0.091897,0.045626,-1.0378,-0.74957
0.01877,-0.074205,-0.063128,-0.091897,-0.21378,-1.646,-0.168
0.46889,-0.074205,-0.063128,-0.091897,1.4611,-2.7422,0.62916
