"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.076386,3.1564,-1.317,-1.5448,2.4328,2.5604,0.075243
-0.076386,0.8516,-1.0314,-0.66067,-0.21468,-0.47643,-1.2471
-0.076386,-0.6417,1.0378,1.0761,-2.7755,-1.8215,-0.65171
-0.076386,1.7268,0.20207,2.1784,-0.18446,-1.9185,0.053802
-0.076386,1.2487,1.4154,1.3926,-0.1803,-1.2137,-0.067412
-0.076386,-1.024,0.41227,0.3842,0.05893,-0.19171,0.019984
-0.076386,-1.8388,-1.6054,1.7164,-0.14164,-0.27325,-0.064857
-0.076386,-0.98781,-0.1916,-0.19754,0.45952,-0.026843,-0.047246
-0.076386,-1.3411,-0.56492,-0.72718,0.047793,-0.021608,0.13644
-0.076386,-0.65279,1.7166,0.19605,0.21185,0.41598,0.23414
-0.076386,-0.67856,0.84901,-1.4978,-0.072724,0.18515,0.47378
-0.076386,9.1702e-05,-1.3242,-0.59602,0.35873,0.22264,1.1124
-0.076386,1.0795,-0.13884,-0.23169,0.45284,1.1163,0.76045
2.506,-0.10475,-0.043252,-0.081181,2.3581,1.0301,0.74946
0.97763,-0.10475,-0.043252,-0.081181,-0.56276,1.3226,0.063734
-0.97764,-0.10475,-0.043252,-0.081181,-2.5687,-0.77764,-0.82095
0.63449,-0.10475,-0.043252,-0.081181,0.2664,-0.17391,0.62836
-0.30719,-0.10475,-0.043252,-0.081181,-0.25587,0.2721,0.12213
0.78613,-0.10475,-0.043252,-0.081181,-0.14524,0.64753,-0.26951
-2.4201,-0.10475,-0.043252,-0.081181,-0.02592,0.32206,0.19221
-1.9601,-0.10475,-0.043252,-0.081181,-0.037208,1.0859,-0.084246
0.31993,-0.10475,-0.043252,-0.081181,-0.10104,0.40346,-0.62967
-0.22009,-0.10475,-0.043252,-0.081181,0.10546,-0.87096,-0.36725
-0.14266,-0.10475,-0.043252,-0.081181,-0.47252,-0.4082,-0.21345
0.39743,-0.10475,-0.043252,-0.081181,1.2912,-1.8892,0.39555
1.0948,-0.10475,-0.043252,-0.081181,0.8868,-0.36265,0.48901
5.1335,2.3905,-1.1314,-1.478,2.3059,0.072326,3.3185
1.6728,1.4075,-0.56088,-0.25178,-0.24694,0.072326,-1.8999
-4.1478,-0.33674,-0.63838,1.4899,-2.2843,0.072326,-3.8074
-0.38125,0.3661,1.0044,0.98652,0.025874,0.072326,-0.40791
