"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.070279,0.69935,2.9722,0.62387,1.1195,2.2028,1.1241,1.8479
0.051975,1.9818,0.71479,0.4679,1.1195,3.5595,1.8728,2.0327
0,2.1393,0,0.4679,1.3072,0.73752,1.1776,0.66526
0.092834,1.8243,0,1.2477,2.0789,0.35764,0.80321,0.18479
0.10337,1.8918,0,1.5597,2.6211,0.19483,0.5358,0.036959
0.081417,1.9368,0,2.0276,2.9548,0.41191,0.37535,0.036959
0.057108,2.0043,0.18174,2.4955,2.5168,0.57472,0.26839,0.11088
0.091548,1.3518,0.0012327,3.4313,2.7671,0.52045,0.26839,0.36959
0.03647,1.0593,6.0063e-07,2.4955,2.6211,1.1717,0.26839,0.40655
0.10635,0.81184,4.5896e-10,2.4955,2.204,0.84606,0.26839,0.59134
0.14727,0.60935,7.3212e-07,2.1836,2.058,0.84606,0.26839,1.2936
0.14987,0.42936,0.0022415,1.5597,1.4741,1.0631,0.48231,0.99788
0.058041,0.67685,2.9317,0.93581,0.80669,1.9857,0.69624,3.1045
0.90222,0.070581,2.8685,0,0.035046,1.8229,1.6054,1.3305
4.9508,0.088806,1.0007,0,0.035046,4.3735,2.4611,2.8828
2.3985,0.09483,0.071505,0,0.035046,1.4973,3.8517,1.9958
2.7065,0.072394,0,0,0.035046,0.41191,4.0121,0.66526
2.2224,0.068984,0,0,0.035046,0.14056,3.7447,0.51742
2.2664,0.062248,0,0,0.035046,0.086296,2.996,0.55438
2.4425,0.068485,0.036349,0,0.035046,0.2491,2.1937,0.66526
0.46216,0.076366,0.00098619,0,0.035046,0.14056,2.1403,0.48046
0.1101,0.093839,5.2658e-07,0,0.035046,0.086296,2.2472,0.48046
0.066095,0.070075,4.5356e-10,0,0.035046,0.086296,1.9798,0.33263
0.066095,0.053007,7.2416e-07,0,0.035046,0.086296,1.4985,0.51742
0.066095,0.069024,0.0022654,0,0.035046,0.086296,1.4985,0.4435
0.94623,0,2.8244,0,0.035046,1.8229,1.552,1.3305
1.4303,0.40686,2.8685,2.6515,1.4949,2.5284,0.10879,3.3263
5.919,1.8693,0.71479,1.2477,1.2864,3.8309,0.13017,3.0676
3.4546,2.2743,0,0.62387,1.5783,1.7686,0.046539,1.4414
2.1344,1.8693,0,1.0918,2.0997,0.9546,0.10556,0.88701
1.7824,1.6443,0,2.8074,2.3708,1.2259,0.089126,0.70221
1.1223,1.4193,0,1.4037,2.4543,0.90033,0.22351,0.48046
1.4303,1.5543,0.072697,0.93581,2.5794,1.0631,0.17527,0.59134
0.33014,0.94684,0.00096154,2.0276,2.5585,1.1717,0.088097,0.25871
0.1101,0.42936,5.1012e-07,2.8074,2.058,0.84606,0.14645,0.6283
0.066095,0.33936,4.2116e-10,1.0918,1.5783,0.41191,0,1.5153
0.066095,0.22687,7.0825e-07,1.0918,1.0987,0.19483,0.16926,2.7349
0.066095,0.15937,0.0022892,0.31194,0.6607,0.19483,0.093093,3.9546
1.5183,0.65435,2.7887,0,0.36873,1.8772,0.041036,4.509
0.7262,0.67685,2.8685,1.2477,0.018377,0.062302,1.1776,2.9567
3.4986,2.1393,1.0007,1.4037,0.039679,0.13634,2.3542,1.7371
1.9144,2.1168,0.14301,1.7157,0.040319,0.10381,1.3915,0.6283
0.85822,1.7343,0,1.7157,0.054296,0,0.91017,0.18479
0.46216,1.8918,0,1.0918,0.047793,0.12191,0.85669,0.036959
0.63818,2.0718,0,1.4037,0.032973,0.14131,0.42883,0.29567
0.59418,2.3868,0.25444,1.4037,0.061931,0.094164,0.2149,0.11088
0.19812,1.6443,0.0014546,2.3395,0.040142,0.086275,0.10794,0.22175
0.1101,0.92434,6.2531e-07,2.9634,0.017402,0.03655,0.10794,0.22175
0.066095,0.69935,4.9676e-10,2.8074,0.013112,0.13059,0.32187,0.51742
0.066095,0.49686,7.5599e-07,2.3395,0,0.0051505,0.26839,1.0348
0.066095,0.38436,0.0023608,1.7157,0.059329,0.067684,0.42883,1.2566
1.2543,0.60935,3.0747,1.0918,0.035117,0.012403,0.74972,2.698
0.90222,0.67685,2.6266,0.77984,1.3281,1.9314,1.8194,2.5501
0.1101,0.40686,0,0.62387,0.8484,0.35764,2.889,1.3305
0.066095,0.24937,0,0.4679,0.55643,0.086296,3.5843,0.70221
0.066095,0.24937,0,0.31194,0.2436,0.086296,3.1564,0.14783
0.066095,2.2968,0,0.15597,0.20189,0.14056,2.3542,0.073917
0.066095,5.0642,0,0,0.76498,0.086296,1.552,0
0.066095,5.7617,0,0.93581,1.4741,0.35764,1.0171,0.036959
0.066095,4.9067,0,2.0276,2.1206,0.57472,0.80321,0.036959
0.066095,3.9392,0,1.8716,2.204,0.46618,0.48231,0
0.066095,2.6568,0,2.8074,2.3291,0.84606,0.32187,0.11088
0.066095,1.9368,0,2.0276,2.4334,0.73752,0.2149,0
0.066095,1.0593,0,3.8992,2.4751,0.79179,0.32187,0.14783
0.066095,0.58685,0,4.0552,2.8296,1.4973,0.26839,0.22175
0.99024,0.60935,2.8685,1.2477,1.0778,2.2028,1.552,3.548
3.6306,1.8468,0.92923,0.77984,0.93182,5.1333,2.4077,3.3263
1.6943,1.6443,0.071505,0.93581,1.057,1.0631,2.3007,0.85005
1.0783,2.0043,0,0.77984,1.7243,0.52045,2.1937,0.14783
0.46216,2.1168,0,1.5597,2.2248,0.14056,1.552,0.036959
0.24212,2.0718,0,1.7157,2.7462,0.14056,0.69624,0.036959
0.63818,1.6893,0.21809,2.9634,2.9548,0.52045,0.64276,0.036959
0.1101,1.5993,0.0011341,3.8992,3.0173,0.57472,0.42883,0
0.1101,1.5093,6.2531e-07,2.8074,2.8922,0.68325,0.37535,0.36959
0.066095,1.3518,4.8596e-10,3.7432,2.4334,0.73752,0.32187,0.29567
0.066095,0.99184,7.6395e-07,2.1836,2.4125,1.0089,0.37535,0.6283
0.066095,0.69935,0.0023131,2.6515,2.5168,0.9546,0.42883,1.1827
1.0342,1.0368,2.8959,2.8074,2.2874,3.3967,0.58928,1.7001
0.85822,0.56435,2.8685,2.4955,0.89011,2.0942,1.6054,2.9567
3.4546,2.0268,1.1441,1.5597,0.93182,4.8077,3.1029,2.9197
1.4743,1.7568,0.35752,0.93581,1.5992,1.5516,2.4611,0.4435
0.81421,2.1168,0.071505,1.0918,2.3708,0.73752,1.9263,0.25871
0.59418,1.8693,0,2.0276,2.0371,0.35764,1.3915,0.036959
0.33014,2.4993,0,2.4955,2.2874,0.14056,0.96365,0.036959
0.37414,3.3317,0,2.1836,2.6837,0.2491,0.5358,0.036959
0.50616,2.5668,0,1.4037,2.7462,0.41191,0.37535,0.11088
0.59418,2.7918,0,1.8716,3.0591,0.73752,0.32187,0.11088
0.55017,1.9818,0,1.2477,3.0382,0.90033,0.16142,0.14783
0.50616,1.7793,0,1.5597,2.9339,0.9546,0.10794,0.22175
0.7262,1.6443,0,2.0276,3.0173,0.9546,0.10794,0.36959
0.7702,1.6218,0,3.4313,3.0799,1.3888,0.16142,0.29567
0.7262,0.38436,2.9722,1.0918,0.97353,2.2571,2.3542,2.4393
2.6185,1.9143,0.71457,0.77984,1.0152,3.6138,2.4611,1.4783
1.1223,1.6668,0.18373,0.77984,1.4949,1.1174,1.9798,0.22175
0.15411,1.5318,0.00098315,0.93581,1.9954,0.46618,1.2311,0.073917
0.066095,1.8018,4.627e-07,1.8716,2.4125,0.30337,0.80321,0.11088
0.066095,2.2968,2.0768e-10,0.93581,2.058,0.57472,0.42883,0.18479
0.066095,2.2518,7.8604e-14,1.7157,2.2874,0.35764,0.37535,0.14783
0.066095,1.7118,0,1.2477,2.3917,0.46618,0.26839,0.29567
0.066095,1.1718,8.5709e-14,2.0276,2.4334,0.52045,0.26839,0.14783
0.066095,0.76685,2.6017e-10,2.1836,2.0997,1.0631,0.26839,0.59134
0.066095,0.56435,7.8782e-07,2.1836,1.9954,0.73752,0.37535,0.6283
0.066095,0.33936,0.0023608,2.4955,1.7452,0.41191,0.58928,1.4783
1.1663,0.74435,3.0032,1.4037,1.4323,1.2802,1.1776,2.5871
0.99024,0.51935,2.6266,0.77984,1.057,1.8229,2.1403,2.3284
2.3544,1.8018,1.0722,0.77984,1.0361,3.5052,2.1937,1.8849
1.2983,1.8243,0.071482,1.0918,1.7452,0.90033,2.0333,0.66526
0.63818,2.0493,0.32982,1.2477,2.0789,0.57472,1.2311,0.18479
0.1101,2.2743,0.001078,1.7157,2.2874,0.52045,0.96365,0.073917
0.066095,1.4418,5.2707e-07,2.9634,2.204,0.57472,0.80321,0.11088
0.066095,1.1943,2.2049e-10,2.1836,2.4543,0.62899,0.5358,0.40655
0.066095,0.69935,8.038e-14,2.3395,2.3708,0.73752,0.64276,0.66526
0.066095,0.54185,8.1268e-14,2.0276,2.1623,0.79179,0.64276,0.66526
0.066095,0.38436,2.5486e-10,1.8716,1.8077,0.57472,1.0706,1.2936
0.066095,0.27186,7.6395e-07,1.0918,1.3072,0.14056,1.0171,2.2175
0.066095,0.27186,0.0023608,0.31194,0.95268,0.2491,2.0333,0.88701
0.59418,0.76685,3.1462,0.31194,0.61899,1.3345,2.6751,1.0348
0.94623,0.67685,3.0413,2.1836,1.3072,1.9314,1.338,1.5153
2.7065,1.9818,0.85775,1.7157,1.3072,3.2882,1.445,1.8849
1.2543,2.1393,0.14301,1.0918,1.8077,1.0089,1.2311,0.48046
0.94623,1.8468,0.071482,1.7157,2.1414,0.57472,1.0171,0.18479
0.59418,1.8918,0.21928,2.0276,2.3291,0.19483,0.64276,0.14783
0.24212,1.6218,0.001072,1.2477,2.7254,0.62899,0.69624,0.14783
0.066095,1.3968,5.1582e-07,2.1836,2.3708,0.73752,0.58928,0.22175
0.066095,1.1043,2.2759e-10,2.8074,2.496,1.0089,0.42883,0.33263
0.066095,0.72185,1.6032e-13,1.7157,2.0997,0.57472,0.64276,0.48046
0.066095,0.47436,2.4424e-10,1.7157,1.7243,0.73752,0.64276,1.0348
0.066095,0.36186,7.6395e-07,1.5597,1.3072,0.2491,0.85669,1.811
0.066095,0.27186,0.0023131,0.62387,1.0987,0.41191,1.2311,2.1066
0.7702,0.76685,3.0032,0.93581,0.68156,1.6601,2.1403,2.7349
0.55017,0.51935,2.8339,0.15597,0.51472,1.8772,4.44,0.33263
2.0464,1.8468,0.71479,0.15597,0.41044,2.854,3.9052,0.73917
0.7262,1.9593,0.071505,0.4679,0.8484,1.0089,2.4077,0.18479
0.50616,2.1618,0,0.62387,1.8286,0.41191,1.338,0.036959
0.63818,2.5668,0,0.4679,2.1623,0.14056,0.80321,0
0.46216,2.5668,0,0.62387,2.496,0.30337,0.58928,0.036959
0.28613,2.3193,0,0.93581,2.7254,0.62899,0.37535,0.073917
0.68219,2.0268,0,1.4037,2.6837,0.57472,0.26839,0.11088
0.59418,2.0718,0,2.3395,2.8088,0.90033,0.26839,0.18479
0.85822,1.8468,0.25235,2.3395,3.2259,0.79179,0.26839,0.18479
0.15411,1.1718,0.0010672,2.3395,2.7879,0.90033,0.32187,0.18479
0.066095,0.67685,0.0016937,3.4313,2.35,0.73752,0.26839,0.14783
0.7262,0.87934,2.6457,3.8992,2.5377,2.2028,0.26839,0.51742
