"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.4714,0.51759,2.3029,2.881,3.9957,2.8009,3.6747,0.54837,0.65885,1.3504
0.53887,1.1123,1.8288,1.2204,3.1709,1.2878,2.0292,0.72213,0.35811,2.7009
0.23726,1.7467,2.2352,0.14363,3.0986,1.774,2.008,1.0117,0.35811,2.9324
0.26987,2.0242,2.6416,0.071816,2.9478,2.4814,2.3326,1.1855,0.35811,2.1221
0.66348,2.3414,2.6416,0.071816,2.0304,3.0712,1.4871,1.0117,0.65885,1.3118
0.39112,2.3414,2.1675,0,5.2551,3.6067,2.3076,0.60629,0.20774,0.84884
0,2.0638,2.0997,0.10952,3.1827,4.7294,3.6663,0.66421,0.20774,0.88743
0.42255,1.4493,2.5061,0.00104,3.1698,2.1525,2.4,0.54837,0.20774,0.61734
0.40395,0.95371,2.0997,5.6192e-07,2.4901,0.42214,3.1675,0.49046,0.20774,0.57876
0.44145,0.7753,1.8965,4.4469e-10,2.8272,4.1992,2.4036,0.37462,0.20774,0.84884
0.30107,0.61671,2.032,7.1133e-07,3.4684,3.5817,1.321,0.43254,0.20774,1.1961
0.44176,0.41847,1.4224,0.0022034,3.3237,3.8085,3.513,0.60629,0.20774,1.4276
0.3201,0.25988,1.2192,2.9444,2.1353,3.5959,1.9632,0.54837,0.20774,2.9324
0.30065,0.023173,0,2.5686,1.5475,2.9617,2.9364,1.5909,2.764,1.389
0.48135,0.024931,0,1.2204,2.6265,2.8757,1.4452,1.9963,2.4633,2.6237
0.66205,0,0,0.28726,3.967,3.9855,3.3102,3.0967,2.9144,2.5465
0.48135,0.019382,0,0.071816,2.2616,4.1705,2.0471,3.6759,1.8618,1.7749
0.30065,0.035223,0,0,2.9935,3.0975,2.6707,4.4867,2.3129,1.4662
0.48135,0.051806,0,0,1.7928,3.8147,1.5985,4.0813,2.764,0.73309
1.0235,0.013301,0,0.21904,1.4991,2.4082,2.9046,3.2126,3.0648,0.42442
4.9989,0.0079856,0,0.00096572,2.8513,3.5481,3.235,1.9384,3.0648,0.57876
3.0112,0.0086097,0,5.5366e-07,2.5746,2.6022,2.7726,1.9963,3.5159,0.69451
2.8305,0.02198,0,4.3927e-10,4.594,1.4544,2.8078,1.9963,3.2151,1.0032
2.4691,0.043002,0,7.2731e-07,3.3101,2.2215,4.0736,2.0542,4.1173,1.1961
2.2884,0.02913,0,0.0022752,2.5862,3.5797,2.418,1.8225,3.967,1.1961
0.84275,0.03466,0,3.0522,2.2453,3.5818,1.3398,2.1121,3.3655,1.3118
0.48135,0.25988,0.94827,2.8463,2.2502,2.1013,2.3017,0.074381,0.131,4.36
0.84275,0.85459,0.8128,0.93327,2.7442,3.169,3.5643,0.13634,0.26849,5.6718
0.84275,1.5286,1.4224,0.071816,2.1194,2.382,4.6768,0.058646,0.1506,4.167
0.48135,1.5088,2.3029,0,2.6529,2.6649,1.8281,0.1122,0.44095,2.9324
0.48135,1.9251,2.2352,0,0.54776,4.0355,2.2944,0.073391,0.30072,1.9292
0.48135,2.0242,1.8965,0,2.9214,2.3307,3.65,0.072584,0,1.1189
0.48135,2.3017,1.7611,0.18253,1.9118,2.4178,2.2463,0.062671,0.39408,0.88743
3.734,1.9053,2.0997,0.00104,2.8999,3.8799,2.8012,0.032539,0.015259,0.92601
5.1796,1.3502,2.9125,5.8671e-07,1.5815,1.6582,1.8023,0.13804,0.264,0.92601
3.9147,0.95371,2.8448,4.5011e-10,2.5461,1.5612,2.0661,0.038453,0.26335,0.88743
2.6498,0.81494,2.032,7.2731e-07,3.3404,2.8148,2.2278,0.049934,0.34787,0.88743
1.927,0.53741,2.1675,0.0022992,3.641,4.1413,2.5553,0,0.14302,1.0418
1.0235,0.29952,1.4224,2.9444,1.5311,1.3396,2.1909,0.041405,0.052894,1.4662
0.48135,0.45811,1.6256,2.8463,2.2163,3.0722,1.969,0.49046,0.35811,2.0449
1.0235,0.79512,1.5579,1.4358,2.6431,2.0662,2.6485,0.72213,0.20774,3.704
0.66205,1.2114,2.032,0.21545,1.8973,2.3597,4.0797,1.1855,0.35811,2.9324
