"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.010942,1.9484,-0.54667,-0.68535,2.8067,0.67213,0.37454
0.010942,1.8623,-0.29796,0.60551,0.15561,0.19961,-1.4692
0.010942,0.34304,0.10104,1.5702,-2.9868,-0.47953,-2.0176
0.010942,-0.44046,0.53214,1.9655,-0.30856,-1.0636,-1.0699
0.010942,0.034404,0.96853,1.7671,-0.14624,-1.2897,-0.23973
0.010942,0.37913,1.2099,0.75841,0.17501,-1.1138,-0.14689
0.010942,-0.45768,1.0358,-0.26162,0.33161,-0.72525,-0.1933
0.010942,-1.4062,0.5568,-0.24723,0.11198,-0.37858,-0.082743
0.010942,-1.2628,0.036896,0.066329,-0.28966,-0.1992,0.11678
0.010942,-0.74027,-0.46059,-0.52749,-0.35155,-0.1311,0.34554
0.010942,-0.38244,-0.90419,-1.3413,-0.66757,-0.048389,0.5934
0.010942,0.27821,-1.0022,-1.049,1.2904,0.10276,0.88734
0.010942,0.89512,-0.55795,0.011884,1.1576,0.26573,0.90639
1.8814,-0.013739,0.062615,0.050251,2.4591,1.8244,1.8472
1.5867,-0.013739,0.062615,0.050251,-0.35559,-2.0709,1.3898
-0.023994,-0.013739,0.062615,0.050251,-2.7889,-3.6463,-0.4312
-0.2558,-0.013739,0.062615,0.050251,-0.41231,-0.19425,-0.29667
0.41823,-0.013739,0.062615,0.050251,0.02233,1.3125,0.32572
-0.071042,-0.013739,0.062615,0.050251,0.042924,1.6345,0.031443
-1.6903,-0.013739,0.062615,0.050251,0.074762,0.89771,-1.4205
-1.6515,-0.013739,0.062615,0.050251,-0.095981,-2.3767,-1.8317
-0.18383,-0.013739,0.062615,0.050251,-0.080081,-1.2576,-0.42581
0.14827,-0.013739,0.062615,0.050251,0.036924,2.2734,0.099341
-0.083459,-0.013739,0.062615,0.050251,-0.25802,2.4687,-0.042804
0.24572,-0.013739,0.062615,0.050251,1.3537,-1.7457,0.35653
0.6087,-0.013739,0.062615,0.050251,1.0851,-3.4141,0.59346
1.5169,1.7874,-0.9369,-2.2464,0.76752,-0.094628,2.3649
0.77858,1.3293,-0.60659,0.53257,-0.32858,-0.094628,-1.7659
-0.7762,-0.14364,0.55616,2.5247,-0.98862,-0.094628,-2.5583
-0.78495,0.0063821,1.4941,1.8617,-0.17812,-0.094628,-0.13988
-0.30043,0.57186,1.3347,0.44194,0.033989,-0.094628,-0.13143
-0.46327,-0.11244,0.67048,0.66627,-0.051162,-0.094628,0.13545
-0.65086,-1.266,0.17227,1.313,-0.017445,-0.094628,-0.54367
-0.36011,-1.3713,-0.22443,-1.2249,-0.0088039,-0.094628,-0.23564
-0.062416,-0.68387,-0.24941,-1.9181,-0.095109,-0.094628,0.488
-0.031886,-0.4194,-0.019944,0.37826,-0.14794,-0.094628,0.0015268
0.11581,-0.35136,-0.19898,-0.32971,-0.093218,-0.094628,0.48744
0.51747,0.16765,-0.45709,-2.6086,0.36243,-0.094628,2.3915
0.56173,0.69794,-0.22475,-1.3529,0.33653,-0.094628,1.1077
1.6046,1.8089,-0.49543,0.050251,-0.011386,-0.094628,1.9941
0.5807,1.5596,-0.1987,0.050251,-0.011386,-0.094628,-1.0306
-1.0701,0.62932,0.61024,0.050251,-0.011386,-0.094628,-2.514
-0.88301,-0.066764,1.5868,0.050251,-0.011386,-0.094628,-0.37407
-0.31567,-0.29768,1.9237,0.050251,-0.011386,-0.094628,-0.080591
-0.33514,-0.50821,1.2121,0.050251,-0.011386,-0.094628,-0.14102
-0.47457,-0.87649,-0.043576,0.050251,-0.011386,-0.094628,-0.08458
-0.37231,-1.0892,-1.0239,0.050251,-0.011386,-0.094628,-0.051191
-0.12905,-0.94531,-1.3006,0.050251,-0.011386,-0.094628,0.27745
-0.062135,-0.58844,-0.93089,0.050251,-0.011386,-0.094628,0.37327
0.14892,-0.16973,-0.36589,0.050251,-0.011386,-0.094628,0.56215
0.70084,0.2707,-0.069099,0.050251,-0.011386,-0.094628,2.0071
0.68435,0.60598,0.010013,0.050251,-0.011386,-0.094628,1.1753
-2.8912,-1.7882,-6.2004,-2.7449,-2.3678,0.37906,-2.2463
-2.8732,-1.7164,-3.7864,-2.7421,-2.8538,0.46747,-2.5429
-0.73181,-1.2503,0.33434,-1.3706,-0.10393,0.44812,-0.024089
0.12008,-0.74595,0.023269,-0.31349,0.42714,0.38672,1.7423
-0.070503,-0.40219,-0.0069065,-0.3139,-0.022254,0.3578,1.2369
-0.024695,-0.19149,0.14174,-0.57318,-0.35485,0.39805,0.463
0.052378,-0.041167,0.0096725,-0.37503,-0.27792,0.48296,0.33508
0.0036774,0.017449,0.087896,-0.01515,0.014174,0.54216,-0.14253
0.0013971,-0.073447,0.055317,0.083552,0.0062945,0.50388,-0.3805
0.021814,-0.23956,0.060542,0.034404,-0.019869,0.34016,0.18471
0.0024039,-0.29037,0.07101,0.03798,-0.013222,0.084429,0.70741
0.0019206,-0.11185,0.043668,0.058833,-0.027447,-0.18752,-0.14434
0.088018,0.20449,0.11977,0.072066,0.1086,-0.39819,-1.1992
2.9225,2.7007,-0.67081,-0.8296,1.9195,1.0667,0.99971
0.99394,1.9543,-0.31496,0.84843,0.2521,0.15376,-1.7428
-2.3472,-0.28241,0.20153,1.6934,-2.2271,-0.71768,-2.0884
-1.353,-0.54784,0.66325,1.4287,-0.31781,-0.96261,-0.41064
-0.091896,0.065494,1.5938,1.5085,0.21777,-0.9289,-0.066933
0.36435,-0.13344,2.2508,1.1703,0.20715,-0.66722,-0.083933
-0.39902,-0.93662,0.77075,-0.20557,-0.47819,-0.11465,0.14068
-0.60585,-1.2615,-1.3717,-0.69401,-0.73815,0.22238,-0.082727
-0.082645,-0.76956,-1.3968,-0.12241,-0.024712,-0.036216,0.25717
0.0011183,-0.38349,-0.77934,-0.64064,-0.13313,0.1053,0.90405
-0.07409,-0.31937,-0.83173,-1.9689,-0.37806,1.651,0.37644
0.69792,0.17563,-0.33204,-1.7023,1.2873,2.9321,1.5114
0.84763,0.80001,0.51582,0.063244,0.90406,1.7568,2.2838
0.81851,-4.6315e-05,-0.84273,-0.59351,3.4316,1.6057,0.54559
0.35281,0.017868,0.55966,0.42826,-0.35012,1.5717,-1.018
-0.63881,-0.015976,1.1296,1.4306,-3.5258,-1.8347,-1.7927
-0.47669,-0.016722,0.34591,1.8485,0.43839,-1.9012,-1.1369
-0.18867,-0.011989,0.058005,1.5335,-0.32742,-0.038906,-0.17653
-0.12115,-0.017759,0.70566,0.77024,-0.51419,-1.1577,0.13044
-0.00050302,-0.012864,1.7119,-0.012944,0.11577,-0.9456,-0.11918
0.023048,-0.013314,0.8188,-0.44364,0.0068365,-0.079933,-0.36722
-0.0043492,-0.013821,-1.0768,-0.31769,0.23728,-0.16771,-0.26981
0.0057589,-0.0086634,-1.2461,0.20918,0.24558,0.093289,-0.0483
-0.063587,-0.0093371,-0.28382,0.61643,-0.31445,-0.23674,-0.020077
0.0070385,-0.010201,0.88604,0.48045,-0.011409,-0.65931,-0.034909
0.17321,-0.017373,0.72898,-0.067829,0.4603,0.25476,0.11752
3.8356,2.8196,-0.043145,0.068117,2.6109,0.99113,0.095789
0.84388,1.6372,0.2022,0.63,0.34208,0.079453,-1.2288
-3.6592,-1.4668,0.54557,1.1377,-2.478,-0.78847,-1.5682
-0.74623,-0.99914,0.59848,1.3065,-0.48362,-1.0423,-0.56378
-0.14764,-0.67946,0.33352,0.98124,-0.098566,-0.71557,0.22652
0.055097,-0.67168,-0.083267,0.21975,0.10522,-0.28053,0.2086
-0.006824,-0.30246,-0.52753,-0.70394,-0.13714,-0.11301,0.15158
0.025349,-0.23493,-0.82423,-1.4078,-0.62793,-0.13296,0.35986
-0.016925,-0.30544,-0.80692,-1.6157,-0.23191,0.085094,0.5362
0.086474,-0.20732,-0.48346,-1.3239,-0.067541,0.81567,0.66313
-0.2197,-0.058343,-0.044689,-0.75786,-0.24517,1.765,0.94364
0.87645,0.41916,0.30701,-0.17524,1.1905,2.2279,1.0373
0.88094,0.67475,0.48519,0.27902,1.1008,1.7298,0.34982
2.6264,2.9554,-0.16747,-1.3013,0.73097,0.27516,1.5315
0.73875,2.1306,0.18265,0.51598,-0.13992,-0.019118,-1.0334
-2.1185,0.14275,0.4757,1.9815,-0.8118,-0.35896,-2.0079
-1.3239,-1.3651,0.99729,1.3958,-0.48799,-0.54633,-0.52138
-0.52612,-1.5458,1.3535,0.13137,-0.19431,-0.50226,-0.13512
-0.11338,-0.9295,0.60648,-0.014925,-0.19326,-0.29884,0.0036211
0.017376,-0.39277,-0.30945,0.28764,-0.19089,-0.042758,0.55124
0.0035588,-0.20514,-0.22729,-0.41944,-0.2361,0.25552,0.67738
0.033893,-0.20859,-0.20306,-1.7547,-0.27448,0.65933,0.94066
-0.034106,-0.24844,-0.86674,-2.074,-0.16696,1.1408,0.63706
-0.032242,-0.12515,-1.289,-1.1491,0.17896,1.4816,0.23326
0.80716,0.3107,-0.90479,-0.42868,0.59849,1.4025,1.1246
0.80152,0.7923,0.058316,-0.27968,0.489,0.81814,0.80089
3.6651,1.1933,-1.2043,-0.061137,2.6674,1.2377,0.41675
1.019,1.102,-0.8691,0.57273,0.15487,-0.18175,-1.333
-2.7267,0.41638,1.2075,1.172,-2.7692,-1.317,-1.6884
-0.32463,-0.38895,2.2501,1.5082,-0.1152,-1.1342,-0.53471
-0.76548,-0.93356,1.5146,1.4389,0.29166,-0.60735,-0.074338
-0.8652,-1.0802,-0.47368,0.96402,0.023561,-0.57296,-0.16359
-0.066543,-0.87592,-1.9057,0.22061,-0.094569,-0.42316,0.088362
-0.099277,-0.55006,-1.4328,-0.57289,-0.22309,0.12515,0.54622
0.015504,-0.32886,-0.34878,-1.1966,-0.62787,0.45191,0.70438
0.090969,-0.17707,0.41582,-1.502,-0.19971,0.75711,0.28597
-0.25964,0.087874,-0.071836,-1.4494,-0.18035,1.5885,0.46772
0.97567,0.43556,-0.83811,-1.1,1.2656,2.0555,1.6455
1.359,0.60467,-0.045391,-0.57952,0.87811,1.0883,1.3199
1.8286,4.2177,-0.38876,-0.042691,1.9508,-0.043003,0.69016
0.82632,3.3816,-0.29189,0.47636,-0.057843,-0.52142,-1.2174
-1.2779,-2.2379,0.092785,0.94768,-2.2296,-0.88344,-2.0606
-0.97864,-0.46307,0.78735,1.2551,-0.38649,-1.0076,-1.1646
-0.12244,-0.26574,1.0539,1.3373,-0.071696,-0.94033,-0.16746
0.16885,1.1092,0.32427,1.1828,-0.088672,-0.82912,0.02194
-0.28959,1.455,-0.56215,0.82597,-0.02187,-0.73982,-0.12072
-0.39978,-0.96262,-0.33409,0.35631,-0.13687,-0.58074,-0.17112
-0.079959,-0.53871,0.99061,-0.08852,0.22954,-0.2624,-0.14188
-0.36614,-1.1635,1.9867,-0.37716,0.52265,0.098438,-0.15792
-0.45884,-1.3895,1.413,-0.45603,-0.54566,0.23436,-0.030714
0.1549,-0.5434,-0.095851,-0.37359,1.649,0.025019,0.42445
0.61977,0.23912,-0.9962,-0.23331,1.1301,-0.32963,0.68919
