"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.062827,2.4752,-1.795,-2.0672,2.2585,0.56894,0.51123
-0.062827,1.317,0.073555,1.3244,0.095816,0.097585,-1.1039
-0.062827,-0.20775,0.85098,1.2443,-2.5454,-0.61184,-1.2224
-0.062827,0.10605,-0.67516,1.282,-0.19802,-1.2356,-0.67369
-0.062827,-0.69203,0.91933,1.9495,-0.18599,-1.4793,-0.22155
-0.062827,0.78168,1.4508,0.62255,0.094903,-1.2891,-0.14217
-0.062827,-0.54763,0.27345,-0.41971,0.21687,-0.87305,-0.20719
-0.062827,-1.4901,0.8022,-0.28904,0.044284,-0.50979,-0.037054
-0.062827,-0.96522,-0.62277,0.32266,-0.28905,-0.32839,-0.09941
-0.062827,-0.56064,-0.034245,-0.54102,-0.30207,-0.25817,0.24278
-0.062827,-0.56134,0.026179,-1.2014,-0.6429,-0.16417,0.24108
-0.062827,0.075441,-2.2812,-1.1421,1.0294,-0.0019159,0.44802
-0.062827,1.0418,0.40412,0.60519,0.84526,0.15803,0.51706
4.1113,-0.090069,0.019986,0.038476,2.6435,0.99197,5.0426
2.8875,-0.090069,0.019986,0.038476,-0.42171,-1.4045,2.6798
-0.98691,-0.090069,0.019986,0.038476,-2.9079,-2.3249,-2.4122
0.40456,-0.090069,0.019986,0.038476,-0.033624,-0.2287,1.0798
-0.38248,-0.090069,0.019986,0.038476,-0.18443,0.60247,-0.69009
1.0043,-0.090069,0.019986,0.038476,0.051492,0.75993,1.039
-3.8064,-0.090069,0.019986,0.038476,-0.00070283,0.44015,-2.5175
-3.336,-0.090069,0.019986,0.038476,-0.10637,-1.6229,-4.2319
0.47305,-0.090069,0.019986,0.038476,-0.20073,-0.87175,0.46835
-0.49697,-0.090069,0.019986,0.038476,0.15367,1.1617,-0.2788
0.13871,-0.090069,0.019986,0.038476,-0.52945,1.314,-0.19101
0.040011,-0.090069,0.019986,0.038476,1.2849,-1.1843,0.76212
1.4507,-0.090069,0.019986,0.038476,1.0554,-2.1717,1.0235
2.05,2.8953,-1.0043,-2.001,1.65,-0.21466,1.7675
0.6725,1.1688,-0.32573,0.63773,-0.62262,-0.21466,-1.3963
-1.5361,-1.179,-0.051631,1.6526,-1.8438,-0.21466,-1.8705
-0.11074,0.7531,1.5002,1.3145,0.27913,-0.21466,-0.10134
-0.28523,-0.040828,0.7903,0.40495,-0.066723,-0.21466,-0.21915
-0.29128,0.27335,-0.36488,0.26073,-0.14833,-0.21466,0.10825
-0.74336,-1.4977,0.84586,1.1763,-0.052173,-0.21466,-0.49544
-0.16501,-1.4316,-0.43505,-1.0247,-0.0056069,-0.21466,-0.19327
-0.11416,-0.35809,-0.6327,-1.3016,-0.20681,-0.21466,0.27259
-0.022222,-0.59581,0.62181,0.27491,-0.13101,-0.21466,-0.030544
-0.20076,-0.38693,-0.12506,-0.16905,-0.41715,-0.21466,0.24389
0.38198,-0.020753,-0.84139,-1.9223,0.57399,-0.21466,1.6894
0.51536,0.79976,0.31763,-0.82327,0.53381,-0.21466,0.68385
2.1275,2.319,0.2195,0.038476,-0.057941,-0.21466,1.5174
0.43952,1.2051,-0.72273,0.038476,-0.057941,-0.21466,-0.80673
-1.7439,0.27851,0.60272,0.038476,-0.057941,-0.21466,-1.6572
0.039198,0.082497,1.2712,0.038476,-0.057941,-0.21466,0.02871
-0.49773,-0.62432,2.0168,0.038476,-0.057941,-0.21466,-0.3451
-0.175,-0.089619,1.747,0.038476,-0.057941,-0.21466,0.011926
-0.42805,-1.3398,-1.4529,0.038476,-0.057941,-0.21466,-0.20678
-0.3617,-0.84826,-0.068172,0.038476,-0.057941,-0.21466,-0.024942
-0.097658,-1.0458,-1.0516,0.038476,-0.057941,-0.21466,0.0087497
-0.0064232,-0.56036,-2.2827,0.038476,-0.057941,-0.21466,0.27116
-0.25825,-0.19831,1.0121,0.038476,-0.057941,-0.21466,0.095962
0.53901,-0.082697,-0.089333,0.038476,-0.057941,-0.21466,1.1258
0.65385,1.0261,-1.4055,0.038476,-0.057941,-0.21466,0.72758
-0.45763,-0.38178,-1.0518,-0.54582,-0.6559,2.7535,-0.86189
-0.53518,-0.39076,-1.2782,-0.57067,-1.2014,1.1048,-0.99867
-0.019514,-0.30463,0.22921,-0.26876,0.1873,0.23617,0.018911
-0.1695,-0.21031,-0.097484,-0.03428,-0.11156,0.77073,0.46988
-0.012025,-0.15664,0.082356,-0.042446,0.062602,1.2412,0.40482
-0.090112,-0.12701,-0.013372,-0.09984,-0.23951,1.5619,-0.1183
-0.047634,-0.09661,0.038114,-0.049858,-0.12843,-0.75582,0.25798
-0.071616,-0.079213,0.0096962,0.026157,-0.03666,2.349,-0.30311
-0.057259,-0.097417,0.02662,0.042496,-0.065208,1.3348,-0.086816
-0.067189,-0.13335,0.01426,0.035037,-0.058007,0.68882,-0.099048
-0.057991,-0.14123,0.027457,0.037914,-0.050515,0.0047521,0.17258
-0.07067,-0.10352,0.0058831,0.039054,-0.079259,-0.94748,0.034068
-0.042065,-0.050184,0.061249,0.044287,0.0084081,0.27411,-0.78348
2.657,3.5775,-1.6452,-0.64696,2.3605,0.9051,0.78293
0.65295,1.7173,0.18467,0.64361,0.24616,-0.24234,-1.3198
-2.2145,-0.89554,-0.1382,2.3124,-2.6624,-0.60021,-1.4119
-0.65095,-0.016841,0.94805,1.2449,0.058419,-0.6508,-0.32062
-0.37615,-0.46444,1.0439,1.8385,-0.0042972,-0.87092,-0.13118
0.44274,0.14201,2.4356,1.4113,0.27754,-0.49736,-0.079423
-0.51156,-1.1773,2.0157,-0.43654,-0.5366,-0.21697,-0.011533
-0.47691,-1.2838,-3.4591,-0.65964,-0.82822,-0.11684,-0.045292
-0.12594,-0.84377,-0.48539,-0.31745,0.014167,-0.027952,0.020529
-0.0038241,-0.36328,-0.5254,-0.51453,-0.098418,-0.16173,0.63686
-0.23673,-0.43614,-1.5907,-2.4862,-0.63063,0.74788,0.13258
0.45137,-0.031561,-0.12656,-1.8352,1.2264,2.0228,0.94196
0.66322,1.0235,0.69452,-0.013661,1.3447,0.36657,1.4942
1.5061,0.035246,-1.0023,-1.2759,3.4378,0.39632,1.4682
0.60234,0.2407,0.50476,0.17131,-0.38827,0.55503,-1.1439
-1.5692,-0.25722,0.85961,2.2331,-3.6502,-0.98574,-1.2976
-0.25872,-0.082294,-0.3435,0.99145,0.57436,-0.96956,-0.1296
-0.2045,-0.041066,0.43875,2.0928,-0.436,-0.1511,-0.51763
-0.30236,-0.16339,-0.22218,0.45572,-0.54244,-0.70047,0.22051
0.011741,-0.052951,1.205,-0.34626,0.086409,-0.54294,-0.18122
-0.030556,-0.090254,0.6999,0.458,-0.056299,-0.21574,-0.2701
-0.15764,-0.11489,-1.2434,-1.2093,0.18422,-0.24515,-0.30417
0.049591,-0.035743,-0.081592,0.25474,0.20773,-0.13999,0.064856
-0.23202,-0.085517,-0.59167,0.96958,-0.37262,-0.25884,-0.10318
-0.12175,-0.04776,0.68241,0.78587,-0.062476,-0.4759,-0.21276
0.20816,-0.11409,0.59727,-1.3369,0.42072,-0.031616,0.17985
2.5421,3.9638,-0.3759,-1.582,2.6261,2.4605,1.5032
0.5152,1.7742,-0.48472,0.83199,0.24822,-0.37935,-1.6146
-2.6214,-2.6111,1.3627,1.8925,-2.5555,-1.3867,-1.7368
-0.40496,-0.23303,-0.23159,0.5878,-0.034358,-1.0541,0.16745
-0.21501,-1.1678,0.19315,0.3846,-0.33815,-1.0693,-0.11098
-0.0070247,-0.6346,0.27973,1.3252,0.14289,-0.70035,0.086644
-0.09034,-0.39,-0.67355,-1.0143,-0.15773,-0.078683,0.061403
-0.03995,-0.25772,-0.25608,-1.9566,-0.62098,-0.061505,0.32142
-0.099802,-0.47761,-0.76797,-0.82829,-0.24114,-0.38803,0.21501
0.018784,-0.18433,-0.20014,-1.7262,0.010083,1.2307,0.76723
-0.26187,-0.22467,0.036868,-0.29025,-0.45354,2.1388,0.24314
0.52301,0.3228,0.13585,-0.34056,1.0395,2.7064,1.1496
0.50789,0.79517,0.35451,0.1552,1.0015,2.312,0.17048
2.4604,2.5246,-0.22735,-1.6496,2.2804,1.3367,1.339
0.42121,1.5135,0.14077,0.69076,-0.48228,-0.42282,-0.97797
-2.043,0.06091,0.56093,1.9383,-2.039,-0.82137,-1.6255
-0.50612,-1.1128,-0.34943,1.5166,0.50311,-0.62913,-0.43672
-0.67813,-1.5391,1.4761,0.0167,-0.52029,-1.2415,-0.18662
0.01544,-0.61486,0.70929,0.010562,-0.30903,-0.71239,-0.042595
-0.13647,-0.56854,-1.4824,0.34879,-0.094654,0.2868,0.38862
-0.015406,-0.1482,0.66617,-0.60541,-0.28626,0.15674,0.49419
-0.11796,-0.34094,0.11332,-1.5708,-0.47155,1.2137,0.64817
0.037435,-0.17465,-1.0204,-2.4361,0.0093386,1.9456,0.54448
-0.28415,-0.24716,-0.3321,-0.97423,-0.36021,2.4392,0.0085409
0.55895,0.13324,-0.73795,-0.56723,0.95844,3.3002,0.97113
0.61982,0.69561,-0.079142,-0.084052,0.84153,-0.46914,0.38738
2.4405,3.0799,-0.89346,-1.3734,2.5268,1.7219,1.3218
0.59128,0.95227,-1.699,0.87281,0.11689,-0.57964,-1.6344
-1.9947,-0.93695,2.0605,1.4075,-2.7617,-1.4227,-1.4937
-0.060102,0.66913,1.1512,1.3952,-0.036305,-1.272,-0.057381
-0.67599,-1.3228,1.4969,0.98705,0.21554,-0.86405,-0.45016
-0.57191,-1.1931,-0.021651,1.2166,-0.030435,-0.50265,-0.011118
-0.11426,-0.8072,-2.6888,0.61919,-0.13561,-0.84122,-0.061874
-0.12803,-0.46613,-0.092554,-1.3448,-0.23219,0.22808,0.44267
-0.07915,-0.37248,-1.1393,-0.68255,-0.65308,0.3197,0.36005
0.026338,-0.11449,0.73648,-1.6293,-0.19309,0.59459,0.54126
-0.27544,-0.40281,0.30669,-1.4644,-0.2806,1.6337,-0.20628
0.53567,0.44542,-1.6218,-0.89505,1.1747,2.0205,1.5168
0.87225,1.0699,0.65531,-0.92563,0.73481,0.98829,1.2019
2.1424,2.319,-0.49399,-0.52731,1.6696,-0.18228,1.0917
0.70025,2.0566,-0.303,0.1777,-0.082462,-0.47744,-1.0465
-1.808,-1.5482,0.042671,1.2824,-1.9938,-0.70193,-1.2295
-0.22851,-0.26639,0.36898,1.4514,-0.19252,-0.77979,-0.42443
-0.43809,-0.29827,1.7642,0.4736,-0.134,-0.73744,-0.29821
0.37674,0.60112,0.57117,0.57026,-0.11735,-0.66691,0.0058547
-0.41317,0.81856,-1.8565,1.8647,-0.051705,-0.61221,-0.15784
-0.51847,-0.70381,0.8946,0.13725,-0.17085,-0.51638,-0.10745
0.16788,-0.36889,-0.42891,-0.67695,0.090549,-0.31972,-0.24689
-0.43864,-0.80316,3.2148,-0.22453,0.50222,-0.094082,0.021784
-0.50136,-0.90812,2.0401,-0.32178,-0.72277,-0.010042,-0.2333
0.0878,-0.41797,-1.5825,0.078396,1.4048,-0.14232,0.15893
0.46642,0.093041,0.054968,-1.1103,0.83863,-0.35851,0.45945
