"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.056921,0.64226,2.8024,1.0028,0.96377,1.8263,0.74006,1.4401
0.027811,2.4338,0.83799,0.83566,0.77146,4.0972,1.0526,1.4667
0.059225,2.9918,0.069858,0.16713,1.1775,1.6482,1.0786,0.7067
0.027991,2.1401,0,1.3371,1.3698,1.0248,0.70099,0.21334
0.0069233,2.5807,0,1.1699,1.8399,0.8022,0.57078,0.080004
0.027406,2.3457,0,1.6713,2.2245,0.66862,0.42755,0.25335
0.045645,2.4044,0.28409,3.1755,2.2886,1.0248,0.2192,0.12001
0,1.8758,0.00093939,2.507,2.4168,0.98031,0.1541,0
0.02122,1.4059,5.2248e-07,3.0084,2.5023,0.8022,0.10201,0.053336
0.032857,0.90659,4.5367e-10,2.3398,2.4595,1.2029,0.10201,0.06667
0.034329,0.58352,7.2303e-07,3.0084,2.1176,0.8022,0.14107,0.36002
0.030885,0.49541,0.0021899,2.0056,1.7758,0.57956,0.20618,0.49336
0.032641,0.78911,2.934,2.3398,1.3698,1.6037,0.28431,1.1067
0.78567,0.001671,2.8362,0,0.023585,1.3365,2.9667,2.0534
4.1502,0.046534,1.257,0,0.023585,4.4089,3.0969,4.6535
4.3232,0.046795,0.27943,0,0.023585,1.0694,3.5657,4.8802
4.304,0.031352,0,0,0.023585,0.3124,3.4746,4.8536
4.2848,0.068967,0,0,0.023585,0.089761,3.4876,4.3202
4.8039,0.032299,0,0,0.023585,0.089761,3.5006,4.3335
3.7464,0.017534,0.14205,0,0.023585,0.13429,3.3443,4.6936
0.51651,0.041579,0.001108,0,0.023585,0.089761,3.2662,2.1334
0.055089,0.010029,5.466e-07,0,0.023585,0.089761,3.3834,1.6401
0.035863,0,4.4311e-10,0,0.023585,0.089761,3.2402,1.5067
0.035863,0.036756,7.0748e-07,0,0.023585,0.089761,3.2532,1.3201
0.035863,0.040615,0.0021899,0,0.023585,0.089761,2.8365,1.4801
0.72799,0.0072576,2.7943,0,0.023585,1.2475,2.7714,1.8668
0.82412,0.64226,2.87,1.1699,0.92104,2.0044,0.034992,1.1067
2.5352,2.8744,1.1872,0.83566,0.75009,3.9637,0.033891,1.4134
1.9777,2.4044,0,1.8384,1.1133,1.292,0,0.60003
1.3048,2.1695,0,1.3371,1.6475,1.1584,0.015488,0.40002
0.74722,2.4632,0,1.5042,1.9681,0.98031,0.0022734,0.33335
0.67031,2.3751,0,2.3398,2.3741,0.93578,0.026471,0.18668
0.53573,2.5513,0.21307,3.0084,2.951,0.98031,0.023185,0.13334
0.11277,1.7877,0.0012766,1.8384,3.0151,0.98031,0.030409,0.053336
0.035863,1.0241,6.2698e-07,1.5042,2.6518,0.66862,0.024272,0.026668
0.035863,0.64226,4.6422e-10,2.507,2.3954,0.66862,0.020835,0.093338
0.035863,0.43667,7.3081e-07,2.1727,1.8185,0.3124,0.03284,0.32001
0.035863,0.20172,0.0023064,2.6741,1.6903,0.40145,0.027642,0.56003
0.61264,0.67163,2.7594,2.3398,1.4339,2.3161,0.031118,1.1467
0.67031,0.96533,2.9375,0.83566,0,0.067709,0.023882,1.0934
2.7082,2.3163,1.1872,0.66853,0.011279,0.10489,0.023882,1.4001
1.5739,2.3457,0.069858,0.83566,0.046663,0.10891,0.023882,0.46669
0.74722,2.61,0,1.0028,0.0040003,0.04205,0.023882,0.29335
0.47806,2.7275,0,2.0056,0.040322,0.045035,0.023882,0.16001
0.57419,2.61,0,1.6713,0.050693,0.11515,0.023882,0.080004
0.49728,2.3457,0.035511,2.0056,0.0053813,0.098705,0.023882,0.053336
0.15122,1.7583,0.0012525,2.3398,0.053357,0,0.023882,0.10667
0.035863,1.0241,6.0287e-07,2.8412,0.03419,0.1224,0.023882,0.093338
0.035863,0.701,4.4311e-10,2.507,0.020421,0.11246,0.023882,0.24001
0.035863,0.4073,7.0748e-07,2.0056,0.054514,0.0097885,0.023882,0.33335
0.035863,0.20172,0.0022132,0.83566,0.016672,0.1384,0.023882,0.73337
0.8049,0.73037,2.8991,0,0.00018963,0.12854,0.023882,1.2134
0.63186,0.78911,2.87,2.507,1.2202,1.5146,0.32337,1.1867
0.13199,0.49541,0,1.1699,0.92104,0.49051,0.59682,0.7467
0.055089,0.37793,0,0.66853,0.60052,0.17882,0.88329,0.64003
0.035863,0.26045,0,0.16713,0.42957,0.26787,1.1958,0.76004
0.035863,0.20172,0,0.16713,0.32274,0.13429,1.3781,1.0801
0.035863,0.14298,0,0.16713,0.23726,0.13429,1.6646,1.2267
0.035863,0.11361,0,0,0.10906,0.089761,1.8078,1.3067
0.035863,0.084237,0,0,0.066321,0.089761,2.0162,1.4534
0.035863,0.054867,0,0,0.023585,0.089761,2.2896,1.0934
0.035863,0.054867,0,0,0.023585,0.089761,2.5761,1.6134
0.035863,0.054867,0,0,0.023585,0.089761,2.7063,1.8001
0.035863,0.025497,0,0,0.023585,0.089761,2.7323,1.7467
0.035863,0.025497,0,0,0.023585,0.089761,2.6672,1.4934
0.8049,0.84785,2.8362,0.83566,1.0492,2.0044,0.20618,1.0534
2.2084,2.845,0.6285,0.83566,1.1133,4.1863,0.27129,0.89337
1.2086,2.3163,0,0.83566,2.0108,1.9154,0.19316,0.26668
