"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.11141,0.56298,0.82272,2.7839,2.795,4.3886,3.7308,1.9072,1.464,0.70478
0.10861,1.2774,1.0126,0.98304,2.7775,2.0402,1.976,2.2288,0.25455,1.2036
0.1692,2.2299,0.94929,0,1.8301,3.0118,1.9806,0.48349,2.0407,1.0518
0.19901,2.4151,2.1517,0,2.1506,3.0347,2.8792,3.0379,2.8764,0.71563
0.18081,2.6268,2.2783,0,4.6716,5.4365,2.7335,1.3209,2.4575,0.43371
0.099734,2.5739,2.7846,0,4.6702,3.7102,1.7485,2.7193,4.9129,0.33613
0.073341,2.7062,2.8479,0.071413,2.8375,4.2788,1.746,1.8111,1.9327,0.19517
0,2.0976,3.3542,0.00084768,2.7402,2.9931,0.74576,2.0664,1.9331,0.0759
0.14959,1.5684,3.1643,5.6577e-07,1.8785,3.9629,2.6221,3.4704,2.5573,0.0759
0.15055,1.198,2.5314,4.4555e-10,2.6024,4.2759,3.5176,1.6354,2.9197,0.14096
0.048287,0.85403,2.4049,7.1919e-07,2.8831,5.3465,2.3974,3.0934,2.5009,0.19517
0.095051,0.6159,1.6454,0.002202,3.2393,4.6186,2.8609,2.4191,1.0301,0.52045
0.12775,0.35131,1.0759,2.915,3.2928,2.4615,3.9716,2.8964,3.3214,0.73731
0.42559,0.06276,0,2.9197,2.861,3.476,3.6547,1.9144,2.5528,2.3637
0.8986,0.041198,0,1.1235,2.5331,4.258,1.8326,2.882,3.654,3.0794
1.2665,0.025493,0,0.14048,2.0966,3.7404,3.0944,1.748,2.6044,4.2287
1.6344,0.026186,0,0,1.3375,4.3186,4.4229,4.1892,1.9814,4.8034
1.6344,0,0,0,3.4894,3.1756,5.0078,4.0299,3.116,5.1937
2.4227,0.020226,0,0,1.8975,4.4324,3.266,2.939,1.8997,5.1829
2.633,0.043044,0,0.035707,2.0018,3.5717,3.6928,2.3637,3.5616,4.7383
7.1529,0.078848,0,0.0010414,2.225,3.0591,2.8247,3.3517,4.2155,3.86
6.2068,0.044174,0,5.7385e-07,1.4235,3.8073,1.2146,1.7,3.4901,2.8733
5.1031,0.020732,0,4.2434e-10,3.1277,4.063,3.5505,1.9387,3.2147,2.3963
3.3162,0.038713,0,7.1137e-07,0.6665,3.1168,3.7962,4.4469,0.9251,2.0927
2.4753,0.057159,0,0.0021785,2.5057,3.67,2.042,2.4946,2.8915,2.1035
0.63581,0.020293,0,2.9853,3.2037,1.9454,2.4546,2.1296,3.1939,1.9951
0.26792,0.40423,0.75943,2.7839,2.0839,5.3952,1.1552,1.9834,3.2046,0.95417
0.32047,1.3568,0.75943,0.98304,3.6686,1.7156,3.2189,2.3848,1.8085,1.5397
0.1628,2.4416,1.0759,0.070242,3.3723,3.4388,0,2.3851,4.9274,1.1602
