"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.0062208,4.6421,-1.5119,-1.2474,5.2205,0.59392,0.021912
0.01004,2.1209,-0.9454,0.24416,1.243,0.26124,-1.2626
0.040071,-0.52479,0.94276,1.634,-2.8056,-0.38454,-1.6129
-0.00081358,-0.40028,1.8868,1.0238,-1.7046,-0.63895,-0.34787
-0.057608,0.34674,0.1875,0.75264,0,-0.42368,-0.094861
-0.010629,0.28449,-0.0013204,0.92213,0.31962,-0.20842,-0.11432
0.032352,-1.1162,0.75394,0.75264,0.17757,-0.11057,-0.21163
-0.0025922,-1.6142,-0.0013204,0.71874,-0.035513,-0.091004,-0.055937
-0.011499,-1.0539,0.56513,-0.29821,-0.49719,0.026412,0.46954
-0.012761,-0.61817,1.3204,-1.7558,-0.71027,0.18297,0.85879
-0.015114,-0.30691,-1.7007,-1.9931,-0.5327,0.39823,1.3843
-0.0095102,0.22223,-3.2112,-1.6202,0.92335,1.2201,1.1702
0.71829,-0.22309,-1.5119,-2.366,1.0654,4.1164,0.83933
4.337,-0.57166,-0.56777,-1.688,1.314,3.2945,3.3694
3.8216,-0.069941,-0.0013204,-0.027024,-0.31962,0.0068424,3.7781
0.067335,0.014836,-0.0013204,-0.027024,-2.2729,-0.36498,0.8004
0.14205,0.041434,-0.0013204,-0.027024,-0.88783,0.026412,0.35277
0.011301,-0.086026,-0.0013204,-0.027024,-0.31962,0.31995,0.56685
-1.0347,-0.054716,-0.0013204,-0.027024,-0.071027,0.24167,-0.46464
-3.6869,-0.013517,-0.0013204,-0.027024,0,0.30038,-3.7927
-3.6122,-0.067028,-0.0013204,-0.027024,-0.035513,-0.14971,-3.8316
-0.73582,-0.026981,-0.0013204,-0.027024,-0.071027,-0.091004,-0.46464
-0.082089,0.0060919,-0.0013204,-0.027024,-0.035513,-0.11057,0.19707
-0.026055,-0.029868,-0.0013204,-0.027024,-0.035513,-0.58024,-0.075399
0.47825,-0.0073979,-0.0013204,-0.027024,1.314,0.1634,0.37223
0.53429,0.68144,1.5092,1.2272,1.1719,-4.2948,-0.75658
1.9725,2.8373,1.3204,1.0916,1.314,-4.7459,-0.99012
1.2627,1.6229,-0.9454,0.54925,0,0.025997,-0.69819
-1.2775,-0.49366,-0.75659,1.4984,-1.9532,-0.01816,-1.3015
-1.072,-0.089025,0.56513,1.3289,-0.5327,0.048991,-0.54249
-0.21284,-0.33803,1.8868,1.0577,-0.24859,0.019803,-0.21163
0.23544,-0.55591,1.8868,0.68484,-0.17757,-0.041657,0.060836
-0.84789,-0.92943,0.94276,-0.23041,0.21308,-0.042201,-0.2311
-0.99731,-0.92943,-0.19014,-0.4338,-0.28411,0.05396,0.021912
-0.1568,-0.68042,0.1875,-0.5016,-0.49719,0.064836,0.58632
-0.0073773,-0.55591,-0.75659,-0.84058,-0.071027,-0.045695,0.43062
-0.0073773,-0.33803,-2.2671,-1.1796,-0.17757,-0.025799,0.45008
0.55296,0.31561,-0.75659,-1.4847,1.243,-0.0032825,0.91717
0.47825,0.22223,-0.56777,-1.8596,-0.28003,0.020354,1.1896
1.9538,1.5918,-0.9454,-1.2612,-1.619,0.025554,0.60578
1.3374,2.1832,-0.19014,-0.13772,0.0081532,0.0068424,-1.3794
-1.651,-0.36916,0.56513,-0.014505,-0.056803,0.0068424,-1.7881
-0.97864,-0.71154,0.94276,0.033923,-0.063275,0.0068424,-0.58142
-0.044733,0.28449,1.1316,-0.080545,0.0021053,0.0068424,-0.25056
-0.082089,0.12886,1.5092,0.0046049,-0.014029,0.0068424,-0.15325
-0.7545,-0.8983,0.1875,-0.051439,-0.092252,0.0068424,-0.094861
-0.79185,-1.1784,-0.37895,-0.038365,-0.064554,0.0068424,0.099761
-0.10077,-0.86717,0.1875,0.056742,0.005157,0.0068424,0.60578
-0.0073773,-0.7738,-0.9454,-0.075265,0.07988,0.0068424,0.39169
-0.0073773,-0.46254,-0.75659,0.00051758,-0.076184,0.0068424,0.25546
0.53429,-0.12015,-0.56777,0.025288,-0.14484,0.0068424,1.1118
0.59032,0.40899,-0.19014,1.1951,1.6949,1.2984,1.5205
-0.47433,0.19111,0.56513,0.78009,0.2301,2.2769,0.099761
-0.60507,-0.36916,-0.56777,-0.70499,-1.7402,1.3963,-0.27002
-0.082089,-0.30691,-1.323,-0.4677,-0.24859,0.61349,0.11922
-0.0073773,-0.15128,-0.56777,-0.4338,-0.035513,0.35909,-0.094861
-0.0073773,-0.12015,-0.19014,-0.26431,-0.035513,0.51565,0.62524
-0.0073773,-0.089025,-0.37895,-0.027024,0,1.0832,-0.13379
-0.0073773,-0.057899,-0.19014,-0.12872,-0.035513,0.31995,-0.54249
-0.0073773,-0.057899,-0.0013204,-0.16262,-0.071027,-0.34541,0.54739
-0.0073773,-0.026773,-0.0013204,-0.060922,-0.071027,0.18297,0.45008
