"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.037594,3.84,-0.39004,-0.60006,3.4445,0.953,0.084664
-0.020733,2.5097,-0.94596,0.29846,-0.16927,0.52049,-0.94017
-0.049941,-0.34087,0.53647,0.87609,-2.3852,-0.52146,-1.6176
-0.021934,-0.46756,1.0924,0.97236,-0.68064,-0.75737,-0.80121
0.04791,0.19757,0.35117,1.2612,-0.30563,-0.4035,0.067294
-0.037787,-0.21418,2.2042,0.65145,0.13756,-0.52146,0.067294
-0.0091893,-0.53091,0.90708,0.26637,0.20574,-0.4035,-0.31485
0.024616,-1.101,-0.20474,0.29846,-0.20336,-0.16759,-0.071667
-0.049982,-1.0694,-0.20474,0.04174,0.13756,-0.069289,0.10203
-0.030972,-0.91099,-0.019437,-0.60006,-0.0329,0.068327,0.41469
-0.010274,-0.46756,-0.39004,-1.0493,-0.51018,0.16662,0.57102
0.0087093,0.19757,-0.76065,-1.1456,0.58075,0.2256,0.98791
0.75754,-0.48291,-2.2431,-2.6538,0.54666,4.1771,2.0475
4.0723,-0.87189,-2.6137,-2.0441,2.1149,4.2558,4.6356
3.4943,-0.072152,-0.019437,-0.022441,-0.23745,0.91368,3.6976
0.14431,-0.01658,-0.019437,-0.022441,-3.1693,0.57947,0.27573
-0.046023,-0.0053685,-0.019437,-0.022441,-0.78292,-0.10861,-0.71436
0.48692,0.011928,-0.019437,-0.022441,-0.20336,0.048667,-0.66225
-0.5409,-0.054264,-0.019437,-0.022441,0.001192,-0.2069,0.50154
-4.2525,-0.054251,-0.019437,-0.022441,-0.0329,-0.34452,-2.8509
-3.6624,-0.0021884,-0.019437,-0.022441,-0.066991,0.068327,-3.9626
-0.4838,-0.05782,-0.019437,-0.022441,-0.0329,-0.02997,-0.80121
-0.026989,-0.019464,-0.019437,-0.022441,-0.0329,-0.18725,-0.4017
-0.0079554,0.0067474,-0.019437,-0.022441,-0.0329,-0.60009,-0.019556
0.67726,-0.05539,-0.019437,-0.022441,0.85348,-0.71805,0.72736
0.77243,0.6545,1.2777,1.3253,1.433,-4.2134,-0.47118
1.7812,3.0641,0.90708,1.0686,2.0467,-4.1308,-0.5754
1.1341,1.8762,0.72178,0.26637,-0.57837,0.0097422,-0.64488
-1.2261,-0.7843,0.53647,1.3253,-2.1807,-0.01325,-1.3049
-1.2261,0.039204,-0.39004,1.2612,-0.27154,0.013797,-0.33222
-0.63607,0.19757,1.0924,1.0686,-0.20336,0.065402,-0.26274
-0.21733,0.070877,1.6483,1.4537,-0.0329,-0.028784,-0.24537
-0.55993,-0.6576,-0.57535,0.94027,0.001192,-0.068237,-0.15852
