"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.03803,0.49395,2.7831,1.0127,0.85222,1.5899,0.40736,1.229
0.059997,2.5119,0.62416,0.16878,0.76876,3.2547,0.52415,1.2427
0.02994,2.1902,0,0.67513,1.2904,1.2961,0.52415,0.69646
0,1.927,0,1.0127,1.7494,1.1982,0.48522,0.50527
0.052761,2.3365,0,1.6878,1.9998,1.0023,0.43331,0.43699
0.013511,2.5412,0,1.6878,2.0832,0.90436,0.26462,0.28678
0.051787,2.7751,0.14107,2.0254,2.2084,0.65954,0.1608,0.20484
0.023067,1.6345,0.0011004,2.1942,2.2502,1.1982,0.082945,0.06828
0.051912,1.0496,5.5081e-07,2.5317,2.4588,0.75747,0.095922,0.027312
0.026682,0.66943,4.7673e-10,1.6878,2.0624,0.70851,0.095922,0.20484
0.031619,0.37697,7.2576e-07,0.84391,1.7911,0.51265,0.17378,0.77839
0.029262,0.28923,0.0022211,0.84391,1.1026,0.16989,0.58903,0.88764
0.059766,0.8449,3.0178,0.16878,0.72703,1.6388,0.80963,1.2973
0.70506,0.089398,2.8502,0,0.038496,1.9816,2.8859,2.1303
4.0184,0.096174,1.2483,0,0.038496,3.2547,2.7821,4.1514
4.2354,0,0.20813,0,0.038496,1.2471,2.9248,4.643
4.2354,0.063492,0,0,0.038496,0.31679,3.2881,4.7796
3.979,0.066127,0,0,0.038496,0.071962,3.1065,4.7659
4.8665,0.046905,0,0,0.038496,0.071962,2.9248,4.7113
4.2748,0.084554,0.14107,0,0.038496,0.071962,3.2233,4.329
0.80367,0.042434,0.00088507,0,0.038496,0.071962,3.2103,2.3761
0.11338,0.087227,4.5502e-07,0,0.038496,0.071962,3.4828,1.9118
0.034495,0.058306,3.9291e-10,0,0.038496,0.071962,3.0935,1.7753
0.034495,0.07399,6.7172e-07,0,0.038496,0.071962,2.9897,1.3929
0.034495,0.087823,0.0021517,0,0.038496,0.071962,3.2103,1.5295
0.88256,0.034081,2.9138,0,0.038496,1.9326,2.8859,2.2259
0.50783,0.81566,2.9172,0.67513,0.72703,1.345,0.048547,1.3656
2.559,2.6289,0.90156,0.67513,0.64358,3.9402,0,1.707
1.4742,2.7459,0.2775,0.67513,1.0191,1.9326,0.012663,0.57355
0.70506,2.6874,0.069376,1.0127,1.353,1.5899,0.033678,0.16387
0.40922,2.7459,0.069376,1.1815,2.0415,0.80644,0.028371,0.095592
0.567,2.4534,0,1.8566,2.2919,0.95333,0.029619,0.095592
0.68534,2.2487,0.1058,3.3756,2.7301,0.8554,0.035421,0.081936
0.13311,1.5761,0.0011482,2.8693,2.9178,1.0023,0.035185,0.06828
0.054217,1.1666,5.7476e-07,3.0381,2.9178,0.95333,0.034314,0
0.034495,0.72792,4.5053e-10,2.1942,2.7092,0.8554,0.040053,0.27312
0.034495,0.37697,7.1032e-07,3.3756,2.125,0.90436,0.022696,0.36871
0.034495,0.31848,0.0022211,2.1942,1.4573,0.12093,0.030713,0.83302
0.94173,0.66943,3.0525,1.519,1.2069,1.7857,0.043989,1.4612
0.82339,0.43546,2.716,0.33756,0,0.1484,0.031039,1.4202
2.7167,2.3657,1.179,0.50635,0.053607,0.074949,0.031039,1.6387
1.6912,2.0147,0.13875,0.33756,0.029415,0.067211,0.031039,0.75108
1.5137,1.8685,0.069376,0.67513,0.0096509,0.076589,0.031039,0.50527
1.0403,2.3657,0,0.67513,0.031077,0.042035,0.031039,0.27312
1.3953,2.6289,0,2.1942,0.046353,0.099923,0.031039,0.19118
1.0601,2.6289,0.1058,1.6878,0.050971,0.051406,0.031039,0.06828
0.15283,1.7515,0.0011243,1.8566,0.051532,0.064126,0.031039,0.040968
0.034495,1.2251,5.9072e-07,3.0381,0.03254,0,0.031039,0.081936
0.034495,0.78641,4.5053e-10,2.8693,0.071472,0.027503,0.031039,0.10925
0.034495,0.40621,7.026e-07,2.1942,0.017824,0.06534,0.031039,0.16387
0.034495,0.23074,0.0022211,1.6878,0.02496,0.023596,0.031039,0.49162
0.40922,0.55244,3.0872,1.8566,0.068807,0.079569,0.031039,1.1608
0.46839,0.61094,2.8837,1.3503,0.89395,1.394,0.83558,1.8709
0.093662,0.40621,0,0.50635,0.64358,0.41472,1.3157,0.88764
0.034495,0.28923,0,0.33756,0.37233,0.21886,1.7699,1.229
0.034495,0.23074,0,0,0.24714,0.12093,1.9905,1.4339
0.034495,0.17224,0,0,0.12196,0.12093,2.1073,1.5295
0.034495,0.143,0,0.16878,0.12196,0.071962,2.1332,1.7616
0.034495,0.084507,0,0.16878,0.080226,0.071962,2.3798,1.5841
0.034495,0.055261,0,0,0.059361,0.12093,2.6782,1.707
0.034495,0.055261,0,0,0.038496,0.071962,2.8859,1.9118
0.034495,0.055261,0,0,0.038496,0.071962,2.7821,1.8299
0.034495,0.055261,0,0,0.038496,0.071962,2.6134,1.4748
0.034495,0.055261,0,0,0.038496,0.071962,2.9378,1.7207
0.034495,0.055261,0,0,0.038496,0.071962,2.8988,1.6251
0.70506,0.66943,2.8166,0.67513,0.89395,1.7368,0.7707,1.6114
2.6181,2.4534,1.1096,0.67513,0.89395,3.9402,0.88749,1.4612
1.5137,2.3072,0.069376,0.50635,1.5199,2.0306,0.51117,0.66914
1.0009,2.044,0,2.363,1.9372,0.90436,0.40736,0.19118
0.78395,2.2195,0,1.6878,2.4797,1.0023,0.25164,0.13656
0.7445,2.044,0,2.1942,2.6466,0.70851,0.18676,0.19118
0.68534,2.3949,0,2.1942,2.584,1.1982,0.1089,0.20484
0.11338,1.6053,0.00098075,3.2069,2.5214,1.0513,0.082945,0.13656
0.034495,0.81566,5.2686e-07,3.2069,2.8344,1.0513,0.082945,0.15022
0.034495,0.49395,4.1386e-10,2.0254,2.6883,0.75747,0.056992,0.30043
0.034495,0.37697,6.64e-07,0.84391,2.2919,0.61058,0.12187,0.62818
0.034495,0.28923,0.0021285,1.1815,1.7494,0.12093,0.34248,0.62818
0.52756,0.8449,2.7057,0.50635,1.1861,1.7368,0.57605,1.0925
0.64589,0.96189,2.9507,2.5317,1.4782,2.1775,0.35545,1.1744
2.2237,3.1846,0.83251,1.3503,1.353,4.3809,0.48522,0.98323
1.4545,2.6874,0,1.3503,2.0624,1.4919,0.31652,0.28678
0.82339,2.044,0,1.8566,2.2919,1.2471,0.22569,0.15022
0.70506,2.7166,0,2.1942,2.9387,1.1982,0.13485,0.20484
0.72478,1.927,0,2.1942,2.7092,1.2471,0.1089,0.2185
0.68534,2.4827,0,1.6878,2.897,0.90436,0.1089,0.15022
0.78395,1.8978,0,2.5317,3.3143,1.0023,0.095922,0.13656
0.567,2.1902,0,2.363,2.7509,0.75747,0.069969,0.17753
0.35005,2.0732,0,2.5317,2.3545,0.56161,0.082945,0.1229
0.60645,1.6638,0,2.0254,2.2919,0.75747,0.082945,0.16387
0.46839,1.8978,0,1.1815,2.3545,1.1982,0.1089,0.16387
0.70506,1.9855,0,2.1942,2.5214,1.1492,0.069969,0.095592
0.82339,0.58169,2.7496,0.84391,0.60185,1.9326,0.88749,1.5841
2.6773,2.8044,1.1786,0.16878,0.62271,3.7933,1.134,1.8709
1.8884,2.2487,0.24956,0.16878,1.0191,1.7368,0.82261,0.66914
0.42894,1.7223,0.0011006,0.67513,1.4156,1.1002,0.49819,0.28678
0.054217,0.99113,5.4687e-07,0.67513,1.812,0.75747,0.39438,0.17753
0.054217,0.69867,2.1784e-10,1.519,1.9372,0.75747,0.40736,0.28678
0.034495,0.55244,8.1823e-14,1.8566,1.4573,0.61058,0.39438,0.81936
