"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.015663,0.47644,0.83358,2.7831,0,5.386,2.2428,3.5144,3.2521,0.57834
0,1.2582,0.76946,0.62416,3.3894,2.3597,1.7042,3.3271,0.36415,1.071
0.049974,1.597,1.2183,0,0.66523,2.799,2.9148,3.3674,1.2109,0.96391
0.129,1.7794,1.6672,0,2.6015,3.0125,2.4532,4.2624,3.3723,0.86752
0.20082,2.04,1.9878,0,3.2511,3.7072,3.9767,3.3375,1.7152,0.5355
0.076723,2.3527,2.4366,0,2.6065,2.1122,1.7879,4.1177,1.5929,0.38556
0.024883,2.6654,2.9496,0.14107,3.7652,3.1632,2.0444,3.8789,1.6587,0.36414
0.10477,2.3006,3.0137,0.0011004,2.0163,2.3038,2.3716,2.2808,3.1529,0.17136
0.060628,1.5449,2.8213,5.5081e-07,3.0319,1.4594,2.8266,4.2812,1.575,0.03213
0.033077,0.91945,2.3084,4.7673e-10,2.1982,3.2875,0.75874,5.0139,0.93586,0
0.11935,0.47644,1.7313,7.2576e-07,2.2015,0,2.6252,4.0208,2.2161,0.27846
0.073344,0.3722,1.4107,0.0022211,3.7531,2.3548,3.5732,4.206,2.6528,0.55692
0.074747,0.42432,0.8977,3.0178,3.4622,4.7386,3.742,3.8233,2.9904,0.81396
0.68938,0.10506,0,2.8502,1.8351,3.3597,3.168,3.3292,3.254,2.0028
0.85056,0,0,1.2483,2.2316,4.6673,0,2.9927,4.2333,2.9238
2.0325,0.0041381,0,0.20813,3.2465,2.2886,0.6299,2.8928,2.3696,4.1234
1.8714,0.052931,0,0,2.944,2.4955,2.2168,3.9072,2.8467,4.9909
3.5369,0.071306,0,0,1.7174,3.2295,4.6051,3.0813,3.7542,4.7981
3.4294,0.02304,0,0,1.0311,1.724,3.0751,3.5662,1.1029,4.7874
3.1608,0.045085,0,0.14107,1.894,1.9022,3.5777,4.6921,0.86203,5.1301
6.5456,0.070335,0,0.00088507,2.5828,3.3342,1.5733,3.2863,2.5705,4.1662
5.686,0.018226,0,4.5502e-07,0.83364,2.377,4.4031,3.423,2.044,3.4058
4.3965,0.034156,0,3.9291e-10,2.1179,3.0774,1.5156,4.5294,0.90932,2.6025
2.8384,0.021311,0,6.7172e-07,1.3281,3.624,2.3371,4.6106,2.3571,2.3027
2.14,0.029556,0,0.0021517,2.1349,3.5022,1.0502,4.7411,2.0062,2.0885
0.42074,0.038261,0,2.9138,2.1008,3.1987,4.3069,4.4364,2.7338,1.8743
0.098381,0.39826,0.44885,2.9172,1.8827,2.8799,1.1951,2.3611,1.0099,0.89965
0.63565,1.1279,1.0259,0.90156,3.3562,3.7558,0.16582,0.72557,3.8646,1.5851
0.20583,2.1442,1.6672,0.2775,3.4061,3.5189,2.5151,2.4729,2.4392,1.2959
0.25956,2.6394,2.0519,0.069376,3.0438,3.4198,3.277,3.8565,1.513,0.79254
0.098381,2.9,2.7572,0.069376,2.0754,3.6152,3.739,2.9957,1.4506,0.54621
0.15211,2.8739,3.2702,0,1.2828,3.3956,2.007,4.2756,3.8143,0.36414
0.25956,3.0563,2.8213,0.1058,1.9424,4.5605,2.1316,1.3022,3.5758,0.2142
0.95801,2.5612,2.6931,0.0011482,3.4081,3.1527,3.825,2.7722,1.2137,0.18207
1.3341,1.7533,3.142,5.7476e-07,1.5872,3.7284,3.8773,3.0582,2.5238,0.13923
1.0655,1.2843,2.5649,4.5053e-10,2.5532,1.7162,1.8828,3.2175,3.0524,0.02142
0.68938,0.65885,2.5649,7.1032e-07,2.8375,3.836,1.5319,3.4326,2.4801,0.20349
0.5282,0.58067,2.2443,0.0022211,2.717,1.7548,2.1197,4.7903,2.5882,0.48195
0.15211,0.5025,1.4748,3.0525,2.3787,2.8525,2.0573,3.0974,2.9186,0.7497
0.20583,0.3722,0.8977,2.716,0.68787,1.9654,1.985,4.0068,2.3579,0.86752
0.31329,1.18,0.8977,1.179,1.0321,2.5476,3.2228,4.9944,1.9041,1.3173
0.25956,1.597,1.0901,0.13875,1.8584,3.8565,2.7471,3.1359,1.0559,1.1781
0.63565,1.8315,1.1542,0.069376,1.8674,2.2627,3.0674,3.4806,2.9644,0.91036
0.25956,1.9618,1.4748,0,1.9938,4.1291,3.9968,3.453,2.1613,0.65331
0.20583,1.9879,1.8595,0,3.7414,3.2422,1.94,5.9895,3.5383,0.50337
0.31329,2.4048,1.8595,0.1058,1.9442,3.0512,1.3079,3.1659,2.8414,0.29988
1.3341,2.1182,2.3725,0.0011243,1.5923,1.5165,2.1651,2.3119,2.47,0.14994
1.6565,1.7794,2.6931,5.9072e-07,1.5103,4.4637,1.432,3.5157,3.8662,0.096391
1.1192,1.3625,2.3725,4.5053e-10,0.95148,1.6327,3.5318,4.7367,1.8825,0.04284
0.7431,0.84127,2.629,7.026e-07,1.8445,2.8819,1.8608,2.4544,1.8754,0.04284
0.36701,0.60673,2.1801,0.0022211,1.473,2.0416,3.0038,3.9273,2.7683,0.28917
0.15211,0.47644,1.9236,3.0872,0.68942,2.7871,3.1038,0,2.8561,0.62118
0.15211,0.39826,1.0259,2.8837,1.9015,2.1942,1.284,4.3951,1.8417,0.94249
0.20583,0.34614,0.83358,0,1.2273,2.7127,3.6844,2.1868,0.61723,1.1888
0.15211,0.21584,0.76946,0,3.0015,4.691,0.84529,2.3582,1.8441,1.2209
0.098381,0.21584,0.51297,0,2.7976,2.1507,1.5945,3.4584,0.73401,1.3495
0.098381,0.21584,0.25649,0,0.99989,2.4433,3.6437,3.1611,1.4405,1.1888
0.098381,0.18978,0.19236,0,1.8198,1.8172,2.8683,3.9539,1.3549,1.3602
0.098381,0.1116,0.12824,0,1.877,2.3761,0.91162,3.868,2.1616,1.7243
0.098381,0.1116,0,0,2.8024,2.1734,2.0253,2.3852,1.6626,1.735
0.098381,0.1116,0,0,2.3658,1.4938,2.3576,3.141,3.0515,1.9064
0.098381,0.1116,0,0,4.6675,2.2283,3.3714,3.8225,2.7385,1.9599
0.098381,0.085544,0,0,2.5888,3.2676,1.171,2.0966,3.6285,1.9064
0.098381,0.059485,0,0,2.9037,2.9296,2.2907,2.3312,3.5088,1.9278
0.098381,0.059485,0,0,2.6425,1.545,2.8774,4.4865,2.9238,1.8421
0.20583,0.29402,0.8977,2.8166,3.6836,2.418,2.9646,5.4001,1.9656,0.97462
0.68938,1.4928,1.1542,1.1096,1.4092,3.0562,1.0345,4.7346,2.0119,1.4994
0.25956,1.9618,1.6672,0.069376,3.2628,4.2334,2.9852,4.8616,3.9465,1.2959
0.25956,2.1703,1.9236,0,2.7184,3.7116,2.6803,3.627,2.6726,0.91036
0.20583,2.457,1.9236,0,2.5605,3.8508,0.39414,4.0328,2.9547,0.51408
0.15211,2.5351,2.5007,0,2.2094,4.401,2.8417,3.3313,2.0772,0.38556
0.25956,2.6394,2.8213,0,2.6029,2.9927,4.4554,3.0515,2.7341,0.2142
1.3878,2.3527,3.0778,0.00098075,3.1293,1.8179,3.9249,3.0804,0.30181,0.23562
1.549,1.5449,3.2702,5.2686e-07,3.356,3.5052,2.8497,5.0299,2.9604,0.1071
1.1192,0.91945,2.629,4.1386e-10,3.0306,3.3877,2.2971,3.7116,2.5938,0.096391
0.90428,0.73703,1.603,6.64e-07,4.3717,4.1498,2.1499,3.3437,4.2316,0.23562
0.5282,0.60673,1.0259,0.0021285,0.98874,4.9612,4.9506,3.4151,2.1751,0.43911
0.20583,0.55461,0.83358,2.7057,1.1793,3.1789,1.705,1.6717,3.6998,0.73899
0.15211,0.42432,1.7313,2.9507,1.8503,0.87726,3.1065,3.9796,2.7783,0.40698
0.47447,1.7273,1.9236,0.83251,2.7408,1.8923,2.0989,1.8325,3.1742,0.83538
0.42074,2.6915,2.3725,0,3.8031,2.777,3.1404,3.8153,3.4005,0.87823
0.098381,2.6394,3.0778,0,3.2906,2.2661,3.2785,4.5037,1.8093,0.6426
0.15211,2.483,2.9496,0,2.5834,3.1627,1.2851,4.3447,1.8249,0.43911
0.15211,2.3006,2.9496,0,2.195,4.215,2.101,2.2666,4.1911,0.3213
0.15211,2.9,2.8213,0,0.56868,2.4766,3.3264,2.1644,2.2822,0.29988
