"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.057378,0.65753,2.8024,1.0028,0.95654,1.8317,0.74573,1.4401
0.042409,2.448,0.83799,0.83566,0.76416,4.1055,1.0583,1.4667
0.044472,3.0056,0.069858,0.16713,1.1703,1.6534,1.0844,0.7067
0,2.1545,0,1.3371,1.3627,1.0293,0.70665,0.21334
0.030352,2.5947,0,1.1699,1.833,0.80635,0.57641,0.080004
0.056429,2.3599,0,1.6713,2.2178,0.6726,0.43315,0.25335
0.00021925,2.4186,0.28409,3.1755,2.2819,1.0293,0.22477,0.12001
0.055183,1.8903,0.00093939,2.507,2.4101,0.98468,0.15965,0
0.03312,1.4207,5.2248e-07,3.0084,2.4956,0.80635,0.10755,0.053336
0.012732,0.92169,4.5367e-10,2.3398,2.4529,1.2076,0.10755,0.06667
0.0098707,0.59883,7.2303e-07,3.0084,2.1109,0.80635,0.14662,0.36002
0.01039,0.51077,0.0021899,2.0056,1.7688,0.58344,0.21174,0.49336
0.026703,0.80429,2.934,2.3398,1.3627,1.6088,0.28989,1.1067
0.78361,0.08563,2.8362,0,0.015983,1.3413,2.9728,2.0534
4.1481,0.018676,1.257,0,0.015983,4.4175,3.1031,4.6535
4.3212,0.041139,0.27943,0,0.015983,1.0738,3.5719,4.8802
4.3019,0.025684,0,0,0.015983,0.31594,3.4808,4.8536
4.2827,0.058537,0,0,0.015983,0.093032,3.4938,4.3202
4.8018,0.059111,0,0,0.015983,0.093032,3.5068,4.3335
3.7444,0.030623,0.14205,0,0.015983,0.13761,3.3505,4.6936
0.51445,0.031209,0.001108,0,0.015983,0.093032,3.2724,2.1334
0.053024,0.050968,5.466e-07,0,0.015983,0.093032,3.3896,1.6401
0.033799,0,4.4311e-10,0,0.015983,0.093032,3.2463,1.5067
0.033799,0.055304,7.0748e-07,0,0.015983,0.093032,3.2594,1.3201
0.033799,0.028626,0.0021899,0,0.015983,0.093032,2.8426,1.4801
0.72593,0.026346,2.7943,0,0.015983,1.2522,2.7775,1.8668
0.82206,0.65753,2.87,1.1699,0.91379,2.0101,0.04509,1.1067
2.5332,2.8882,1.1872,0.83566,0.74278,3.9717,0.034729,1.4134
1.9756,2.4186,0,1.8384,1.1062,1.2968,0.045351,0.60003
1.3027,2.1838,0,1.3371,1.6406,1.163,0.019758,0.40002
0.74516,2.4773,0,1.5042,1.9612,0.98468,0.048298,0.33335
0.66825,2.3893,0,2.3398,2.3674,0.9401,0.056892,0.18668
0.53367,2.5654,0.21307,3.0084,2.9445,0.98468,0.023035,0.13334
0.1107,1.8022,0.0012766,1.8384,3.0087,0.98468,0.0054931,0.053336
0.033799,1.0391,6.2698e-07,1.5042,2.6453,0.6726,0.029359,0.026668
0.033799,0.65753,4.6422e-10,2.507,2.3888,0.6726,0.044805,0.093338
0.033799,0.45207,7.3081e-07,2.1727,1.8116,0.31594,0.039261,0.32001
0.033799,0.21726,0.0023064,2.6741,1.6833,0.40511,0.021871,0.56003
0.61057,0.68688,2.7594,2.3398,1.4268,2.3222,0,1.1467
0.66825,0.9804,2.9375,0.83566,0.061621,0.15627,0.029407,1.0934
2.7062,2.3306,1.1872,0.66853,0.045609,0.15447,0.029407,1.4001
1.5719,2.3599,0.069858,0.83566,0.045732,0.089142,0.029407,0.46669
0.74516,2.6241,0,1.0028,0.0049189,0.085094,0.029407,0.29335
0.47599,2.7415,0,2.0056,0.0043427,0.12316,0.029407,0.16001
0.57212,2.6241,0,1.6713,0,0.13061,0.029407,0.080004
0.49522,2.3599,0.035511,2.0056,0.018992,0.076038,0.029407,0.053336
0.14915,1.7729,0.0012525,2.3398,0.016663,0.18312,0.029407,0.10667
0.033799,1.0391,6.0287e-07,2.8412,0.021153,0,0.029407,0.093338
0.033799,0.71623,4.4311e-10,2.507,0.012623,0.061494,0.029407,0.24001
0.033799,0.42272,7.0748e-07,2.0056,0.01915,0.038092,0.029407,0.33335
0.033799,0.21726,0.0022132,0.83566,0.017468,0.087763,0.029407,0.73337
0.80283,0.74558,2.8991,0,0.01414,0.14387,0.029407,1.2134
