"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.1499,3.5992,-2.0729,-1.0438,3.3993,1.1616,-0.77386
0.043921,1.5146,-0.88516,-0.41537,-0.25037,-0.19026,-1.0339
0.0078923,0.22703,0.64192,0.93119,-2.6957,-1.7674,-0.74136
0.036217,1.6985,0.8116,1.7391,-0.90732,-1.9364,-0.091363
-0.046254,1.392,1.3206,1.2603,-0.14088,-1.2605,0.0061363
-0.071429,-0.90726,0.30257,0.84142,0.0051045,-0.4719,0.0061363
-0.041197,-1.9189,-1.2245,1.021,0.041601,-0.24658,-0.026363
0.13932,-1.551,-0.71549,0.12325,0.44307,-0.13393,0.0061363
0.02994,-1.3671,-0.036783,-0.35553,0.26058,0.035057,0.16864
-0.09368,-0.96857,1.4903,-0.26575,0.22409,0.26037,0.33113
-0.068255,-0.60069,0.8116,-0.8343,0.1146,0.20404,0.68863
-0.12706,0.22703,-0.88516,-0.62484,0.47956,0.37303,1.1436
0.67309,-0.57902,-2.0729,-3.318,0.47956,1.4433,-0.25386
2.8168,-1.0624,-1.7335,-3.2282,1.173,1.8939,-0.15636
1.5486,0.0011215,-0.036783,-0.026366,-0.54235,0.87998,0.071136
-0.34924,0.009682,-0.036783,-0.026366,-2.4402,-0.30291,-0.57886
0.24615,-0.0048001,-0.036783,-0.026366,-0.46936,-0.30291,0.46113
0.35779,-0.034084,-0.036783,-0.026366,-0.14088,0.26037,0.20113
-0.014334,0.045769,-0.036783,-0.026366,-0.17738,0.48568,-0.15636
-2.582,-0.08663,-0.036783,-0.026366,-0.031392,0.54201,0.13614
-2.4703,-0.10347,-0.036783,-0.026366,-0.031392,0.82365,-0.12386
-0.23761,0.015429,-0.036783,-0.026366,-0.031392,0.26037,-0.61136
-0.014334,-0.02171,-0.036783,-0.026366,-0.031392,-0.58455,-0.44886
-0.014334,-0.050523,-0.036783,-0.026366,-0.031392,-0.92252,-0.15636
0.80434,-0.077522,-0.036783,-0.026366,1.3555,-1.4295,0.42863
1.2509,0.49847,0.8116,1.4399,1.465,-2.0432,3.2236
4.7488,2.2186,0.30257,1.0509,1.465,-1.3957,3.5161
2.0696,1.8518,-0.88516,-0.086213,-0.17738,0.036599,-1.4889
-3.5867,0.319,-0.37613,1.021,-2.1117,0.15687,-3.3413
-2.0238,0.1044,0.98127,1.1107,-0.65184,0.06635,-1.3914
-1.2051,-0.079535,1.66,0.78157,-0.14088,0.081718,-0.57886
-0.31203,0.012434,2.3387,0.1831,0.041601,-0.025604,-0.38386
-0.68415,-1.0912,1.9993,0.60203,0.15109,-0.055593,-0.25386
-1.0563,-1.6124,-1.3942,0.36264,-0.35986,0.1537,0.33113
-0.16318,-0.84594,-0.036783,0.0035574,-0.32337,0.051973,0.52613
-0.014334,-0.66201,0.64192,-0.23583,-0.21388,-0.18549,0.81863
-0.014334,-0.41675,-1.2245,-1.1635,-0.46936,0.011791,0.94863
1.3625,0.319,-0.71549,-1.1635,0.73504,0.16129,2.4111
0.54385,0.56425,-1.9032,-2.4705,-0.16286,1.676,0.65613
1.2137,1.7598,-1.5639,-1.8952,-1.1083,1.8351,-2.1063
0.84155,1.5759,0.8116,0.00486,-0.084363,0.37303,-1.7489
-1.6889,-0.11019,1.4903,0.046474,0.036412,-0.58455,-1.3589
-0.94464,-0.1715,1.66,-0.038252,0.046246,-0.97885,0.038636
-0.64694,0.47228,-0.036783,-0.003882,-0.12731,-0.52823,-0.026363
-0.051546,0.319,-0.036783,-0.027512,-0.068495,-0.4719,-0.35136
-0.23761,-1.1525,0.8116,-0.0054161,0.065476,-0.35924,-0.15636
-0.46088,-1.4897,-0.37613,-0.099287,-0.011032,-0.13393,0.071136
-0.088759,-0.81529,0.8116,-0.071959,-0.077828,0.091386,0.23363
-0.014334,-0.53938,0.13289,0.022875,-0.12524,0.035057,0.52613
-0.014334,-0.53938,-1.5639,-0.027352,0.027845,0.091386,1.0461
0.95319,0.28834,-0.71549,-0.021962,0.057904,0.82365,1.9561
0.17173,0.19637,0.64192,1.8625,1.0004,1.3869,-0.64386
-0.87022,-0.47807,-1.7335,1.4912,0.1332,0.37303,-2.2363
-0.2004,-0.20216,-2.4122,-1.0438,-1.0898,-0.13393,0.10364
-0.12597,0.13506,-0.54581,-0.8343,-0.21388,0.37303,0.26613
-0.014334,0.77884,-0.036783,-0.35553,-0.031392,0.26037,-0.51386
-0.014334,1.0854,0.13289,-0.026366,0.078098,-0.41557,-0.54636
-0.014334,0.41097,-0.036783,0.27287,-0.031392,-0.69721,-0.18886
-0.014334,-0.018222,0.30257,0.1831,-0.10439,-0.35924,0.13614
-0.014334,-0.26347,0.8116,0.78157,0.18759,-0.52823,0.10364
-0.014334,-0.81529,0.98127,0.72172,0.33358,-0.64088,0.39613
-0.014334,-0.72332,0.47224,0.57211,0.0051045,-0.021271,0.49363
-0.014334,-0.3861,-0.20646,0.15318,-0.21388,0.93631,1.3061
-0.014334,-0.35544,-0.71549,-1.0737,-0.32337,2.0065,1.3061
0.76712,0.16572,-1.2245,-0.74453,0.95402,0.3167,-0.22136
2.5905,2.6795,-0.88516,-0.41537,2.4504,0.035057,-0.25386
0.46943,1.2387,0.30257,-0.11614,-0.35986,0.14771,-1.0989
-1.4656,-0.78463,0.30257,0.78157,-2.3307,-1.0915,-1.4239
-0.68415,0.34965,0.98127,0.93119,-0.76133,-0.80987,-0.44886
-0.68415,0.28834,1.3206,1.0808,-0.067889,-0.97885,-0.026363
-0.38646,0.19637,0.98127,1.2304,0.1146,-0.41557,0.038636
-0.42367,-1.0605,1.3206,1.1706,0.1146,-0.077599,0.038636
-0.23761,-1.4284,0.64192,0.45241,0.33358,0.14771,0.72113
-0.088759,-0.66201,-0.71549,-0.71461,0.041601,0.14771,0.46113
-0.014334,-0.35544,-1.5639,-0.954,-0.25037,0.26037,0.29863
-0.014334,-0.57004,-1.2245,-1.4029,-0.14088,1.3306,0.55863
0.58106,-0.018222,-1.2245,-1.4328,0.44307,2.0065,0.52613
0.6927,0.56425,-0.88516,-0.59491,1.2825,0.76733,1.0786
1.9207,1.4839,-0.20646,-0.26575,2.5964,0.20404,-0.38386
0.76712,0.96278,-0.54581,0.093328,-0.98031,0.14771,-1.9763
-1.4284,-0.079535,0.47224,0.6918,-3.3526,-0.92252,-1.1964
-0.68415,0.319,1.66,0.72172,-0.54235,-0.97885,-0.35136
-0.42367,1.0547,1.66,0.30279,-0.25037,-0.8662,-0.058863
-0.31203,1.5453,0.98127,0.93119,-0.067889,-0.97885,-0.026363
-0.42367,1.7905,-1.2245,1.1107,0.1146,-0.52823,0.038636
-0.27482,-0.32479,-1.3942,0.45241,0.15109,-0.19026,0.10364
0.022878,-2.2868,-0.20646,0.21302,0.1146,-0.077599,0.0061363
-0.12597,-0.57004,1.1509,0.033481,0.26058,-0.077599,-0.058863
-0.088759,-0.26347,0.8116,1.0808,0.041601,-0.077599,0.038636
0.28336,-0.90726,-0.036783,0.48233,-0.14088,0.035057,0.20113
0.20894,-1.9496,-1.2245,-3.5873,0.58906,1.6686,1.7286
1.8835,0.77884,-2.2426,-3.2581,2.6329,2.1192,1.7611
1.3625,2.0664,-0.036783,0.093328,0.22409,0.711,-1.1314
-2.0982,-1.0605,0.64192,1.1107,-2.8417,0.035057,-1.8463
-1.8749,-1.1832,0.64192,0.6918,-1.1263,-0.41557,-0.61136
-0.27482,0.1044,-0.37613,0.093328,-0.14088,-0.8662,0.038636
-0.014334,-0.079535,-0.88516,-0.026366,0.0051045,-0.69721,0.29863
-0.014334,-0.60069,0.47224,-0.47522,0.078098,-0.41557,0.49363
-0.014334,-0.20216,0.47224,-0.29568,-0.067889,-0.4719,0.20113
-0.014334,-0.079535,-0.37613,0.30279,-0.10439,-0.13393,0.0061363
-0.014334,-0.26347,0.13289,0.0035574,0.18759,-0.13393,-0.058863
-0.014334,-0.47807,0.30257,-0.4453,-0.067889,-0.19026,-0.091363
0.76712,0.16572,-0.54581,-0.53507,0.91753,0.091386,1.1111
0.76712,-0.29413,0.47224,0.30279,1.319,2.2882,1.5336
0.95319,1.3307,-0.37613,0.24295,1.9394,2.7951,-0.35136
0.097303,3.0168,-1.2245,0.39256,-0.94382,-0.52823,-1.9438
-1.3912,1.1774,0.47224,1.3202,-3.1701,-1.9364,-1.1314
-0.87022,0.012434,1.1509,1.0808,-0.46936,-1.2605,-0.091363
-0.38646,-0.079535,0.8116,1.4399,0.1146,-0.75354,-0.026363
-0.051546,-0.079535,0.13289,1.0808,0.041601,-0.41557,0.071136
-0.014334,-0.81529,0.98127,0.063405,0.18759,-0.24658,0.0061363
-0.014334,-1.3671,0.64192,-0.53507,0.69855,-0.19026,0.038636
-0.014334,-1.2445,-0.036783,-0.59491,0.29708,-0.077599,0.10364
-0.014334,-0.90726,-0.20646,0.033481,-0.32337,0.26037,0.29863
-0.014334,-0.96857,-0.71549,0.21302,-0.32337,0.14771,0.16864
0.91597,-0.26347,-0.036783,-0.89415,0.84453,0.091386,0.62363
0.80434,0.073747,-1.0548,-2.5399,0.47956,1.2743,2.2161
1.6602,0.90147,-1.3942,-1.8816,0.91753,2.2319,1.2086
0.58106,0.99344,-0.20646,0.15318,-0.79783,1.218,-2.0413
-2.2099,-0.14085,0.13289,0.99104,-2.4402,-0.41557,-2.1388
-0.94464,0.84016,0.8116,1.2603,-0.25037,-1.3732,-0.48136
-0.42367,0.5949,0.30257,0.75165,0.1146,-1.2042,-0.026363
-0.49809,-0.47807,-0.20646,0.57211,0.26058,-0.75354,0.10364
-0.014334,-0.50872,2.3387,0.42249,0.0051045,-0.30291,0.071136
-0.014334,-0.81529,2.169,0.57211,0.041601,-0.021271,0.33113
-0.014334,-0.26347,-0.88516,0.36264,0.078098,0.035057,0.26613
-0.014334,-0.32479,-1.7335,-0.62484,0.0051045,-0.021271,0.36363
-0.014334,-1.0605,-1.2245,-0.92407,0.041601,0.26037,0.46113
0.61827,-0.1715,-0.37613,-1.1635,1.246,0.42936,1.0786
0.65549,0.012434,-0.37613,-1.9714,0.77154,3.0205,1.9236
1.7346,1.5453,-1.0548,-1.4627,1.1,4.147,0.10364
0.28336,1.7292,-0.88516,0.36264,-0.35986,-0.24658,-2.5288
-1.8005,1.1467,-0.036783,1.2304,-2.5862,-2.4997,-1.9113
-0.90743,1.3613,0.8116,1.2603,-0.87082,-2.2181,-0.18886
-0.34924,0.012434,0.98127,1.3202,-0.28687,-1.5985,-0.026363
0.022878,-0.41675,1.3206,1.2005,0.078098,-0.8662,0.038636
-0.2004,0.22703,0.8116,0.36264,-0.031392,-0.52823,-0.026363
-0.088759,-0.26347,-0.54581,0.27287,0.0051045,-0.19026,0.038636
0.13452,-1.0299,-0.54581,-0.086213,0.29708,-0.077599,0.13614
-0.014334,-1.4284,0.98127,-0.80438,0.37007,-0.021271,0.0061363
-0.23761,-1.7656,0.8116,-0.26575,0.1146,0.035057,0.071136
0.54385,-0.47807,0.47224,0.093328,1.173,0.091386,0.59113
1.1765,0.1044,1.66,0.033481,2.5964,0.14771,0.98113
