"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.27049,2.8853,0.33322,0.73589,2.4915,0.14615,-2.4414
0.038652,1.5818,0.33322,0.97431,-0.57449,-0.60645,-1.7917
-0.10534,0.075555,0.33322,1.4213,-2.304,-1.0696,-0.84961
-0.011729,-0.098241,1.2222,1.3915,-0.69242,-0.60645,-0.23239
-0.050367,0.19142,0.33322,0.8253,-0.18142,-0.49067,0.059973
-0.11328,0.16245,-0.20018,0.46767,0.015118,-0.72223,0.059973
-0.023933,-0.67756,1.2222,-0.57542,-0.1028,-0.43277,0.092458
0.070426,-0.88032,1.4,-0.93304,0.21166,0.030363,0.059973
-0.042046,-0.88032,1.0444,-0.45621,0.40819,0.030363,0.31985
-0.11007,-1.0541,0.68883,-0.00917,-0.14211,0.14615,0.54725
0.018685,-0.70653,0.15542,-0.098577,-0.33865,0.14615,0.38482
0.011146,-0.069275,-1.4448,-1.1119,1.4302,0.37772,1.4893
0.8115,-0.41276,-3.7562,-2.8404,0.80127,1.6513,0.38482
3.0005,-0.6376,-2.5116,-2.1549,1.3123,1.7092,-0.71967
2.618,-0.0090805,-0.022381,-0.038972,-0.063497,1.7671,-0.36233
-0.022884,-0.0403,-0.022381,-0.038972,-3.0902,1.2461,-1.1095
-0.71358,-0.061617,-0.022381,-0.038972,-1.0462,-0.54856,-0.45979
0.058375,0.048141,-0.022381,-0.038972,-0.063497,-1.1854,0.44979
-0.10414,0.11255,-0.022381,-0.038972,0.093733,-1.2433,0.61222
-2.7044,-0.059535,-0.022381,-0.038972,0.015118,-0.43277,0.25488
-2.6638,-0.074834,-0.022381,-0.038972,-0.14211,0.43561,0.51477
-0.42918,-0.0271,-0.022381,-0.038972,-0.063497,0.60928,0.51477
-0.10414,-0.051085,-0.022381,-0.038972,-0.024189,0.31982,-0.36233
-0.022884,0.00013314,-0.022381,-0.038972,-0.024189,0.030363,-0.68719
0.54593,0.014385,-0.022381,-0.038972,1.666,-0.20121,-0.13494
1.4398,0.66582,0.68883,1.2127,1.1157,-2.3654,2.7562
3.6338,2.5352,0.51103,1.2425,1.6267,-2.2598,2.6913
0.74907,1.6397,0.51103,0.8849,0.64404,0.043307,-2.3439
-2.8263,0.046589,0.15542,1.5704,-2.1861,0.099804,-2.7338
-0.91673,-0.21411,-0.022381,1.3319,-1.0462,0.033679,-0.71967
-0.022884,-0.301,0.86663,0.8551,-0.49588,-0.030524,-0.26488
-0.46981,0.27832,-0.022381,0.70609,-0.45657,-0.14477,0.059973
-0.95736,-0.93826,-0.022381,0.22925,-0.14211,0.086476,-0.23239
-0.83547,-1.6045,1.0444,-0.60522,0.52612,0.14501,-0.10245
-0.51044,-0.90929,0.33322,-0.66482,-0.1028,0.032207,0.64471
-0.10414,-0.4748,0.33322,-1.2907,-0.41726,0.029599,1.002
-0.022884,-0.301,-0.55579,-1.5589,-0.26003,-0.05014,0.90459
1.6429,0.27832,-1.267,-1.0821,0.64404,0.0029532,1.3919
0.62719,0.53901,-0.91139,-1.9006,-0.27648,2.624,-0.32985
0.7897,1.8425,-1.0892,-1.5106,-1.22,1.7459,-1.1095
0.30215,1.9873,0.33322,-0.10915,-0.13263,-1.5906,-0.97955
-2.095,0.51004,0.33322,0.026663,-0.02438,-1.0117,-1.3369
-0.5917,-0.67756,1.2222,-0.028265,-0.016154,-0.54856,-0.19991
-0.22603,-0.82239,2.1112,-0.087452,-0.04404,-0.49067,0.092458
0.058375,0.16245,0.68883,-0.01207,-0.0053316,-0.20121,0.15743
-0.14477,-0.93826,1.0444,-0.0089701,0.045073,-0.027529,0.059973
-0.51044,-1.5755,-0.022381,-0.035584,-0.019789,-0.085421,0.059973
-0.10414,-0.85136,-1.4448,-0.044735,-0.091958,0.030363,0.38482
-0.022884,-0.44583,-0.37799,-0.064017,-0.0189,0.43561,0.70968
-0.022884,-0.27204,-0.37799,-0.051857,0.014782,0.55139,0.51477
1.4398,0.36521,-0.55579,-0.060378,0.046943,0.84085,2.1065
1.196,0.24935,-1.0892,1.6127,1.3084,1.0724,1.6193
-1.323,-0.3879,-0.91139,1.034,0.18952,1.7671,-1.0445
-1.2418,-0.24307,-0.55579,-0.90324,-1.2427,1.9408,-1.9866
-0.1854,0.16245,-0.73359,-0.51581,-0.26003,0.37772,-1.6293
-0.022884,1.2921,-0.37799,-0.45621,-0.14211,-1.0117,-0.4273
-0.022884,2.6535,-0.022381,-0.068775,-0.024189,-1.8222,-0.10245
-0.022884,3.0301,0.15542,0.94451,-0.024189,-1.5906,-0.0049977
-0.022884,1.9873,1.2222,1.5704,0.054426,-0.83802,-0.069968
-0.022884,1.1183,1.4,1.63,0.36889,-0.49067,-0.0049977
-0.022884,-0.35894,1.5778,1.3617,0.17235,-0.2591,0.027487
-0.022884,-1.9521,0.86663,0.94451,0.015118,-0.027529,0.027487
-0.022884,-2.3286,-0.022381,0.55708,0.25096,-0.027529,-0.0049977
-0.022884,-2.1838,-0.55579,0.11004,0.17235,-0.085421,-0.0049977
1.1147,-1.6624,-2.5116,-2.6616,0.56542,1.3619,2.9836
2.8212,0.77074,-1.8004,-2.9298,2.4129,2.5197,1.5543
0.099004,1.6108,-0.022381,-0.21779,-0.22073,0.89874,-2.4739
-1.8512,0.046589,1.4,0.8551,-2.815,-0.89591,-1.3369
-0.5917,0.13349,1.2222,1.5406,-0.81034,-1.2433,-0.36233
-0.55107,-0.098241,0.33322,1.2425,-0.14211,-0.83802,-0.0049977
-0.022884,0.10452,0.86663,1.1531,0.093733,-0.66434,0.027487
-0.38855,-0.82239,-0.37799,0.46767,0.054426,-0.43277,0.027487
-0.63232,-1.6624,-1.0892,0.080237,0.40819,-0.14331,0.18991
-0.14477,-0.88032,0.86663,0.080237,0.25096,-0.14331,0.31985
-0.10414,-0.5617,0.86663,-0.96285,-0.22073,-0.085421,0.83962
-0.022884,-0.301,-0.73359,-1.0523,-0.024189,0.26193,0.96956
1.521,0.10452,-0.55579,-1.0821,0.60473,0.95664,1.7167
0.74907,0.30728,-1.267,-1.7377,0.72265,2.0566,0.48228
0.87096,1.9873,-1.6226,-0.96285,1.5874,1.4198,-1.5968
0.13963,1.6687,-0.022381,0.58688,-0.49588,-0.9538,-1.4668
-1.7699,-0.41687,0.51103,1.1233,-2.3433,-1.4169,-0.84961
-0.14477,-0.098241,0.86663,0.46767,-0.53519,-0.66434,0.027487
0.099004,-0.098241,0.68883,0.13984,-0.14211,-0.72223,0.059973
0.26152,-0.21411,0.51103,0.40806,0.21166,-0.60645,0.059973
-0.022884,0.19142,0.86663,1.0041,0.21166,-0.20121,0.092458
0.058375,0.19142,1.2222,1.0637,-0.024189,-0.027529,0.2224
0.91159,-0.27204,1.2222,0.70609,-0.1028,-0.027529,0.35234
-0.063513,0.13349,-0.91139,0.46767,0.32958,0.030363,0.027487
-0.63232,0.16245,-1.0892,-0.038972,0.72265,0.088255,-0.13494
0.13963,-0.301,0.51103,-0.21779,0.054426,-0.085421,-0.19991
-0.30729,-1.7493,-0.55579,-3.049,0.17235,1.5934,1.9441
2.1711,-0.040309,-1.6226,-2.9,2.688,2.2303,1.9766
0.83033,1.9294,-1.8004,0.28885,-0.18142,0.78296,-1.7917
-3.2326,-0.12721,-0.73359,0.70609,-3.2081,-0.9538,-1.9866
-1.6481,-1.0252,1.4,1.0935,-0.88895,-1.7643,-0.19991
-0.30729,-0.82239,1.4,0.49747,-0.29934,-0.78013,-0.0049977
-0.10414,-0.73549,-0.20018,-0.21779,-0.024189,-0.085421,0.2224
-0.022884,-0.6486,0.15542,-0.24759,0.015118,0.43561,1.5218
-0.022884,-0.3879,0.15542,-0.81383,-0.33865,0.78296,1.2294
-0.022884,-0.32997,-0.91139,-1.5291,-0.1028,1.5934,-0.23239
-0.022884,-0.098241,-1.0892,-1.5291,-0.1028,0.84085,-0.94707
-0.022884,-0.011343,-1.4448,-0.84364,-0.18142,0.088255,-0.81713
0.5053,0.74177,-0.91139,-0.337,1.155,0.030363,0.28737
1.196,0.24935,0.68883,1.0041,1.3516,-0.9538,1.6517
1.5617,1.0894,1.4,1.1531,2.1377,-0.31699,0.54725
0.058375,1.9294,0.51103,0.7955,-0.45657,-0.2591,-1.9541
-1.6481,0.27832,0.33322,0.8253,-2.7757,-0.49067,-1.3694
-1.2011,-0.61963,1.7556,0.16964,-0.77103,-0.37488,-0.19991
-0.51044,-0.96722,0.33322,0.13984,-0.26003,-0.60645,-0.037483
-0.14477,-1.0541,-0.20018,0.43787,0.25096,-0.43277,0.28737
-0.022884,-0.99619,0.33322,0.31866,-0.22073,-0.2591,0.41731
-0.022884,-0.5617,-0.91139,-0.63502,-0.18142,0.20404,1.3269
-0.022884,-0.35894,-1.6226,-1.2013,0.054426,1.0145,1.4568
-0.022884,-0.15617,-0.91139,-1.4099,-0.29934,2.2303,0.70968
-0.022884,-0.011343,-0.55579,-1.0523,-0.26003,2.0566,-1.1095
0.7897,0.68384,-0.91139,-0.48601,1.155,0.030363,-1.2394
0.83033,0.85764,-0.022381,1.2127,1.0371,-1.7064,0.67719
1.4804,1.8135,-0.20018,1.1829,1.784,-1.0696,0.2224
0.66782,1.7556,0.68883,0.37826,0.093733,-0.14331,-0.71967
-1.4043,-0.50377,1.2222,0.73589,-2.3826,-0.60645,-0.62222
-0.5917,-0.82239,0.51103,0.43787,-0.73172,-0.78013,-0.16742
-0.83547,-0.73549,0.51103,0.37826,-0.063497,-0.43277,-0.13494
-0.99799,-1.141,-0.20018,-0.18798,-0.1028,-0.085421,0.15743
-0.14477,-0.82239,-0.022381,-0.24759,-0.1028,0.030363,0.64471
-0.022884,-0.41687,0.15542,-0.45621,-0.18142,0.60928,0.64471
-0.022884,-0.301,-0.55579,-0.99265,-0.29934,0.72507,0.25488
-0.022884,-0.27204,-1.4448,-1.1119,-0.22073,0.84085,0.15743
-0.022884,-0.18514,-0.73359,-0.93304,-0.29934,2.6355,-0.45979
0.62719,0.71281,-0.022381,-0.69463,1.1943,2.1724,-0.81713
0.66782,0.77074,1.0444,0.37826,1.5874,0.030363,0.44979
1.1554,1.9294,0.68883,0.64648,1.5481,-0.37488,0.2224
0.22089,1.7845,-1.0892,0.58688,-0.92826,-1.5327,-1.012
-1.3637,-0.011343,-0.37799,1.5108,-2.7364,-2.1116,-0.6547
-0.75421,0.51004,-0.20018,0.97431,-0.6138,-1.4169,-0.069968
-0.22603,0.075555,1.2222,0.7955,0.054426,-1.0117,0.027487
0.058375,0.51004,2.289,0.8551,0.015118,-0.49067,0.027487
0.099004,-0.12721,1.4,0.8551,0.054426,-0.2591,0.15743
0.30215,-1.141,-0.91139,0.34846,0.13304,-0.085421,0.15743
-0.1854,-0.35894,-1.0892,-0.098577,0.054426,0.14615,-0.0049977
-0.55107,-0.79343,0.33322,0.40806,0.48681,0.14615,-0.0049977
-0.26666,-1.2279,1.5778,0.020632,0.32958,0.030363,0.18991
0.91159,-0.73549,0.33322,-0.66482,1.0371,-0.14331,0.54725
2.0086,-0.24307,-2.5116,-0.99265,2.3343,-0.20121,0.74216
