"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.030607,0.63553,2.881,3.0751,2.143,2.4162,0.73035,2.5663
0.10507,2.0474,1.2204,2.2658,1.86,4.2149,0.8301,3.1677
0.022377,2.2951,0.14363,2.104,2.1632,1.9536,0.97973,1.0425
0,1.8492,0.071816,2.104,2.4663,1.3369,0.73035,0.20049
0.044967,2.0226,0.071816,2.2658,2.527,0.66882,0.48097,0.16039
0.11512,1.9731,0,1.7803,2.8503,0.77161,0.28146,0.44108
0.0579,1.9235,0.10952,0.80923,2.8908,0.87439,0.28146,0.40098
0.12467,1.0814,0.00104,0.32369,2.6684,1.2341,0.33134,0.32078
0.017902,0.73461,5.6192e-07,0.97107,2.4865,0.92578,0.53084,0.64157
0.16605,0.51169,4.4469e-10,1.6185,1.9408,0.66882,0.68047,0.76186
0.095215,0.36307,7.1133e-07,1.6185,1.7589,1.1314,0.73035,1.6039
0.086585,0.26399,0.0022034,0.97107,1.476,0.61743,0.97973,2.0049
0.11933,0.68507,2.9444,0.16185,0.95051,2.262,1.678,3.9296
0.71891,0.028948,2.5686,0,0.041024,1.1827,1.8276,1.5237
2.8111,0.026526,1.2204,0,0.041024,3.7524,2.7254,3.0875
2.993,0.046878,0.28726,0,0.041024,1.5425,4.2715,1.7643
2.5382,0,0.071816,0,0.041024,0.36047,3.8725,0.48118
1.5376,0.040158,0,0,0.041024,0.1549,3.7229,0.12029
2.1743,0.050294,0,0,0.041024,0.10351,3.0745,0.12029
2.2198,0.050317,0.21904,0,0.041024,0.20629,2.0271,0.16039
0.30957,0.092217,0.00096572,0,0.041024,0.25769,2.0271,0.48118
0.12765,0.008234,5.5366e-07,0,0.041024,0.10351,2.077,0.92225
0.12765,0.01027,4.3927e-10,0,0.041024,0.10351,1.6281,0.88215
0.082167,0.064224,7.2731e-07,0,0.041024,0.10351,1.4286,0.56137
0.082167,0.02611,0.0022752,0,0.041024,0.10351,1.8276,1.243
0.85535,0.072853,3.0522,0,0.041024,2.5189,2.0271,1.0826
1.4011,0.63553,2.8463,1.1329,0.95051,1.6967,0.039723,4.932
6.2676,2.2456,0.93327,0.97107,0.88988,4.3177,0.12807,4.1702
3.2204,1.6511,0.071816,0.64738,1.3143,1.7481,0.030101,1.0024
2.8111,1.7749,0,1.4566,1.6983,1.3369,0.000699,0.88215
2.2198,1.9483,0,1.9421,1.8196,0.97718,0.098943,0.88215
2.2653,1.7749,0,1.1329,2.0823,1.0286,0,0.40098
1.0828,2.0474,0.18253,1.1329,2.1227,1.0286,0.09771,0.40098
0.35506,1.552,0.00104,1.9421,2.2036,1.0286,0.0098602,0.36088
0.12765,1.0814,5.8671e-07,1.1329,2.3248,0.87439,0.10264,0.20049
0.082167,0.75938,4.5011e-10,1.1329,2.5876,0.97718,0.037066,0.76186
0.082167,0.51169,7.2731e-07,1.4566,2.0621,0.77161,0.073449,0.76186
0.082167,0.3383,0.0022992,0.80923,1.476,0.46325,0.14502,1.6039
1.4921,0.63553,2.9444,1.2948,1.193,1.4911,0.029542,3.4083
1.1282,0.48692,2.8463,0.97107,0.057453,0.10646,0.87998,2.6866
4.6303,1.6759,1.4358,0.80923,0.058054,0.21989,1.8775,4.4509
