"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.69252,0.44603,1.0295,2.9722,2.6527,1.3064,1.4554,0.74221,1.041,1.7281
0.35952,1.1609,1.1582,0.71479,3.4477,2.6064,2.6187,1.6416,0.69758,2.4842
0.48697,1.9191,1.673,0,1.9274,3.913,1.3808,1.7059,1.2126,2.0881
0.44757,2.1574,2.3807,0,4.438,3.2006,1.2298,1.7701,1.7277,1.2961
0.4782,2.4607,2.2521,0,2.3914,0.37563,1.8763,1.7701,1.7277,0.79205
0.22546,2.6124,1.9303,0,3.2871,2.4866,2.4803,1.7059,1.556,0.46803
0.3466,2.4607,2.3807,0.18174,1.6505,1.0503,3.6995,1.1919,1.3843,0.28802
0.40684,1.9408,2.5738,0.0012327,2.3959,3.8693,3.4349,0.87069,1.556,0.36002
0.53921,1.3126,2.7668,6.0063e-07,2.2707,1.6736,1.433,0.80645,1.7277,0.28802
0.24292,0.85764,2.7668,4.5896e-10,3.3847,2.8265,4.5619,0.48524,1.556,0.36002
0.62011,0.83597,1.9947,7.3212e-07,0.78438,3.6151,2.8418,0.29251,1.3843,0.75605
0.33768,0.55435,1.6086,0.0022415,4.0493,3.828,1.8656,0.35675,1.2126,1.0801
0,0.51102,1.1582,2.9317,1.8386,2.2225,2.4196,0.42099,1.2126,1.4761
0.61989,0.041119,0,2.8685,5.2177,2.111,2.2387,1.8986,4.4748,1.0801
0.83563,0.0028707,0,1.0007,3.3746,3.2637,2.3529,2.0913,3.6163,2.4842
1.0514,0.058731,0,0.071505,3.751,1.747,1.8417,3.2477,3.4446,2.8802
0.61989,0.028022,0,0,3.7697,4.2341,3.6038,3.8259,2.9296,1.8721
0.40415,0.03366,0,0,3.4789,1.3065,0.7921,3.5689,2.9296,1.0801
0.83563,0.014709,0,0,1.7572,1.811,0.61657,4.1471,2.9296,0.86406
0.40415,0.047785,0,0.036349,2.6535,2.7287,3.3706,3.1834,2.9296,0.75605
5.1504,0.058606,0,0.00098619,2.5321,3.7679,3.5948,2.541,3.2729,1.0081
4.2875,0.028806,0,5.2658e-07,2.5235,2.4606,2.7006,2.284,3.1012,0.64804
3.4245,0,0,4.5356e-10,4.281,3.8432,1.226,2.284,2.5862,0.57604
1.4829,0.03091,0,7.2416e-07,2.0811,3.3609,2.9778,2.2198,2.2428,0.68405
0.83563,0.017088,0,0.0022654,3.2321,1.8594,1.3323,2.1556,2.9296,0.90006
0.40415,0.04428,0,2.8244,2.043,2.2537,2.0966,1.7701,3.2729,1.0801
1.4829,0.42437,1.5443,2.8685,3.1499,1.5912,3.443,0.1161,0.70919,2.4482
0.83563,1.0959,1.2869,0.71479,3.2423,3.1483,2.2694,0.073248,0.13744,3.7082
0.40415,1.5942,2.1234,0,2.9549,1.7378,2.396,0.054212,0.33532,3.4922
0.40415,2.2658,2.3164,0,2.1984,0.73402,2.6627,0.089881,0.62286,2.7002
0.61989,2.0058,3.2816,0,3.838,2.4373,1.3717,0.14804,0.73685,1.7641
0.40415,2.2441,2.5094,0,3.7578,2.7711,2.2655,0.10368,0.49964,1.2601
0.61989,1.9841,2.3807,0.072697,1.9431,2.3152,2.4444,0.13208,0.66063,1.1161
3.6403,1.5292,2.5738,0.00096154,1.1197,2.5868,1.2664,0.10305,0.43978,0.86406
3.856,0.74932,2.4451,5.1012e-07,3.1646,0.5579,3.8548,0.093825,0.36861,0.64804
4.2875,0.51102,1.7373,4.2116e-10,1.7638,1.533,1.1332,0,0.35951,1.0441
2.5616,0.40271,1.2869,7.0825e-07,2.3662,2.0617,3.746,0.17104,0,2.3762
2.1301,0.29439,0.83648,0.0022892,2.8244,1.6606,3.3345,0.12541,0.53466,3.2762
0.83563,0.29439,0.64344,2.7887,2.7696,2.6664,4.1868,0.14018,0.49144,4.5363
0.40415,0.40271,1.7373,2.8685,2.9391,2.6132,1.3115,0.67797,0.69758,1.6561
1.4829,1.1826,1.2225,1.0007,2.5355,1.0628,2.6369,1.7059,0.86927,3.1322
0.40415,1.6592,1.9303,0.14301,3.5214,2.2834,1.7651,1.7701,1.556,2.5922
0.40415,2.5691,1.9947,0,3.8557,2.7531,1.6772,1.5131,1.3843,1.4401
0.40415,2.7857,1.7373,0,2.7594,3.6809,4.2924,1.7701,1.041,0.82806
0.40415,2.8723,1.9947,0,1.6351,1.5217,4.8276,1.4489,1.7277,0.64804
0.61989,2.8723,2.7668,0.25444,2.7759,1.1675,0.56748,0.74221,1.7277,0.36002
2.5616,2.2441,3.2172,0.0014546,3.6574,1.2652,3.682,0.35675,1.2126,0.28802
2.7773,1.6592,2.8312,6.2531e-07,1.614,3.4977,1.5378,0.22827,1.041,0.32402
1.9143,0.96596,2.6381,4.9676e-10,2.9624,3.1571,1.6894,0.42099,0.69758,0.21601
1.6986,0.79265,1.7373,7.5599e-07,2.0098,2.7456,3.0451,0.35675,0.69758,0.61204
1.4829,0.55435,1.866,0.0023608,3.0068,2.855,1.8949,0.61372,0.69758,0.82806
0.40415,0.4677,1.4156,3.0747,1.5385,1.6857,3.1121,0.74221,0.69758,1.9081
0.83563,0.53269,1.1582,2.6266,1.7133,3.2754,1.0529,0.74221,0.69758,2.6642
1.2671,0.4677,0.90082,0,1.8591,2.7747,2.8442,1.5774,0.69758,2.4122
0.83563,0.29439,0.90082,0,3.0505,3.1146,1.8409,2.798,1.556,1.9441
0.61989,0.29439,0.51475,0,3.435,2.3311,5.0328,3.055,2.2428,1.1881
0.61989,0.66267,0.38607,0,2.6646,2.1165,2.3103,2.8622,5.3332,0.75605
0.61989,2.1791,0.70779,0,2.058,0.70526,1.9899,2.6695,4.8181,0.50403
0.40415,3.0023,2.1877,0,3.1526,2.6679,1.6094,1.9628,4.3031,0.32402
0.40415,4.1721,2.5738,0,2.5694,3.1839,1.1933,1.3204,3.2729,0.10801
0.40415,3.8689,3.2172,0,2.7324,2.1039,1.7299,1.1919,2.5862,0.036002
0.40415,3.5222,3.0885,0,3.8808,4.2124,1.9294,0.67797,2.5862,0
0.40415,2.7207,3.6033,0,3.4714,0.23065,2.0877,0.48524,2.0711,0.072005
0.40415,2.0275,3.9893,0,3.44,2.245,1.3505,0.29251,1.3843,0.036002
0.40415,1.5292,3.1529,0,0.31867,2.5641,3.4457,0.29251,1.2126,0.036002
