"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.019596,0.80295,2.9636,0.33646,0.791,1.8522,2.1635,2.8106
0.18195,2.0279,0.78401,0.50469,1.0589,3.4465,2.2174,1.2165
0.087707,2.1504,0.1426,0.67293,1.4918,1.1547,1.5705,0.46144
0.090686,2.1014,0,0.84116,2.0689,0.55687,1.193,0.083898
0.10005,2.0769,0,1.8505,2.4811,0.30776,0.97737,0.12585
0.060266,2.2729,0,1.1776,2.6666,0.35758,0.70779,0.12585
0,2.2239,0.18122,1.6823,2.8315,0.35758,0.27646,0.1678
0.059105,1.7094,0.0010079,2.3552,2.2956,0.25794,0.27646,0.20974
0.10328,1.4889,5.7429e-07,3.0282,2.2131,0.65651,0.27646,0.20974
0.037895,0.97445,4.3611e-10,3.3646,2.007,0.80598,0.27646,0.58729
0.006782,0.60696,6.9828e-07,3.7011,2.2338,0.50705,0.38429,0.88093
0.083906,0.38646,0.0022113,3.5329,1.9658,0.4074,0.38429,1.0487
0.044448,0.55796,2.9589,2.3552,1.4918,2.3505,0.70779,2.7686
1.0074,0.046941,2.8603,0,0.028401,1.4537,1.894,1.5102
3.3909,0.028267,1.2117,0,0.028401,4.0444,2.2714,1.8038
3.9305,0.048854,0.2139,0,0.028401,1.4038,3.5114,1.0068
3.3909,0.0037751,0,0,0.028401,0.1583,3.4036,0.33559
3.166,0.0063331,0,0,0.028401,0.10847,2.9723,0.37754
3.4808,0.054088,0,0,0.028401,0.10847,2.2714,0.88093
3.0761,0.11112,0.10873,0,0.028401,0.25794,1.7861,1.1326
0.51277,0.013327,0.0012292,0,0.028401,0.1583,1.84,1.1746
0.153,0.057421,6.3172e-07,0,0.028401,0.10847,2.1635,1.7619
0.063062,0,4.6303e-10,0,0.028401,0.10847,2.3792,1.8038
0.063062,0.023808,7.1415e-07,0,0.028401,0.10847,2.4331,1.2585
0.063062,0.0097069,0.0022827,0,0.028401,0.10847,2.3792,0.88093
0.69265,0.045569,2.9589,0,0.028401,2.2508,2.2174,1.0487
1.682,0.58246,2.8603,0.67293,0.89405,1.5533,0.14796,4.4046
4.74,2.1994,1.0691,0.50469,0.91466,4.3433,0.084577,4.4885
2.5364,1.9789,0.1426,1.1776,1.533,2.4003,0.16002,1.3424
1.637,2.2484,0,0.67293,2.0276,1.6031,0.14925,0.92288
1.5471,1.8074,0,1.1776,2.4811,1.1049,0.1631,0.37754
1.637,2.0034,0,1.5141,2.646,1.0053,0.092544,0.54534
1.0524,2.0524,0.072488,1.1776,2.9963,0.55687,0,0.41949
0.60271,1.2194,0.00118,1.5141,2.8315,0.8558,0.1448,0.20974
0.153,0.70496,5.907e-07,2.187,2.6047,1.2544,0.10677,0.25169
