"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.057564,1.3172,-0.59246,-0.32944,1.7025,0.83979,-1.2233
-0.057564,1.8434,-0.096448,1.2375,-0.073114,-0.7676,-1.8612
-0.057564,0.41175,0.38966,2.1745,-2.0483,-1.7852,-0.99962
-0.057564,-0.53604,0.492,1.9605,-0.83163,-1.4655,-0.11276
-0.057564,0.29621,0.30633,1.0854,-0.11012,-0.68766,0.18869
-0.057564,0.6027,0.24265,0.32119,0.13638,-0.32468,0.18029
-0.057564,-0.66715,0.4284,-0.074498,0.08073,-0.19703,-0.099205
-0.057564,-1.2986,0.58299,-0.26355,0.041264,-0.023459,-0.099888
-0.057564,-0.8729,0.44521,-0.36506,0.12908,0.064125,0.29945
-0.057564,-0.58394,0.12075,-0.36986,0.16021,0.056187,0.25129
-0.057564,-0.61729,-0.06985,-0.31429,0.10488,0.12653,0.47382
-0.057564,-0.52384,-0.065935,-0.29913,0.55242,0.24744,1.9583
-0.057564,0.064204,-0.13711,-0.3477,0.29649,0.2617,2.3929
3.1481,-0.10298,-0.093698,-0.08102,2.4205,0.034884,2.0703
1.9002,-0.10298,-0.093698,-0.08102,-0.47656,1.4445,1.6661
-1.381,-0.10298,-0.093698,-0.08102,-2.7145,1.9576,-1.9489
-0.48112,-0.10298,-0.093698,-0.08102,-0.72074,1.2036,-0.8257
0.0035014,-0.10298,-0.093698,-0.08102,-0.10558,-0.17428,-0.31384
0.27034,-0.10298,-0.093698,-0.08102,-0.0016035,-1.2145,0.48882
-1.4056,-0.10298,-0.093698,-0.08102,0.019869,-1.0111,-0.47949
-1.6724,-0.10298,-0.093698,-0.08102,-0.069952,0.49787,0.91901
-0.029747,-0.10298,-0.093698,-0.08102,-0.034752,1.6787,1.2072
-0.10098,-0.10298,-0.093698,-0.08102,-0.046041,1.014,-2.5921
-0.22521,-0.10298,-0.093698,-0.08102,-0.13501,-0.63912,-1.3452
0.36081,-0.10298,-0.093698,-0.08102,0.99513,-1.4899,0.84996
0.92806,-0.10298,-0.093698,-0.08102,0.90643,-1.0452,1.1951
1.0506,3.0526,-0.82505,-0.592,1.5623,-0.00041315,0.73346
0.42151,1.8359,-0.35552,0.50832,0.11054,-0.00041315,-0.96965
-0.66079,-0.82763,0.42974,1.3138,-1.5875,-0.00041315,-1.7502
-0.65954,-0.90906,0.88526,1.5003,-0.31289,-0.00041315,-0.85219
-0.29266,-0.17336,0.7976,1.3227,-0.25603,-0.00041315,0.05356
-0.37739,-0.034223,0.59181,1.1042,-0.41526,-0.00041315,0.12655
-0.60318,-0.60819,0.56478,0.74656,0.059159,-0.00041315,-0.20087
-0.51961,-1.0872,0.33489,-0.010602,0.056518,-0.00041315,-0.26116
-0.21494,-0.80196,-0.32981,-1.0235,-0.12208,-0.00041315,0.14867
-0.056052,-0.43638,-0.90821,-1.7767,-0.26096,-0.00041315,0.65805
0.021711,-0.39063,-1.0625,-1.9466,-0.2832,-0.00041315,0.9732
0.20338,-0.014157,-0.90548,-1.6461,0.6688,-0.00041315,0.83391
0.30917,0.55162,-0.45019,-1.1146,0.66875,-0.00041315,0.17815
1.0443,3.4638,-0.94568,-0.08102,-0.024649,1.6285,-0.14052
0.018728,1.5392,-0.39875,-0.08102,-0.024649,0.14374,-1.7776
