"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.071403,0.82656,-0.23848,-0.99543,2.3063,2.182,1.2347
-0.071403,1.021,-0.57934,-0.25409,-0.5273,-1.1719,-2.5905
-0.071403,-0.97598,-0.42074,0.62613,-2.3593,-1.6853,-1.1857
-0.071403,0.28843,0.17727,0.34365,-0.1177,0.030297,0.6958
-0.071403,0.20803,-0.13402,1.2447,-0.1922,-0.76123,-0.7202
-0.071403,0.097341,0.78026,-0.057808,0.10153,-0.018875,0.59976
-0.071403,-0.19152,-0.49166,0.82262,0.077109,-0.48764,-0.16931
-0.071403,-1.2296,3.0048,1.3728,0.076708,-0.033595,0.13278
-0.071403,-0.43099,2.1853,0.006076,-0.25171,-0.19504,0.42047
-0.071403,-0.31233,-1.2401,-0.74578,0.061047,1.2896,0.55565
-0.071403,-0.18517,-0.84455,-1.7205,-0.39671,0.85285,-0.041033
-0.071403,-0.27191,-2.3023,-1.4987,0.43995,0.85043,0.72961
-0.071403,0.2211,-0.15705,-0.9685,0.66094,0.78051,0.97785
2.5507,-0.10068,-0.016356,-0.050489,2.7377,0.58266,0.94627
1.069,-0.10068,-0.016356,-0.050489,-0.95887,0.81805,1.0543
-0.51774,-0.10068,-0.016356,-0.050489,-2.6507,-0.74274,-0.59015
0.30072,-0.10068,-0.016356,-0.050489,0.10577,2.837,-0.90426
-1.0395,-0.10068,-0.016356,-0.050489,-0.54332,0.8587,-0.08352
-0.11792,-0.10068,-0.016356,-0.050489,0.22726,-2.0028,-0.79796
-1.1656,-0.10068,-0.016356,-0.050489,-0.061544,-0.60193,-0.049203
-1.1609,-0.10068,-0.016356,-0.050489,-0.18021,-1.505,0.15042
-0.19665,-0.10068,-0.016356,-0.050489,-0.097805,-0.82944,-0.43277
-0.039789,-0.10068,-0.016356,-0.050489,0.089546,0.49683,1.3607
-0.19754,-0.10068,-0.016356,-0.050489,-0.35005,-0.0090233,-0.15514
0.34319,-0.10068,-0.016356,-0.050489,0.80493,0.5096,-0.079072
0.95311,-0.10068,-0.016356,-0.050489,0.938,1.2937,1.1321
5.2303,1.4437,-1.2597,-1.605,2.0606,0.0024192,2.4266
2.1543,0.82374,0.37536,0.97945,-0.028035,0.0024192,-1.7682
-3.9646,-0.32854,0.47589,1.0823,-2.3934,0.0024192,-3.3617
0.33304,-0.089696,0.3781,1.3609,0.29921,0.0024192,-0.081313
-1.537,0.59889,1.6899,1.5496,0.17851,0.0024192,-1.0749
-0.25037,-0.21566,-0.041635,0.79864,-0.25195,0.0024192,-0.36078
-0.67613,-1.2319,1.3295,1.1022,-0.14911,0.0024192,0.20455
-1.6771,-0.7484,-0.99921,-1.0992,-0.20123,0.0024192,-0.80308
0.041243,-0.492,-0.94425,-1.1182,-0.065562,0.0024192,1.3612
-0.092381,-0.18477,1.1282,-1.1492,-0.13713,0.0024192,0.97418
-0.29965,-0.30762,-1.2135,-1.512,-0.61214,0.0024192,0.81602
0.75924,-0.083522,-0.81402,-0.75213,0.65441,0.0024192,1.4327
1.4909,0.18862,-0.18956,-0.68587,0.69247,0.0024192,0.1683
3.1114,1.2596,-0.065522,-0.050489,-0.043811,3.5549,1.5327
0.25968,0.5862,-0.91793,-0.050489,-0.043811,0.14339,-3.1813
-3.1377,0.84914,0.37076,-0.050489,-0.043811,-1.476,-2.366
0.1754,0.76633,0.51869,-0.050489,-0.043811,-0.95369,0.29213
-0.23281,-0.51964,0.39842,-0.050489,-0.043811,-1.6511,-0.31733
-0.45794,0.2951,2.0082,-0.050489,-0.043811,-0.14674,0.21537
-0.29496,-0.96566,-0.19232,-0.050489,-0.043811,-0.64795,0.083744
-0.16563,-1.0462,0.7575,-0.050489,-0.043811,-0.4173,0.14124
-0.14645,-0.62442,0.36122,-0.050489,-0.043811,-0.12544,0.2542
-0.0016053,-0.74422,0.34274,-0.050489,-0.043811,0.041017,0.22618
-0.30208,-0.18293,-0.0055114,-0.050489,-0.043811,0.0056704,-0.22118
0.62271,-0.25072,-1.9285,-0.050489,-0.043811,0.25929,2.0766
0.75983,-0.038164,-0.45826,-0.050489,-0.043811,1.0945,2.9973
-0.071403,-0.92695,-1.5944,-0.92656,-0.030101,-0.87795,-0.1112
-0.071403,-0.034344,-0.58979,-1.4915,-0.13104,2.0042,0.13966
-0.071403,-0.30999,0.094899,-0.98826,-0.18698,1.3251,-1.1362
-0.071403,0.083184,-1.4725,-0.84998,-0.038297,0.37052,-1.1896
-0.071403,0.77581,-1.1841,-0.16988,-0.059612,-1.0177,0.12484
-0.071403,4.3322,0.32185,-0.20985,0.0031818,-2.3553,-0.20812
-0.071403,4.2346,0.060551,1.843,0.090329,-0.63239,0.26153
-0.071403,3.2281,0.21012,2.5023,-0.10287,-0.59292,-0.080858
-0.071403,1.8456,1.6755,2.6977,0.29117,-0.18071,0.081028
-0.071403,-1.7147,1.6063,1.6636,-0.10275,-0.65326,0.052814
-0.071403,-2.6448,-0.36159,0.22848,0.24479,-0.066167,0.14511
-0.071403,-3.5347,0.39848,1.3972,0.29861,-0.24226,-0.041509
-0.071403,-1.5833,2.2839,-1.8354,-0.64051,0.34319,0.15283
1.4655,1.6232,-0.94871,-0.98615,2.7975,0.4827,0.39971
0.25047,1.3576,-0.77764,0.71826,-1.0954,-0.69645,-0.81097
-1.4417,0.25997,0.19498,1.8159,-2.8888,-1.9893,-0.92372
