"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.10522,0.38357,2.7747,0.49232,0.64495,1.5884,3.0749,1.6262
0.12298,1.9609,1.076,0.32822,0.60287,4.7097,3.1213,0.832
0,2.668,0.21528,0.16411,1.255,1.4908,2.3314,0.18909
0.12145,2.7768,0,0.98465,2.1176,0.51543,1.3091,0.037818
0.048598,2.3689,0,0.98465,2.2228,0.12526,0.75154,0
0.08776,3.1575,0,0.65643,2.5384,0.17403,0.47274,0.075636
0.11413,3.2663,0.21887,1.1488,2.7067,0.46666,0.28687,0.15127
0.05476,2.2601,0.0012371,1.3129,2.5384,0.36911,0.28687,0
0.095378,1.9337,5.9451e-07,1.3129,2.4963,0.61297,0.2404,0.075636
0.097391,1.2266,4.3892e-10,1.9693,2.5384,0.66174,0.33334,0.15127
0.068194,1.1179,7.2674e-07,1.6411,2.2228,1.0519,0.33334,0.416
0.06122,0.65553,0.0022735,1.1488,2.4121,0.85682,0.47274,0.56727
0.038152,0.54675,3.1215,2.1334,2.2018,2.2224,0.61214,1.8909
0.50621,0.088303,3.0175,0,0.034844,2.1249,1.1233,0.832
3.2399,0.044573,1.5781,0,0.034844,4.3683,1.5879,2.08
3.0979,0.035682,0.14352,0,0.034844,1.4421,2.0526,1.7775
2.3168,0.06817,0.071759,0,0.034844,0.41788,2.9355,1.0589
2.2458,0.050372,0,0,0.034844,0.076492,2.7961,0.98327
2.3879,0.045401,0,0,0.034844,0.076492,2.8425,0.832
2.2103,0.048192,0.14591,0,0.034844,0.12526,2.0991,1.1345
0.61272,0.044985,0.0010887,0,0.034844,0.12526,2.1455,0.71854
0.15118,0,6.1102e-07,0,0.034844,0.076492,2.3314,1.7396
0.15118,0.027762,4.606e-10,0,0.034844,0.076492,3.4001,1.1724
0.080176,0.069205,7.507e-07,0,0.034844,0.076492,2.9355,0.22691
0.080176,0.057762,0.0023213,0,0.034844,0.076492,2.889,0.15127
0.75473,0.078348,2.7627,0,0.034844,1.6371,2.0991,0.68073
1.3938,0.49235,2.844,0.65643,0.4556,1.8322,0.098431,4.9542
6.8257,2.4233,1.5064,0,0.39249,5.2462,0,6.2778
3.5949,2.4233,0.21528,0.16411,0.79221,2.1736,0.16821,2.1935
2.7074,2.0425,0.071759,0.82054,1.1919,1.4908,0.1373,1.5127
2.8139,1.7162,0.071759,0.98465,1.6758,1.7835,0.078383,0.832
2.0328,1.7977,0,1.8052,2.0124,0.85682,0.23427,0.86982
1.8198,1.689,0.10943,1.3129,2.349,0.85682,0.037411,1.2102
0.18668,1.2266,0.0010144,1.9693,2.4753,1.1007,0.040033,0.34036
0.080176,0.70992,6.0277e-07,2.7898,2.3911,1.0031,0.13625,0.37818
0.080176,0.43796,4.5518e-10,1.1488,1.9493,0.85682,0.14252,0.94545
0.080176,0.27479,7.5869e-07,1.6411,1.3602,0.5642,0.075394,1.8531
0.080176,0.166,0.0023692,1.1488,0.96052,0.17403,0.085704,3.1767
0.96774,0.41077,3.1933,0.32822,0.47664,2.1736,0.080414,4.0087
0.82573,0.38357,2.9134,0.82054,0.064953,0.10324,1.4485,2.6473
2.8494,2.0153,1.1477,0.32822,0.054737,0.0026502,2.0991,1.9665
0.96774,2.1241,0.21528,0.32822,0.028783,0.0028462,1.6344,0.26473
0.75473,1.8793,0,1.1488,0.038031,0.10516,1.1233,0.075636
0.61272,2.0697,0,1.477,0.021916,0,0.56567,0
0.79023,1.6346,0,1.3129,0.019499,0.073796,0.19393,0.15127
0.93224,0.79151,0.29182,3.1181,0.0081,0.092618,0.14747,0.45382
0.11568,0.49235,0.0010887,3.7745,0.028502,0.047271,0.3798,0.49164
0.080176,0.32918,5.6974e-07,4.1027,0.037264,0.049468,0.47274,0.98327
0.080176,0.24759,4.2808e-10,1.477,0,0.15569,0.6586,1.7775
0.080176,0.1932,6.8681e-07,1.477,0.038376,0.018149,1.0768,3.3658
0.080176,0.11161,0.0022017,0.82054,0.038373,0.13027,2.192,2.6094
0.64822,0.51955,2.7627,0.65643,0.038442,0.1274,3.9113,1.4749
0.080176,0.1932,0,0.65643,1.0236,0.2228,1.1233,2.6094
0.080176,0.13881,0,0.49232,0.70806,0.17403,2.4243,2.3069
0.080176,0.11161,0,0.49232,0.47664,0.076492,3.3072,1.7396
0.080176,0.166,0,0.16411,0.24522,0.076492,3.4466,0.49164
0.080176,0.41077,0,0,0.20315,0.076492,2.889,0.22691
0.080176,1.5258,0,0,0.22419,0.12526,1.8203,0.416
0.080176,2.532,0,0.16411,0.20315,0.076492,1.0303,0.11345
0.080176,2.4504,0,0.98465,0.62391,0.2228,0.6586,0.15127
0.080176,2.3961,0,1.6411,1.2971,0.2228,0.3798,0.18909
0.080176,2.0153,0,1.6411,1.3602,0.41788,0.3798,0.22691
0.080176,1.3354,0,1.477,1.802,0.5642,0.3798,0.26473
0.080176,0.98188,0,1.477,2.2438,0.66174,0.33334,0.45382
0.080176,0.79151,0,1.9693,1.6968,0.27157,0.47274,0.90763
0.57721,1.1451,3.0868,0.16411,0.32938,1.3445,1.5415,0.22691
1.6778,3.7286,1.0043,0.16411,0.49768,3.9294,0.89094,1.0211
0.71922,4.8165,0.21528,0.65643,1.3182,1.5884,0.5192,0.30254
0.3997,3.8646,0.071759,1.6411,1.9703,0.46666,0.56567,0.11345
0.29319,2.5864,0,0.82054,2.4542,0.41788,0.2404,0.075636
0.29319,2.2329,0,0.98465,2.6015,0.5642,0.14747,0.15127
0.3997,2.2329,0.14591,2.4616,2.7908,0.5642,0.19393,0.26473
0.15118,1.3626,0.0010144,3.2822,2.6436,0.85682,0.19393,0.11345
0.080176,0.79151,5.6974e-07,3.4463,2.5594,0.80805,0.2404,0.37818
0.080176,0.54675,4.5518e-10,2.7898,2.4542,0.66174,0.47274,0.98327
0.080176,0.43796,7.1876e-07,2.6257,1.8651,0.61297,0.61214,1.1724
0.080176,0.35637,0.0022735,0.82054,1.4865,0.2228,0.89094,1.3993
0.79023,0.62833,2.691,0.82054,0.98155,1.8322,1.6344,2.1935
0.57721,0.65553,2.74,0.65643,0.83429,1.4908,2.2849,1.9287
2.0683,1.9337,0.50232,0.82054,0.70806,2.6613,1.9597,1.2102
0.93224,1.9065,0,0.49232,0.98155,0.75928,1.495,0.26473
1.1098,2.2329,0,0.82054,1.4234,0.32034,1.4021,0.22691
0.86124,1.9065,0,1.477,1.9914,0.32034,0.6586,0.18909
0.57721,1.4442,0,2.2975,2.3911,0.17403,0.47274,0.18909
0.61272,1.1451,0,2.4616,2.2228,0.41788,0.3798,0.30254
0.86124,0.92749,0,2.4616,2.4753,0.51543,0.2404,0.90763
2.4944,0.87309,0,1.1488,2.5594,0.90559,0.28687,1.4749
2.1393,0.98188,0,1.477,2.7067,0.85682,0.2404,1.3615
3.0979,1.2266,0,2.6257,2.4963,0.66174,0.5192,1.6262
2.3879,0.90029,0,3.1181,2.4753,0.71051,0.798,2.0044
1.9263,0.90029,0,2.1334,2.2018,0.36911,1.2627,1.7775
