"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.20418,0.34281,1.0779,2.7287,2.8168,2.6281,2.1515,1.077,0.66502,2.0538
0.54493,0.70674,1.0779,0.86826,1.9501,3.216,3.6519,2.2851,0.93734,2.6669
0.1416,0.85231,1.2319,0.07238,1.0834,3.3157,3.533,2.4193,1.2097,1.6553
0.26331,0.76132,1.6169,0,0.65004,3.38,3.8836,2.0837,1.3458,0.82766
0.06694,0.99787,1.3089,0,0.65004,2.4303,1.7229,1.8824,1.482,0.82766
0.19157,1.0525,2.0019,0,0.43336,3.6673,2.6162,1.6139,1.0735,0.7357
0.29699,1.2344,2.3868,0.22076,0.43336,2.5628,4.2662,1.4797,0.93734,0.49047
0.21495,1.1434,2.9258,0.00097331,0.43336,0.332,2.905,1.2112,0.80118,0.58243
0.45247,0.85231,3.3108,5.247e-07,1.5168,2.4499,1.363,0.94274,1.0735,0.52112
0.28923,0.59756,2.4638,4.5912e-10,2.1668,1.6703,3.0784,0.87562,1.2097,0.95028
0.19494,0.43379,2.4638,7.3303e-07,2.1668,1.4935,3.2812,1.1441,0.66502,1.2875
0.42513,0.36101,1.3859,0.0022207,2.8168,2.1464,1.9889,1.5468,0.66502,1.5327
0,0.23363,0.69295,2.8952,1.0834,1.6881,1.6452,1.3454,0.66502,1.3794
0.42229,0,0,3.0086,0,1.8707,0.0069116,2.4864,2.299,0.91962
0.42229,0.040868,0,0.94061,0,2.3315,3.1099,2.4864,1.0735,1.594
0.42229,0.042176,0,0.14476,0,2.5687,1.2981,2.6207,1.2097,1.5327
0.70304,0.032804,0,0.07238,0,4.1258,3.3837,3.1576,1.482,1.5327
0.70304,0.07426,0,0,0,3.404,3.4868,3.6945,1.3458,1.2875
0.28192,0.033881,0,0,0,1.1661,0.55302,3.8288,1.7543,1.2262
0.42229,0.025904,0,0.14718,0,1.4146,3.582,4.3657,2.0266,0.88897
4.7739,0.035846,0,0.0011231,0,2.1727,1.2373,3.2918,2.5713,0.52112
4.2124,0.025259,0,5.9132e-07,0,4.9543,1.0542,3.2918,3.2521,0.42916
3.6509,0.054455,0,4.6458e-10,0,1.7179,1.9768,2.4193,3.6606,0.3372
2.5279,0.0063567,0,7.4914e-07,0,1.9967,1.4165,2.0837,4.0691,0.49047
2.2472,0.013212,0,0.0023656,0,2.018,0.60229,2.4864,4.0691,0.85832
0.56267,0.032058,0,2.9314,0,2.3283,2.9172,2.6878,3.2521,0.85832
0.84342,0.21544,0.61596,3.0436,1.0834,3.6286,2.7192,0.11231,0.14138,3.7092
1.2645,0.59756,0.61596,0.57884,0.86672,1.3627,2.4929,0.1934,0,6.0082
1.9664,0.8887,1.3089,0,0.43336,3.7048,3.1068,0.13127,0.039285,5.3951
0.56267,1.0525,1.6939,0,0,1.4257,1.8006,0,0.38316,4.169
0.42229,1.2708,2.3868,0,0.65004,1.7508,2.4599,0.019253,0.20573,2.9735
0.56267,1.4892,2.8488,0,1.9501,2.6462,4.3241,0.21238,0.32376,2.0538
0.70304,1.2162,3.2338,0.14718,2.6002,1.6405,2.9995,0.069504,0.32028,1.5634
4.4932,0.94329,3.3108,0.0012229,2.3835,3.091,2.6807,0.29577,0.13417,1.1649
5.195,0.72493,2.7718,5.7467e-07,1.9501,3.5,2.5255,0.13718,0.27106,0.7357
4.3528,0.52477,2.0789,4.5912e-10,1.7334,4.3772,4.0919,0.20224,0.36069,1.2875
3.6509,0.3792,1.4629,7.0887e-07,2.3835,3.7868,0,0.11311,0.23927,1.9619
1.9664,0.28822,1.0009,0.0022449,1.7334,3.4437,2.4638,0.086225,0.28609,2.2378
1.1242,0.30642,0.69295,3.0762,1.5168,3.2416,1.8686,0.21224,0.24104,2.6363
0.28192,0.28822,1.6939,2.7637,2.3835,2.0832,3.8135,0.8085,0.93734,2.1458
0.42229,0.52477,1.2319,0.65119,1.0834,4.9197,1.5248,2.0166,1.0735,3.4333
