"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.072109,1.0694,-0.31758,-0.77661,0.97728,2.9153,0.79415
-0.072109,1.2841,-0.087726,0.81971,-0.035914,0.24396,-1.5806
-0.072109,0.9237,0.0036103,1.8127,-1.1107,-2.26,-2.0721
-0.072109,0.27147,0.7863,1.7949,-0.62919,-1.6451,-0.48638
-0.072109,-0.30021,0.4351,1.3743,-0.10251,-0.56874,-0.039566
-0.072109,-0.64183,-0.40334,0.85087,0.31135,-0.4467,-0.27393
-0.072109,-0.82353,0.84418,0.038605,-0.019889,-0.18919,-0.034076
-0.072109,-0.92146,2.0184,-0.66585,-0.46646,-0.24778,-0.031795
-0.072109,-0.90087,0.64875,-0.52896,-0.37002,-0.15293,0.039492
-0.072109,-0.70049,-1.2279,-0.079981,-0.33483,-0.0071927,0.6171
-0.072109,-0.35084,-0.27671,-0.57621,-0.088637,-0.090937,0.89953
-0.072109,0.026711,0.85642,-1.635,0.70789,0.96224,0.94435
-0.072109,0.3044,-0.34244,-1.6715,0.53295,1.5647,0.55717
1.7962,-0.059223,-0.021699,-0.065868,2.5123,0.54993,1.5344
1.4358,-0.059223,-0.021699,-0.065868,-0.24433,2.7108,1.4666
-0.34201,-0.059223,-0.021699,-0.065868,-2.7339,-0.87287,0.35767
-0.50052,-0.059223,-0.021699,-0.065868,-0.46025,-0.083387,-0.10677
0.22252,-0.059223,-0.021699,-0.065868,-0.1953,0.30631,0.079055
-0.060832,-0.059223,-0.021699,-0.065868,-0.034717,-0.33708,-0.34405
-1.5022,-0.059223,-0.021699,-0.065868,-0.010286,2.5856,-1.3531
-1.5882,-0.059223,-0.021699,-0.065868,-0.049632,0.23005,-1.4429
-0.25827,-0.059223,-0.021699,-0.065868,-0.10276,-2.6963,-0.49151
0.02915,-0.059223,-0.021699,-0.065868,0.00919,-0.73849,0.083969
-0.16556,-0.059223,-0.021699,-0.065868,-0.3481,1.5016,0.090311
0.25086,-0.059223,-0.021699,-0.065868,1.6001,-0.81054,0.19972
0.59974,-0.059223,-0.021699,-0.065868,1.1122,-1.4016,0.39109
2.4693,1.131,-1.5268,-1.1379,0.055174,-0.026416,3.2421
1.6868,1.7431,-1.9676,-0.82592,-0.11062,-0.026416,0.7302
-0.83683,1.0872,-0.46482,0.20541,-0.21632,-0.026416,-2.3594
-1.4277,0.12368,0.26996,1.4443,-0.104,-0.026416,-1.2798
-0.55355,0.043851,1.6319,1.9943,-0.045982,-0.026416,-0.74491
-0.37923,0.17359,3.5747,1.5639,-0.030671,-0.026416,-0.33831
-0.8934,-0.60997,0.037478,0.76454,-0.036506,-0.026416,-0.087993
-0.64405,-1.4557,-2.6801,0.14575,-0.038164,-0.026416,-0.042607
-0.062514,-1.2798,0.3736,-0.46449,-0.037944,-0.026416,0.063281
-0.082286,-0.7333,0.40756,-1.2703,-0.088826,-0.026416,0.23066
-0.13155,-0.47297,0.056868,-1.807,-0.071905,-0.026416,0.36067
0.3517,-0.081038,-0.75162,-1.4942,0.035069,-0.026416,0.75911
0.6415,0.51572,-1.8106,-0.51629,0.0049003,-0.026416,0.5218
2.639,1.6168,-0.65554,-0.065868,-0.050787,0.099275,-1.1244
