"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.091665,4.831,-1.2962,-1.4286,1.6515,0.57507,1.8307
-0.091665,2.049,0.075457,-0.065948,0.15643,0.80798,-0.76154
-0.091665,-1.6474,0.0065785,2.2158,-2.0437,-0.94783,-2.1183
-0.091665,-0.056415,-0.14815,2.5035,-0.15389,-1.8426,-0.21738
-0.091665,0.34158,2.698,0.94243,0.25844,-0.94621,-0.39678
-0.091665,-1.0431,1.2789,2.347,-0.51521,-0.61827,-0.11557
-0.091665,-1.0088,-0.46863,-0.80339,-0.14981,-0.45783,-0.14706
-0.091665,-1.0287,0.22914,-0.4447,0.4861,-0.13966,-0.06276
-0.091665,-0.61893,1.3194,-0.46146,-0.24848,-0.48632,0.0611
-0.091665,-0.26979,0.99905,-1.9453,-0.20172,-0.068614,0.57374
-0.091665,-0.44429,-1.4491,-0.53218,-0.86775,0.19152,-0.027039
-0.091665,-0.26002,-2.351,-2.2114,0.98633,0.58207,0.81603
-0.091665,-0.05545,-1.7432,-0.022171,1.1712,1.6586,1.221
3.3223,-0.10998,-0.033788,-0.044435,1.9865,0.047812,2.7937
1.5659,-0.10998,-0.033788,-0.044435,-0.97624,0.52088,1.9942
0.23513,-0.10998,-0.033788,-0.044435,-2.1011,-0.047182,0.32013
0.57244,-0.10998,-0.033788,-0.044435,0.26886,-0.0097592,0.34693
-0.80438,-0.10998,-0.033788,-0.044435,-0.28954,-0.17431,-0.96224
0.69032,-0.10998,-0.033788,-0.044435,0.031351,0.36186,0.41511
-3.4917,-0.10998,-0.033788,-0.044435,-0.034582,0.11261,-2.9995
-2.3584,-0.10998,-0.033788,-0.044435,-0.05964,-1.0448,-2.185
0.11813,-0.10998,-0.033788,-0.044435,-0.14723,0.41684,0.7032
-0.28964,-0.10998,-0.033788,-0.044435,0.11434,-0.46089,-1.2146
-0.065359,-0.10998,-0.033788,-0.044435,-0.42185,-0.95571,-0.071432
0.18948,-0.10998,-0.033788,-0.044435,1.021,-0.57708,0.62846
1.2544,-0.10998,-0.033788,-0.044435,0.83635,-0.19329,0.64831
2.0341,3.1181,-0.64948,-1.0588,3.1791,-0.10701,1.411
0.27814,2.5596,-0.28532,1.0203,-0.28629,-0.10701,-1.0538
-1.8714,-0.19724,1.2958,1.7147,-3.2896,-0.10701,-1.5543
-0.12902,-1.1577,-0.68177,2.7081,0.10152,-0.10701,-0.071425
