"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.056351,0.2696,2.7854,0.82618,0.69297,2.1982,1.1825,1.5124
0.030551,1.2458,0.42152,0.82618,0.56673,3.994,1.4825,2.2339
0.027177,1.4628,0,0.20654,0.54148,1.2312,1.5275,1.0129
0.078316,1.4266,0,0.82618,1.1474,0.81681,1.1675,0.76313
0.033359,1.8605,0,0.41309,1.8796,1.0931,0.85251,0.36075
0.015998,2.1498,0,1.0327,2.4603,1.2773,0.64251,0.40238
0,2.1498,0.17863,1.6524,2.4351,1.001,0.3275,0.40238
0.047236,1.4628,0.0010904,1.2393,2.738,1.1852,0.3425,0.26363
0.056092,0.73965,5.5798e-07,1.6524,2.1068,0.58657,0.4625,0.444
0.048361,0.45039,4.4579e-10,1.2393,1.7786,0.40239,0.4775,0.4995
0.035889,0.19729,7.3521e-07,1.4458,1.3999,0.17215,0.4925,0.80475
0.024775,0.12497,0.0022734,1.0327,0.9202,0.26425,0.68751,0.86026
0.034519,0.63117,2.9166,0.41309,0.74346,1.3694,1.0625,1.7205
0.57309,0.047477,2.8533,0,0.036526,1.5996,3.6726,2.3449
3.3073,0.092497,1.0538,0,0.036526,4.0401,3.1476,4.329
3.7226,0.065303,0.14056,0,0.036526,1.047,2.9826,4.3013
3.9822,0,0,0,0.036526,0.49448,3.2826,4.6343
3.9649,0.04496,0,0,0.036526,0.12611,3.3426,4.9118
3.7226,0.040106,0,0,0.036526,0.08006,3.5376,5.0922
3.3246,0.02484,0.25008,0,0.036526,0.08006,3.5376,4.5372
0.57309,0.048832,0.001042,0,0.036526,0.12611,3.7326,2.0674
0.088547,0.054715,5.499e-07,0,0.036526,0.08006,3.7476,1.9148
0.053937,0.094649,4.2987e-10,0,0.036526,0.08006,3.9726,1.8731
0.036632,0.024557,7.0393e-07,0,0.036526,0.08006,4.0776,1.665
0.036632,0.066618,0.0022266,0,0.036526,0.08006,4.0176,1.6234
0.6077,0.0048977,3.022,0,0.036526,1.7377,3.6726,2.2478
0.64231,0.66733,3.0231,0.20654,0.26376,1.6917,0.041017,1.8593
2.8574,3.343,1.1241,0.20654,0.26376,3.7178,0.024802,2.4836
1.1442,3.2706,0.35139,0.41309,0.99594,2.7968,0.025029,1.0268
0.69422,3.813,0.070279,0.20654,1.9301,1.1391,0.020036,0.23588
0.41734,2.7644,0,1.8589,2.3088,1.047,0.021125,0.15263
0.50387,2.4029,0,2.6851,2.536,0.81681,0.0076535,0.111
0.48656,1.6797,0.35725,2.0654,2.738,1.2773,0.012401,0.23588
0.071242,1.3543,0.00099352,1.4458,3.0662,1.0931,0.010589,0.083251
0.053937,0.70349,5.9033e-07,2.0654,2.6623,1.3694,0.015034,0.069375
0.036632,0.48655,4.5109e-10,1.2393,2.3088,0.86285,0.019518,0.34688
0.036632,0.30576,7.1957e-07,2.272,1.8291,0.58657,0.012927,0.63825
0.036632,0.23344,0.0022266,1.8589,1.0717,0.31029,0,0.91576
0.59039,0.45039,2.9869,1.0327,0.79396,1.6917,0.0082354,1.665
0.64231,0.63117,2.7514,0.41309,0.044832,0,1.5575,1.6789
2.044,2.4752,0.98355,0.20654,0.046837,0.057431,1.4975,1.5679
1.5595,2.8368,0.21084,0.61963,0.021201,0.074912,1.2575,0.69375
0.98841,2.6198,0,1.2393,0.042322,0.056116,0.88251,0.36075
1.0749,2.3306,0,2.0654,0.014859,0.10675,0.64251,0.34688
1.3691,1.3543,0,2.4785,0.038969,0.14739,0.4325,0.43013
1.6114,0.88427,0.21435,2.6851,0.017185,0.10582,0.3575,0.65213
0.38273,0.63117,0.00089659,3.3047,0,0.1206,0.3125,0.34688
0.088547,0.37807,5.6607e-07,1.6524,0.024217,0.097106,0.3725,0.36075
0.053937,0.23344,4.3517e-10,1.2393,0.092979,0.010501,0.3275,0.62438
0.036632,0.19729,6.7264e-07,1.8589,0.076958,0.092201,0.6125,1.0545
0.036632,0.16113,0.0021094,0.41309,0.04161,0.096784,1.0625,1.2626
0.625,0.2696,2.8463,0.41309,0.014422,0.0026002,1.3325,1.7899
0.57309,0.63117,2.7514,0.20654,0.56673,1.5075,1.1225,2.109
2.7881,3.1983,0.42167,0.20654,0.46574,3.4875,1.8575,2.4836
1.5768,2.656,0.070279,1.0327,0.8697,1.4615,1.4675,0.92963
1.1442,2.8006,0,1.8589,1.6776,1.3694,1.0775,0.54113
0.67692,1.969,0,1.6524,2.6118,0.95495,0.71751,0.36075
0.59039,1.3905,0,1.4458,2.8643,1.1391,0.4325,0.15263
0.72883,1.4266,0,2.6851,2.8643,1.001,0.3275,0.18038
1.421,0.95659,0,2.272,2.4098,0.72471,0.2525,0.54113
1.9402,1.0289,0,1.6524,1.7281,0.9089,0.4625,0.80475
2.4766,0.84812,0,2.272,1.2737,0.49448,0.77751,1.2626
2.6151,0.63117,0,0.82618,0.89495,0.86285,0.79251,1.0545
2.7881,1.282,0,0.41309,0.71821,0.31029,1.0325,1.443
