"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.10922,0.54164,0.62731,2.8348,0.64585,3.8139,1.8521,4.2875,2.3792,0.68501
0.052828,1.4551,0.70573,1.144,0.64585,2.661,0.88939,2.4861,2.1472,1.0003
0.1369,2.1481,1.2546,0.071526,0.64585,1.352,0.68081,1.4793,4.256,0.82636
0.072286,2.9986,1.7251,0.071526,0.43056,3.2738,4.098,3.6663,4.1686,0.64152
0.03214,3.4711,1.8035,0,0.64585,2.061,2.49,2.6803,2.0146,0.50017
0.098372,3.5026,1.9604,0,0.43056,3.935,2.8717,3.0632,4.1238,0.33707
0.035907,3.2191,2.274,0.1818,0.64585,2.6908,1.3225,3.9157,3.4275,0.17397
0.044107,2.6521,2.4308,0.0010358,0.86113,0.93423,3.4658,2.9667,3.3356,0.086986
0.075087,2.4316,2.274,6.1727e-07,1.507,1.7925,1.9982,3.4678,2.5497,0
0.082162,1.7071,2.5877,4.699e-10,1.7223,3.8046,1.3916,2.8191,2.0636,0
0.043054,0.91963,2.7445,7.4826e-07,2.3681,3.6215,0.74003,4.1066,2.082,0.065239
0,0.69914,1.8819,0.0023138,1.7223,1.7311,1.7129,2.6433,2.8653,0.22834
0.1025,0.76214,1.4115,3.0756,3.4445,2.5966,2.2418,0,2.9792,0.57628
0.52396,0.058656,0,2.8694,0,4.0749,3.0777,3.6484,2.2821,1.9789
0.46887,0.098902,0,0.85801,0,3.4199,2.129,2.646,4.6305,3.1315
2.5622,0.06959,0,0.071526,0,3.5025,3.4648,2.9769,2.7966,4.0448
3.4988,0.066557,0,0,0,1.5443,3.8114,3.4305,4.713,4.6755
2.1766,0.10054,0,0,0,2.6031,1.7279,4.1096,2.8578,5.0778
1.1299,0.064141,0,0,0,2.3573,3.1217,3.6171,2.4575,5.0126
1.8461,0.043922,0,0.03636,0,3.5565,1.4914,2.2061,1.8813,4.8603
5.6472,0.083531,0,0.0011591,0,2.0195,1.2402,4.5175,3.1281,4.3493
5.6472,0.115,0,5.432e-07,0,3.0773,1.8421,3.2309,2.277,3.5012
4.7658,0.076448,0,4.3209e-10,0,2.6261,2.9531,3.841,1.1674,3.1859
3.3335,0.057168,0,7.0846e-07,0,3.9885,3.7053,2.6068,2.8702,2.5552
2.1215,0,0,0.0022661,0,3.1064,2.2557,2.7031,4.4583,2.1855
0.46887,0.13048,0,3.0399,0,3.3435,1.7764,1.3978,2.6425,1.9572
0.24852,0.54164,0.70573,2.5582,3.2292,1.2624,4.2037,3.0664,1.5886,0.70676
1.0198,0.57314,0.5489,0.64351,2.3681,1.8405,2.9201,3.0547,3.9472,1.5114
0.74432,0.79364,0.94097,0,0.86113,1.7331,0.92738,2.8,1.7035,1.9463
0.68923,1.6756,1.333,0,0.21528,1.3366,3.5537,3.7971,0.14669,1.9898
0.19343,2.2111,1.8819,0,0.21528,3.3353,2.6629,3.9975,2.8784,1.2395
