"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.041478,5.5843,-0.89146,-0.78339,2.5323,0.68173,1.4375
-0.03827,2.7076,-0.23884,0.14191,0.10811,0.41058,-0.65618
0.010697,-0.77288,-0.021298,1.9287,-1.9187,-0.48628,-2.1184
0.012415,-0.31119,0.63132,2.1839,-0.5675,-1.0286,-0.83897
-0.001326,0.1505,2.5892,1.6415,0.14785,-0.69486,-0.274
-0.017456,-0.91494,1.719,1.4501,-0.40853,-0.382,-0.15768
-0.02254,-1.3056,-0.021298,-0.049534,-0.0906,-0.21514,-0.041367
0.0297,-1.1635,0.41378,-0.52814,0.42604,-0.11085,0.025099
-0.00083744,-0.73737,1.5015,-0.75149,-0.0906,-0.15256,0.35743
-0.014908,-0.38222,0.84886,-1.3258,-0.44827,0.014294,0.63992
-0.018882,-0.38222,-1.5441,-1.1982,-0.5675,0.24372,0.50698
0.0071219,-0.24016,-2.8493,-1.4215,1.1016,0.64001,1.2547
0.65109,-0.2027,-2.8493,-2.1554,1.0222,4.0815,1.72
3.1945,-0.16091,-1.3265,-1.4853,0.46578,3.8312,2.8832
2.7652,0.0091839,-0.021298,-0.017627,-0.88543,0.34801,2.9164
0.98763,-0.0086679,-0.021298,-0.017627,-2.1174,0.13944,1.1218
0.41113,-0.063589,-0.021298,-0.017627,-0.36879,0.056009,0.15803
-0.10132,-0.038974,-0.021298,-0.017627,-0.0906,0.056009,-0.40693
-0.59775,-0.038416,-0.021298,-0.017627,-0.011117,0.26458,-0.72265
-3.6084,-0.10773,-0.021298,-0.017627,0.028625,0.056009,-3.1154
-3.176,0.032139,-0.021298,-0.017627,-0.050858,-0.34028,-2.5505
-0.51768,-0.014789,-0.021298,-0.017627,-0.050858,0.097723,-0.24077
-0.06929,-0.12873,-0.021298,-0.017627,-0.011117,-0.19428,-0.72265
-0.0052336,0.064997,-0.021298,-0.017627,-0.011117,-0.50714,-0.1743
0.69938,0.068371,-0.021298,-0.017627,1.1414,-0.34028,0.90578
0.68337,0.43173,1.2839,0.71623,1.5388,-4.4514,-0.49002
1.5161,2.7353,0.84886,0.81195,2.8105,-4.1224,-0.62295
0.45917,3.0982,-0.021298,0.78005,-0.24957,0.057251,-0.8722
-1.6226,0.32808,0.84886,1.8968,-3.2699,0.017741,-1.6532
-0.66181,-1.3056,-0.021298,2.1201,-0.68672,-0.01825,-0.4734
-0.13335,-1.3056,1.5015,1.3863,0.068367,0.0087061,-0.008134
-0.10132,-0.63082,2.5892,1.0991,-0.011117,0.025987,0.074949
-0.48565,-0.73737,-1.3265,-0.24098,-0.050858,0.018623,-0.091217
-0.40558,-0.98597,-2.4142,-0.59195,-0.13034,0.0056034,-0.041367
-0.0052336,-0.70185,-1.5441,-0.71958,-0.36879,0.014822,0.15803
-0.0052336,-0.41773,-0.89146,-1.5173,-0.20982,0.027019,0.45713
-0.0052336,-0.20464,-0.45638,-1.4534,-0.17008,0.03644,0.8227
