"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.060309,3.8051,-0.37346,-0.56097,2.7975,0.72834,0.30452
-0.02479,1.0024,-0.74562,0.80678,-0.018957,-0.094417,-0.93445
0.0057528,-0.62235,-0.37346,1.5932,-2.0609,-0.64292,-1.3353
0.026727,-0.013066,2.0456,0.73839,-0.72308,-0.26319,-0.35141
0.002287,-0.62235,2.2317,0.49904,-0.15978,-0.24209,0.23164
-6.2711e-05,-0.78482,0.37086,0.25968,-0.2654,-0.15771,0.17698
-0.0078326,-0.98791,0.9291,-0.15064,0.016249,-0.094417,-0.29675
-0.056515,-0.62235,-0.55954,-0.97129,-0.30061,-0.073321,0.1041
0.0082284,-0.21616,-1.8621,-1.5184,-0.54705,0.45409,0.7418
0.035557,-0.17554,-1.676,-1.2106,-0.15978,1.0026,0.48672
-0.018101,-0.094303,-1.676,-0.9371,-0.19499,0.89711,0.41384
-0.026752,0.59621,-0.18738,-0.52677,1.1781,0.9604,0.94222
0.69941,-0.1575,-0.18738,-0.56097,1.002,2.627,0.99688
3.7211,-0.9192,-0.37346,-0.45839,2.4807,2.4371,3.5659
3.078,-0.056679,-0.0013013,-0.013869,-0.018957,0.45409,2.8189
-0.19067,-0.016131,-0.0013013,-0.013869,-3.434,0.60176,0.3774
-0.17408,-0.015292,-0.0013013,-0.013869,-0.96953,0.77053,1.0333
0.058208,0.098732,-0.0013013,-0.013869,-0.37102,-0.24209,0.17698
-0.57229,-0.030543,-0.0013013,-0.013869,0.086662,-0.91718,-1.0802
-3.0611,-0.038637,-0.0013013,-0.013869,0.016249,-0.36867,-3.5582
-2.9947,0.024137,-0.0013013,-0.013869,-0.19499,0.60176,-3.3031
-0.5557,-0.071083,-0.0013013,-0.013869,-0.054163,0.74944,-0.66115
-0.091121,-0.042268,-0.0013013,-0.013869,-0.018957,-0.28428,0.1041
-0.024752,0.0093608,-0.0013013,-0.013869,-0.018957,-0.70621,0.26808
0.40664,-0.013863,-0.0013013,-0.013869,0.89641,-0.36867,0.90578
0.60575,0.96735,0.18478,0.77258,1.2837,-4.8687,-0.27853
2.0824,3.1526,0.37086,0.67,2.4455,-4.6324,-0.86157
0.72189,2.0991,0.18478,1.0119,-0.054163,0.028003,-0.98911
-1.7337,0.068171,1.6734,2.2429,-2.5538,-0.037202,-1.809
-0.65525,-0.094303,2.0456,2.0036,-0.47664,-0.0029086,-0.71581
-0.19067,-0.94729,1.1152,1.0119,-0.23019,0.038113,-0.059884
0.0748,-1.1504,1.1152,0.22549,-0.30061,0.001768,0.031216
-0.45615,-0.90668,1.3013,-0.013869,0.15707,0.034188,-0.023444
-0.73821,-1.2316,0.55694,-0.15064,-0.018957,0.02299,0.15876
-0.1409,-1.2316,-1.4899,-0.32161,-0.65267,-0.016761,0.45028
-0.041344,-0.45987,-1.676,-1.5526,-0.47664,0.015057,0.72358
-0.0081601,-0.053685,-0.55954,-1.9629,-0.19499,-0.0093604,0.66892
0.45642,0.068171,-1.4899,-1.2448,1.1781,-0.020446,1.1973
0.37346,0.47436,-1.8621,-1.7464,0.018234,2.6335,1.4342
2.0659,2.5459,-0.9317,-1.1784,-1.2714,2.7187,0.48672
0.78826,2.424,-0.18738,0.028188,-0.037777,-0.64292,-1.8455
-1.518,-0.33801,1.1152,0.001728,-0.032447,-1.3391,-2.2463
-0.17408,0.10879,1.4873,-0.026908,-0.022537,-0.89608,-0.36963
-0.25704,0.27126,1.1152,0.017106,-0.029187,-0.57963,-0.15099
-0.20727,-1.191,-0.0013013,-0.067799,-0.023733,-0.49525,-0.096325
-0.62207,-1.2316,0.37086,-0.052673,0.027238,-0.34757,-0.18743
-0.7714,-1.0285,0.55694,-0.0056352,-0.027628,-0.221,-0.18743
-0.19067,-1.0285,-0.37346,-0.010124,-0.03879,-0.031128,0.2863
-0.074529,-0.7442,-0.37346,0.00057825,0.045665,0.13764,0.63248
-0.0081601,-0.41925,-1.1178,-0.06222,-0.043284,0.34861,0.66892
0.65552,0.83992,-1.676,0.037269,-0.094732,0.68615,1.3248
0.55597,0.23065,0.18478,1.4269,1.396,0.053257,0.61426
2.0824,0.55559,0.55694,1.0201,2.7369,0.3908,0.52316
1.8667,1.1243,-0.37346,-0.082256,-0.61746,0.91821,-0.059884
-0.90413,-0.2974,-0.55954,0.054518,-2.1665,0.053257,-1.5175
-0.62207,0.47436,-0.37346,-0.048062,-0.12458,-0.24209,-0.62471
0.20754,1.2461,0.18478,0.80678,0.051455,-0.43196,-0.041664
-0.50592,0.51498,0.74302,1.0461,-0.15978,-0.49525,-0.096325
-1.0866,-1.3129,1.3013,1.0461,-0.08937,-0.38977,-0.58827
-0.29023,-1.2722,2.4177,0.90936,-0.018957,-0.1999,-0.26031
0.63893,-0.41925,0.9291,0.32807,-0.19499,-0.031128,0.52316
0.68871,-0.66296,-1.8621,-0.42419,-0.15978,-0.094417,0.68714
0.60575,-0.17554,-0.74562,-0.56097,-0.018957,0.15874,0.76002
0.88781,0.59621,0.18478,-0.9371,-0.2654,1.1292,1.3431
-1.7835,-0.41925,-1.676,-2.3048,0.33311,1.5089,0.48672
-0.27363,1.2055,-1.4899,-1.5184,2.7623,1.0448,0.14054
1.2197,2.7896,-0.0013013,0.63581,0.50914,-0.41086,-1.0802
-1.4185,0.27126,0.55694,1.6616,-2.3074,-1.1914,-2.3374
-1.1696,-0.82544,0.9291,2.2429,-0.44143,-0.83279,-0.84335
-0.24045,-1.0691,1.3013,1.8326,-0.15978,-0.85389,0.067657
0.34027,-0.17554,0.74302,0.97775,-0.12458,-0.64292,0.14054
-0.45615,-0.17554,0.55694,0.088712,0.12187,-0.36867,-0.005224
-0.88754,-1.191,0.55694,-0.73193,-0.12458,-0.010032,0.21342
-0.29023,-0.78482,-0.0013013,-1.3132,-0.47664,0.074354,0.43206
-0.024752,-0.62235,-1.1178,-1.8945,-0.51184,0.3697,0.50494
-0.0081601,-0.41925,-1.676,-1.5526,-0.15978,0.81273,0.48672
0.67212,0.14941,-0.74562,-1.0739,0.89641,1.2768,1.088
