"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.014841,0.26678,2.7854,0.82618,0.69967,2.2131,1.1973,1.5124
0.016649,1.2435,0.42152,0.82618,0.57346,4.0105,1.497,2.2339
0.040905,1.4605,0,0.20654,0.54822,1.2452,1.5419,1.0129
0.002746,1.4244,0,0.82618,1.154,0.8304,1.1823,0.76313
0.0028577,1.8585,0,0.41309,1.886,1.1069,0.86758,0.36075
0.041519,2.1479,0,1.0327,2.4665,1.2913,0.65778,0.40238
0.015358,2.1479,0.17863,1.6524,2.4413,1.0148,0.34308,0.40238
0.0098501,1.4605,0.0010904,1.2393,2.7442,1.1991,0.35807,0.26363
0,0.73705,5.5798e-07,1.6524,2.1132,0.59995,0.47795,0.444
0.033855,0.44765,4.4579e-10,1.2393,1.785,0.4156,0.49294,0.4995
0.020763,0.19443,7.3521e-07,1.4458,1.4064,0.18515,0.50792,0.80475
0.015991,0.12208,0.0022734,1.0327,0.92684,0.27733,0.70274,0.86026
0.0072865,0.62853,2.9166,0.41309,0.75015,1.3835,1.0774,1.7205
0.55135,0.070303,2.8533,0,0.043401,1.6139,3.6849,2.3449
3.2859,0.096254,1.0538,0,0.043401,4.0566,3.1604,4.329
3.7012,0.070137,0.14056,0,0.043401,1.0608,2.9956,4.3013
3.9608,0.072052,0,0,0.043401,0.50777,3.2953,4.6343
3.9435,0.05771,0,0,0.043401,0.13906,3.3552,4.9118
3.7012,0.011732,0,0,0.043401,0.092974,3.55,5.0922
3.3032,0.050448,0.25008,0,0.043401,0.092974,3.55,4.5372
0.55135,0.025307,0.001042,0,0.043401,0.13906,3.7448,2.0674
0.066759,0.047583,5.499e-07,0,0.043401,0.092974,3.7598,1.9148
0.032145,0.070454,4.2987e-10,0,0.043401,0.092974,3.9846,1.8731
0.014838,0.019279,7.0393e-07,0,0.043401,0.092974,4.0895,1.665
0.014838,0.037488,0.0022266,0,0.043401,0.092974,4.0296,1.6234
0.58597,0,3.022,0,0.043401,1.7522,3.6849,2.2478
0.62058,0.6647,3.0231,0.20654,0.27057,1.7061,0.015682,1.8593
2.8359,3.3416,1.1241,0.20654,0.27057,3.734,0.038608,2.4836
