"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.097763,0.48673,1.1027,2.8209,0.92226,1.7476,3.0875,3.4139,2.318,0.899
0.07683,1.9893,0.95565,0.83348,1.1067,3.6906,3.1982,3.0542,2.8131,1.4904
0.094451,2.0992,1.8378,0.13896,1.6601,1.4748,3.0015,1.6546,2.5367,1.2539
0.031817,2.5757,2.2789,0.13896,1.4756,1.964,2.5877,2.2971,1.1491,0.83986
0.13519,2.1359,2.6464,0,1.4756,1.8455,2.3017,2.6968,1.715,0.54413
0.079865,1.916,2.867,0,2.2134,1.7422,4.0993,1.8859,3.4411,0.42584
0,1.6595,2.867,0.1766,3.1357,3.2622,5.0401,3.2061,2.0019,0.43767
0.10177,1.293,2.6464,0.0011739,3.3201,2.896,1.2808,4.1471,2.7395,0.42584
0.13985,0.9265,1.6173,5.7564e-07,3.1357,1.9329,3.4942,2.6217,3.5134,0.3667
0.18057,0.52337,0.88214,4.4598e-10,2.3979,1.1307,5.3772,2.8846,2.7241,0.56779
0.14933,0.52337,0.73512,7.2687e-07,0.92226,0.16065,5.2752,1.8145,1.9996,0.86351
0.15602,0.45008,0.66161,0.0022708,0.73781,1.0567,4.3076,2.2215,1.106,1.1119
0.070417,0.59667,0.36756,3.1267,0.3689,0.96828,2.1237,4.4957,3.0378,1.6561
0.52949,0.044858,0,2.9217,0,0.4065,1.8149,2.159,0.56177,2.1174
1.43,0.17091,0,1.1808,0,1.4687,2.9509,2.4611,3.2169,3.0519
1.3241,0.089675,0,0.069482,0,1.8599,3.94,2.5908,2.2695,4.2348
2.0128,0.057092,0,0.069482,0,0.8027,2.9306,1.6662,2.8348,4.8617
3.1252,0.029776,0,0,0,1.2567,4.6796,2.5812,3.2095,5.2166
3.0722,0.057719,0,0,0,1.9094,2.6705,1.7172,1.9548,4.98
3.602,0.14955,0,0.24724,0,3.6586,2.8816,1.1284,1.7083,5.0391
6.6745,0.062509,0,0.001102,0,0.58895,3.3655,3.6934,2.6999,4.1875
5.8798,0,0,5.3566e-07,0,1.2513,4.6499,2.2994,2.2716,3.2293
4.0787,0.090983,0,4.4598e-10,0,2.4558,1.6309,2.7651,1.3627,2.354
2.5425,0.10432,0,7.1141e-07,0,2.3332,2.8837,2.004,2.8369,2.0582
1.9068,0.10019,0,0.0022013,0,3.3236,2.7852,0.35649,4.5242,2.1529
0.63544,0.12821,0,3.0572,0,0.37291,2.1601,3.4103,2.0601,2.1647
0.26463,0.48673,0.73512,2.8209,0.3689,2.7727,3.1368,2.4808,3.6296,0.72157
0.3176,1.806,0.66161,1.0419,0.3689,1.0049,3.1148,3.153,1.9695,1.3485
0.42355,2.8322,1.9113,0.069482,0.18445,0.84846,3.519,2.593,2.8787,1.2657
0.15868,3.0521,2.2054,0,0.3689,3.0737,3.3499,2.7969,3.4555,0.83986
0.1057,3.9316,2.7934,0,0.73781,1.4628,2.0928,1.2098,2.5843,0.55596
0.1057,3.4552,3.8226,0,1.2912,1.1914,1.7064,1.5755,2.5536,0.23658
0.21165,2.6489,4.0431,0.070641,1.6601,2.9493,2.4102,3.6302,2.3075,0.17743
1.3241,1.9893,3.0875,0.0010781,3.689,0.87976,2.9322,2.237,2.4063,0.094632
1.2711,1.4396,3.014,5.5965e-07,2.9512,1.4975,2.5628,2.2487,1.0908,0
1.0063,1.0731,2.7934,4.0925e-10,3.689,2.2618,3.8197,1.6582,2.6172,0.3667
0.90031,0.59667,2.2789,6.8821e-07,3.5046,3.7405,3.3849,2.7111,3.6587,0.59145
0.47652,0.52337,1.6173,0.0022245,3.8735,0.93408,4.1118,1.974,1.744,0.66242
0.21165,0.45008,0.95565,2.9877,3.689,2.251,2.1542,1.5511,1.616,0.92266
0.37057,0.26684,0.80863,2.653,0.73781,2.3205,2.8861,3.0458,2.4798,1.2775
0.37057,1.4762,0.95565,1.2502,0.55336,1.1406,3.679,1.5998,1.5889,1.9754
0.21165,2.7222,1.6173,0.13896,0.55336,1.4282,1.5028,1.8161,2.3407,1.6679
0.3176,2.6489,1.6908,0.069482,0.73781,0.57081,4.2189,4.9272,4.7791,1.0409
0.15868,2.7589,2.0583,0,0.73781,1.74,2.5931,2.7664,1.2315,0.61511
0.15868,3.2353,2.7199,0,1.1067,3.4882,3.0969,2.2664,2.4599,0.48499
0.42355,2.6856,2.867,0.03532,0.92226,2.4292,3.9376,4.335,1.9168,0.41401
1.536,2.1359,3.014,0.00079059,2.029,2.7024,2.9327,3.0731,3.1761,0.16561
1.8009,2.0626,2.7199,5.5165e-07,2.5823,1.8821,3.6726,4.5496,1.7366,0.023658
1.3771,1.2197,2.3524,4.4598e-10,2.2134,1.657,1.3553,1.4008,2.4467,0.047316
0.84734,0.9265,1.7643,7.1141e-07,0.92226,2.4187,3.2541,3.7551,1.4035,0.22475
0.68842,0.70661,1.1027,0.0022013,1.8445,2.5994,0.89163,3.0716,1.5174,0.50865
0.37057,0.66996,0.88214,2.9182,0.73781,0.52362,2.8236,2.1085,2.3661,0.8162
0.15868,0.66996,1.3232,2.7202,2.029,2.6399,2.0824,1.9419,2.5982,0.70974
0.52949,1.1464,1.2497,0.62534,1.8445,1.3674,6.366,3.3866,4.6327,1.4076
0.95328,1.4029,0.95565,0,1.2912,0.97731,3.157,2.0507,3.1974,1.6797
0.52949,1.5129,1.3232,0,1.6601,3.1095,2.0036,5.0595,2.748,1.5378
0.42355,1.5862,1.6908,0,0.73781,2.2925,2.8098,2.6587,2.33,1.2066
0.42355,1.6595,1.6908,0,0.3689,2.9976,2.7759,4.636,1.2686,1.0055
0.26463,2.1725,2.4259,0,1.1067,2.9197,4.2589,1.5733,2.9478,0.76888
0.3176,2.6123,2.6464,0,2.5823,2.293,2.2525,0,1.777,0.54413
0.3176,2.2825,2.2789,0,2.5823,0.55175,4.4572,2.5193,3.5522,0.50865
0.3176,1.6595,2.2789,0,3.3201,0.57327,4.0276,2.2348,2.1641,0.4495
0.15868,1.5495,2.1318,0,4.0579,0.8871,3.1226,3.7121,1.5074,0.72157
0.37057,1.0731,2.2789,0,2.5823,1.3604,3.9355,1.7017,3.1046,0.88717
0.42355,1.0731,1.9113,0,2.029,0.32673,2.6265,3.2601,1.4632,1.4668
0.15868,0.26684,0.58809,2.7538,1.2912,1.0832,3.6871,2.6615,3.1312,1.4076
0.58247,1.3663,0.44107,1.1113,0.3689,0.22939,2.2378,2.0615,3.173,1.9636
0.3176,2.4657,1.1027,0.13896,0.55336,0,3.6802,4.0053,2.1203,1.5259
0.15868,3.3086,1.8378,0,1.2912,1.4746,4.6941,2.9205,2.7157,1.1356
0.26463,3.272,2.5729,0,0.55336,1.6525,1.9054,3.4582,1.5005,0.74522
0.21165,2.7955,2.4994,0,1.2912,1.3456,3.078,2.3758,4.422,0.35487
0.42355,2.5024,3.2345,0.24724,1.4756,2.0857,1.782,2.6247,4.7497,0.26024
2.2776,1.8427,3.3815,0.001126,1.8445,2.0129,4.1168,1.1378,3.9498,0.29572
1.8538,1.3663,2.867,5.9163e-07,1.2912,1.0971,2.0734,1.7673,1.214,0.26024
