"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.033677,0.36153,2.7676,0.59855,0.65686,1.8492,0.99634,1.4515
0.015204,3.2591,0.93015,0.19952,0.38577,3.4541,1.2304,2.046
0,3.1857,0.21473,0.39903,0.76981,1.9997,1.2743,0.89857
0.031443,2.4889,0.071576,0.19952,1.7638,1.0468,0.87931,0.27648
0.017991,2.8923,0.071576,0.99758,2.3286,1.2975,0.54285,0.19354
0.035426,2.6723,0.071553,2.5937,2.9385,1.2474,0.38193,0.041473
0.0055313,1.9754,0.14554,2.5937,3.3678,0.79598,0.2649,0.055297
0.017784,1.3518,0.0010859,2.5937,2.9159,1.1471,0.22102,0
0.041142,0.80166,5.7651e-07,2.9927,3.0063,1.3477,0.17713,0.069121
0.022266,0.61827,4.5401e-10,3.9903,2.3964,1.0468,0.10399,0.29031
0.03128,0.43488,7.3285e-07,3.7908,2.0801,0.79598,0.17713,0.59444
0.0083524,0.25149,0.0022676,2.5937,1.5605,0.3446,0.2649,0.70503
0.043875,0.21481,2.9704,1.1971,1.0861,2.2003,0.61599,1.6313
0.6774,0.070113,2.8714,0,0.046903,1.6486,3.1175,2.1289
3.3056,0.076594,0.8586,0,0.046903,2.8021,3.2931,4.0228
3.5015,0.10756,0.071576,0,0.046903,0.54521,3.3516,4.5482
4.3177,0.0956,0.071576,0,0.046903,0.14399,3.3808,4.9491
3.926,0.06984,0,0,0.046903,0.093832,3.3808,4.6726
4.2198,0.083306,0,0,0.046903,0.043679,3.4101,4.6035
3.3219,0.058124,0.072769,0,0.046903,0.093832,3.5564,4.0643
0.5468,0,0.00098717,0,0.046903,0.093832,3.4393,2.0045
0.08972,0.11927,5.6004e-07,0,0.046903,0.043679,3.3077,1.9354
0.024423,0.012684,4.378e-10,0,0.046903,0.043679,3.4979,1.7971
0.024423,0.014287,7.2488e-07,0,0.046903,0.043679,3.1614,1.3271
0.024423,0.10777,0.0022438,0,0.046903,0.043679,3.1321,1.6451
0.7427,0.11286,3.0062,0,0.046903,1.4981,2.9127,2.0736
0.72637,0.5816,2.733,1.1971,0.56649,1.9997,0,1.2304
2.2935,2.9657,1.2164,0.79806,0.63427,5.059,0.011374,1.5483
1.1998,3.8093,0.14315,1.1971,1.1313,1.6987,0.030129,0.49767
0.64475,3.3325,0,1.5961,1.9897,0.94644,0.013792,0.16589
0.53048,2.4889,0,1.1971,2.6449,0.84614,0.007304,0.096769
0.51415,2.012,0,2.9927,2.9837,1.0468,0.009873,0.15207
0.43253,1.8653,0.18192,3.5913,3.4355,0.84614,0.015505,0.15207
0.024423,1.2785,0.0010119,1.7956,2.8256,0.9966,0.012909,0.069121
0.024423,0.87502,5.271e-07,1.3966,3.0289,0.69568,0.00941,0.11059
0.024423,0.5816,4.0537e-10,0.39903,2.3286,0.54521,0.013279,0.19354
