"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.099672,1.5049,-0.41131,-0.59105,2.5094,1.076,-0.77502
-0.061897,0.74848,-0.61625,-0.14448,-0.45267,-0.67793,-2.0363
0.040333,-0.26007,-0.41131,0.3914,-2.3484,-1.422,-1.4389
0.10132,0.097124,-0.0014331,0.5998,-0.80813,-0.51849,0.021586
0.063076,0.34926,0.2035,0.74865,-0.097218,-0.46534,-0.24395
-0.021921,0.18117,0.40844,0.3914,0.10026,-0.30589,0.15435
-0.075263,-0.28109,0.61338,0.71888,0.17925,-0.30589,0.021586
-0.11963,-0.8484,2.8677,0.95705,0.060761,-0.19959,0.08797
-0.020729,-0.53322,2.2529,0.183,-0.13671,0.17246,0.45308
0.039854,-0.21805,-0.61625,-0.68037,-0.097218,1.0228,0.45308
0.015652,-0.15502,-1.6409,-1.2758,-0.17621,1.076,0.22074
0.036779,-0.070969,-2.0508,-1.2758,0.5347,0.9697,0.75181
0.49534,-0.22694,-1.8459,-1.5437,1.5221,0.17246,-0.011606
2.4674,-0.22399,-1.0261,-0.91854,2.1145,0.066158,-0.11118
1.7858,-0.0025795,-0.0014331,0.004372,-0.80813,0.49135,0.85138
0.021097,-0.018248,-0.0014331,0.004372,-2.6644,0.33191,-0.47629
-0.15897,-0.025131,-0.0014331,0.004372,-0.80813,1.9795,-0.90778
-0.77121,-0.067479,-0.0014331,0.004372,-0.29469,0.81025,-0.54267
-0.73519,0.017728,-0.0014331,0.004372,0.060761,-1.3157,-0.67544
-1.3834,0.060983,-0.0014331,0.004372,0.021266,-1.2094,-0.24395
-1.4555,0.015324,-0.0014331,0.004372,-0.17621,-1.3157,-0.077989
-0.44708,-0.037908,-0.0014331,0.004372,-0.057723,-0.78423,0.021586
-0.05093,-0.0088902,-0.0014331,0.004372,-0.018228,0.17246,0.81819
-0.014917,-0.0041032,-0.0014331,0.004372,-0.018228,0.22561,0.15435
0.66934,-0.027847,-0.0014331,0.004372,0.96914,0.6508,0.12116
1.3176,0.29824,0.40844,0.62957,1.0086,-1.5202,3.9382
