"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.1206,3.738,-1.6956,-0.38611,3.3761,0.43341,-0.51436
0.026943,2.0135,-0.4511,0.70688,-0.05024,0.016052,-1.4529
-0.032043,0.3264,-0.036262,2.0114,-2.7766,-1.0273,-1.4529
-0.086987,-0.085991,0.37857,2.364,-1.1187,-1.1317,-0.1331
-0.013045,0.063969,1.4157,1.4473,-0.087082,-0.55781,0.042864
0.0044594,-0.38591,1.4157,0.7774,-0.013397,-0.24479,-0.10378
0.041463,-1.5106,2.2453,0.28379,0.060288,-0.036117,0.042864
-0.0036321,-1.2107,-0.036262,-0.66817,-0.013397,-0.088286,0.10152
-0.032403,-0.87328,-1.2808,-0.35085,0.13397,0.068221,0.65875
-0.020755,-0.94826,-0.24368,-0.24508,0.42871,0.17256,0.60009
-0.022216,-0.53587,-0.86593,-0.66817,-0.19761,0.016052,0.27749
-0.029174,0.21393,-0.86593,-1.5496,1.0919,0.22473,0.83471
0.37794,-0.33341,-1.903,-3.6298,1.055,2.155,-0.77831
1.9429,-0.65635,-1.4882,-2.5016,0.94451,1.5811,-0.98361
1.5704,0.029117,-0.036262,-0.033532,-0.60288,-1.0795,0.45345
0.31431,-0.039633,-0.036262,-0.033532,-2.3345,-0.81866,0.10152
0.6364,-0.07926,-0.036262,-0.033532,-0.60288,-0.14046,0.62942
0.76523,0.10613,-0.036262,-0.033532,-0.34498,0.32907,1.3626
-0.29764,-0.0098212,-0.036262,-0.033532,-0.013397,1.842,0.9227
-2.7455,-0.0019099,-0.036262,-0.033532,-0.013397,3.4071,-0.54369
-2.2623,-0.0101,-0.036262,-0.033532,-0.087082,3.094,-1.5115
-0.29764,-0.024145,-0.036262,-0.033532,-0.013397,0.32907,-1.2476
-0.039977,0.024247,-0.036262,-0.033532,-0.013397,-1.4447,-0.54369
-0.0077685,-0.059829,-0.036262,-0.033532,-0.013397,-2.3316,-0.074447
0.18548,-0.062203,-0.036262,-0.033532,1.3129,-2.3316,0.27749
1.345,0.59866,0.37857,1.0947,1.0919,-2.9962,4.0608
5.3066,2.1529,0.17116,0.60111,1.8656,-2.2385,4.5007
1.7637,1.751,-0.036262,0.14276,0.72345,0.079344,-2.538
-2.7133,0.36389,0.17116,1.2358,-2.4819,-0.0092626,-3.7111
-0.94181,-0.34842,1.8305,1.3768,-1.0818,-0.11728,-0.63168
-0.87739,-1.2857,1.2082,1.412,-0.12393,-0.063254,0.1895
0.18548,-0.31093,0.79341,0.31905,-0.013397,0.044736,0.24816
-1.3605,-0.23595,0.37857,-0.10405,-0.087082,0.046713,-0.57302
-2.2623,-1.2107,-1.0734,0.35431,-0.2713,-0.084009,-0.54369
-0.58752,-0.61085,0.79341,-0.70343,0.023445,0.042305,0.21883
-0.1366,-0.23595,-0.036262,-1.4086,-0.23445,0.16317,0.62942
-0.0077685,-0.23595,-1.4882,-1.0208,-0.30814,-0.0091146,1.04
0.89406,0.10146,-0.4511,-0.80921,0.61293,-0.061751,1.8905
0.53977,0.10146,-0.036262,-1.6029,-0.34802,1.1436,-0.1331
1.345,0.73879,0.17116,-1.3712,-0.97497,2.1614,-1.3062
0.79744,0.51385,-0.65851,-0.057986,0.033838,1.1638,-1.2476
-1.2639,-0.38591,-1.4882,0.012709,0.059461,-0.50564,-1.6875
-0.26543,0.13895,-0.65851,-0.10451,-0.040692,-1.236,-0.16243
0.2499,1.5636,-0.036262,-0.053591,-0.049355,-0.66215,0.16017
-0.0077685,1.4136,0.37857,-0.005556,-0.00071339,-0.29696,-0.074447
-0.97401,-0.49838,1.2082,0.019154,0.019493,-0.71432,-0.074447
-1.1028,-1.0982,1.6231,-0.040662,-0.10244,-0.60998,0.33614
-0.29764,-0.87328,0.17116,-0.06851,-0.034163,0.068221,0.74673
-0.0077685,-0.72332,0.79341,-0.050583,0.12496,0.22473,0.74673
-0.0077685,-0.53587,0.37857,-0.075201,-0.043442,0.58991,-0.015792
0.60419,-0.12348,-2.3179,0.0075024,-0.11713,1.0594,0.60009
-0.0077685,-0.27344,-1.6956,1.3019,0.044973,1.0073,0.042864
-0.61972,-0.38591,-0.65851,0.95181,0.12197,0.69425,-1.2769
-0.0077685,-0.011011,-0.24368,-0.77395,-0.05024,0.79859,-0.16243
-0.0077685,0.66381,-0.24368,-0.63292,-0.05024,0.48558,-0.10378
-0.0077685,1.4886,-0.4511,-0.3156,-0.013397,-0.45347,-0.36773
-0.0077685,1.2262,0.17116,-0.06879,0.09713,-1.1838,-0.25041
-0.0077685,0.88875,0.79341,0.24853,0.09713,-0.97516,-0.10378
-0.0077685,1.1887,0.37857,0.88317,-0.05024,-0.71432,-0.04512
-0.0077685,0.36389,0.58599,1.3063,0.060288,-0.60998,-0.04512
-0.0077685,-1.0232,1.2082,1.3063,0.20766,-0.14046,0.10152
-0.0077685,-1.6231,-0.65851,1.3063,0.57608,-0.088286,0.36547
-0.0077685,-1.2482,0.37857,0.63637,0.17082,-0.088286,0.33614
-0.0077685,-0.64834,1.6231,-0.06879,-0.49235,0.068221,0.7174
0.47535,-0.4234,-1.0734,-2.0432,0.72345,1.0073,1.3333
2.6977,1.3761,-1.2808,-2.0785,3.2288,1.4246,0.89337
1.2806,1.5636,-0.65851,0.28379,-0.23445,0.2769,-1.1889
-1.6826,-0.048501,0.17116,1.3415,-3.2924,-0.55781,-1.6288
-0.78077,-0.23595,0.58599,1.6941,-0.63972,-1.1838,-0.25041
0.47535,0.40138,-0.4511,1.0595,0.17082,-0.76649,0.51211
0.31431,0.17644,1.0008,0.88317,0.17082,0.12039,0.57076
-1.3605,-1.0982,2.0379,0.70688,0.2445,-0.19262,-0.36773
-1.2961,-1.1357,0.79341,-0.52714,-0.30814,-0.088286,-0.27974
-0.16881,-0.87328,0.58599,-1.056,-0.45551,0.48558,0.60009
-0.039977,-0.64834,-0.036262,-1.197,-0.05024,1.1116,0.62942
-0.0077685,-0.31093,-1.6956,-1.5144,-0.23445,1.2159,0.21883
0.60419,0.13895,-1.4882,-1.3381,1.2761,0.58991,0.65875
0.70081,0.47636,-1.4882,0.17802,1.1656,-0.29696,1.2453
1.7315,2.7258,-0.65851,0.31905,1.7919,0.38124,0.10152
0.31431,2.4633,0.17116,0.35431,-0.38182,0.016052,-2.186
-1.9725,-0.31093,0.79341,1.13,-3.0713,-1.1317,-1.8634
-0.65193,-0.68583,0.79341,0.56585,-0.71341,-0.76649,-0.1331
0.34652,-0.4234,1.0008,0.53059,-0.16077,-0.76649,-0.04512
0.18548,0.25142,1.0008,0.74214,0.13397,-0.45347,0.1895
-0.45868,-0.64834,-0.24368,1.1652,0.2445,-0.14046,0.24816
0.34652,-1.5106,-0.036262,0.38956,0.39187,-0.088286,-0.074447
1.3772,-0.61085,1.2082,-0.033532,0.31819,-0.036117,0.57076
1.1195,-0.34842,-0.036262,-0.3156,0.13397,0.068221,1.1866
1.0873,-0.49838,-1.0734,-0.84446,-0.2713,0.53774,1.04
0.92627,-0.27344,-0.24368,-0.84446,-0.63972,0.79859,0.89337
-2.1013,-0.46089,-1.0734,-1.9727,0.64977,0.9551,0.77606
-0.42648,1.1137,-1.4882,-1.7964,2.0866,2.155,-0.30907
0.28211,1.3011,-0.24368,0.072242,-0.49235,1.2159,-2.3327
-2.2623,-0.64834,-0.036262,0.81266,-1.9292,-1.4447,-1.8634
-0.81297,-0.7983,-0.036262,0.49534,-0.67656,-0.97516,-0.22109
-0.32985,-0.68583,0.37857,-0.033532,-0.41867,-0.14046,0.1895
-0.16881,-0.4234,-0.65851,-0.73869,-0.013397,-0.4013,0.072191
-0.0077685,0.026479,-0.65851,-1.197,0.023445,-0.4013,-0.16243
-0.0077685,1.6386,-0.86593,-0.95024,0.023445,-0.29696,0.013536
-0.0077685,2.6883,-0.65851,-0.033532,-0.05024,-0.45347,0.16017
-0.0077685,0.85126,-0.036262,0.60111,0.28134,-0.4013,0.013536
-0.0077685,-1.2107,1.4157,0.74214,0.39187,-0.14046,0.013536
0.79744,-1.4731,2.0379,0.91843,1.1656,-0.34913,0.86404
0.99069,-1.5106,-0.86593,-0.45663,0.42871,1.2159,1.8905
1.1517,1.4886,-1.2808,-1.0208,1.2393,1.6855,0.42412
-0.039977,1.7885,0.37857,1.0242,-0.16077,-0.24479,-2.0101
-1.3605,-0.53587,0.58599,1.8704,-2.5924,-1.1838,-1.3062
-0.87739,-0.048501,1.2082,0.49534,-0.56604,-1.0795,-0.10378
-0.58752,0.28891,0.58599,-0.10405,-0.087082,-0.55781,0.042864
-0.10439,0.10146,0.37857,0.35431,0.09713,-0.19262,0.42412
-0.039977,-0.94826,0.37857,0.24853,0.2445,-0.036117,0.30681
-0.0077685,-1.2482,1.2082,-0.24508,-0.05024,0.2769,0.1895
-0.0077685,-1.1357,0.37857,-0.35085,-0.16077,0.17256,0.36547
-0.0077685,-0.87328,-2.5253,-0.91498,0.023445,0.016052,0.48278
-0.0077685,-0.46089,-2.5253,-1.3733,-0.16077,1.0594,0.7174
0.6686,0.88875,-0.65851,-1.056,0.57608,1.2681,0.60009
0.37873,0.25142,-0.4511,-1.3733,0.87082,1.4246,-1.0423
1.4416,1.6011,-1.0734,-0.9855,1.9393,0.53774,-0.83697
1.0551,2.3509,-0.036262,0.21327,-0.19761,-1.4969,-0.25041
-1.5538,-0.085991,0.37857,1.5883,-2.5187,-1.3925,-0.77831
-0.81297,0.063969,0.79341,2.0114,-0.45551,-0.81866,-0.10378
-0.49089,-0.46089,0.58599,0.56585,0.060288,-0.34913,0.16017
-0.61972,-1.2107,0.58599,0.24853,-0.013397,-0.29696,0.072191
-0.10439,-1.0982,1.0008,1.2005,-0.087082,-0.24479,0.10152
-0.039977,-0.72332,-0.036262,0.31905,-0.087082,0.016052,0.42412
-0.0077685,-0.61085,0.58599,-1.0208,-0.12393,0.22473,0.77606
-0.0077685,-0.57336,-0.036262,-1.0208,-0.087082,0.74642,0.9227
-0.0077685,-0.38591,-2.1104,-1.1618,-0.087082,1.3725,0.45345
0.6686,0.21393,-1.4882,-1.3381,0.79714,1.842,0.13085
0.79744,-0.12348,1.4157,-0.20982,1.3129,0.85076,0.1895
1.7315,0.47636,0.37857,-0.42137,2.4919,0.85076,0.042864
0.60419,1.4886,-1.6956,-0.84446,-0.30814,1.2681,-1.1302
-1.586,0.88875,-0.4511,-0.033532,-3.3661,-1.0273,-1.4822
-0.94181,0.92624,-0.24368,0.95369,-1.0818,-2.2794,-0.48504
-0.20102,1.5261,0.79341,1.4826,-0.12393,-1.549,-0.04512
-0.039977,0.36389,2.0379,1.0947,0.09713,-0.92299,0.13085
-0.36206,-0.83579,2.2453,1.6236,0.35503,-0.60998,0.21883
-0.0077685,-0.23595,-0.65851,1.3768,0.42871,-0.29696,0.33614
0.31431,-1.0232,-1.2808,0.63637,0.28134,-0.14046,0.21883
-0.39427,-1.6981,1.0008,0.072242,-0.2713,-0.088286,-0.1331
-0.61972,-1.1357,1.0008,-1.0208,-0.30814,0.17256,0.013536
0.34652,-0.31093,1.0008,-0.91498,0.68661,0.2769,0.48278
0.82964,0.13895,1.2082,-0.38611,1.3129,0.22473,0.65875
