"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.10297,0.36806,2.7747,0.49232,0.63739,1.6258,3.0318,1.6262
0.1146,1.9485,1.076,0.32822,0.59527,4.7463,3.0782,0.832
0.091755,2.6569,0.21528,0.16411,1.248,1.5283,2.2883,0.18909
0.083286,2.7659,0,0.98465,2.1114,0.55308,1.2661,0.037818
0.11161,2.3572,0,0.98465,2.2167,0.16302,0.70849,0
0.046757,3.1474,0,0.65643,2.5325,0.21177,0.42969,0.075636
0.07974,3.2564,0.21887,1.1488,2.701,0.50433,0.24383,0.15127
0.017573,2.2482,0.0012371,1.3129,2.5325,0.40681,0.24383,0
0.024635,1.9212,5.9451e-07,1.3129,2.4904,0.6506,0.19736,0.075636
0,1.2128,4.3892e-10,1.9693,2.5325,0.69936,0.29029,0.15127
0.058495,1.1038,7.2674e-07,1.6411,2.2167,1.0894,0.29029,0.416
0.0554,0.64055,0.0022735,1.1488,2.4062,0.89439,0.42969,0.56727
0.069437,0.53155,3.1215,2.1334,2.1956,2.2596,0.56909,1.8909
0.49876,0.044712,3.0175,0,0.026733,2.1621,1.0802,0.832
3.2316,0.048238,1.5781,0,0.026733,4.405,1.5449,2.08
3.0897,0.048604,0.14352,0,0.026733,1.4795,2.0095,1.7775
2.3089,0.01821,0.071759,0,0.026733,0.45557,2.8924,1.0589
2.2379,0.05038,0,0,0.026733,0.11426,2.753,0.98327
2.3798,0.093567,0,0,0.026733,0.11426,2.7994,0.832
2.2024,0,0.14591,0,0.026733,0.16302,2.056,1.1345
0.60524,0.038397,0.0010887,0,0.026733,0.16302,2.1025,0.71854
0.14384,0.048482,6.1102e-07,0,0.026733,0.11426,2.2883,1.7396
0.14384,0.095971,4.606e-10,0,0.026733,0.11426,3.357,1.1724
0.072856,0.090795,7.507e-07,0,0.026733,0.11426,2.8924,0.22691
0.072856,0.070113,0.0023213,0,0.026733,0.11426,2.8459,0.15127
0.7472,0.03803,2.7627,0,0.026733,1.6745,2.056,0.68073
1.3861,0.47706,2.844,0.65643,0.44787,1.8696,0.16224,4.9542
6.8163,2.4117,1.5064,0,0.3847,5.2826,0.006981,6.2778
3.5866,2.4117,0.21528,0.16411,0.78479,2.2109,0.072633,2.1935
2.6993,2.0302,0.071759,0.82054,1.1849,1.5283,0.081788,1.5127
2.8057,1.7032,0.071759,0.98465,1.6692,1.8208,0.059671,0.832
2.0249,1.785,0,1.8052,2.0061,0.89439,0.11084,0.86982
1.812,1.676,0.10943,1.3129,2.343,0.89439,0,1.2102
