"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.29685,0.58457,0.93262,2.8732,1.1113,4.0308,3.0414,2.1787,0.75917,2.6574
0.022032,1.129,1.2657,0.807,0.92608,2.3658,3.0812,3.1127,1.1017,2.1259
0.491,1.4284,1.732,0.07339,0.92608,1.6089,3.409,3.5438,1.6155,1.2528
0.1357,1.9183,1.9985,0.07339,1.2965,1.9719,1.3236,3.472,2.1294,0.79721
0.12346,2.245,2.4648,0,0.92608,3.6906,0.38417,2.6816,3.3283,0.45555
0,3.0616,2.7979,0,1.4817,2.9538,1.4449,2.1068,3.157,0.11389
0.040522,2.9527,3.1975,0.33576,2.0374,2.6495,4.6667,1.6039,1.7868,0.075925
0.079019,1.9183,3.9303,0.0011893,1.8522,2.5375,1.3324,1.3884,1.9581,0.037962
0.22078,1.3739,3.7305,6.0801e-07,2.9635,2.4714,4.0203,0.88541,1.9581,0.22777
0.17625,0.96565,3.464,4.6552e-10,3.1487,2.6532,2.0448,0.88541,1.6155,0.64536
0.1048,0.77511,2.7312,7.5142e-07,4.0747,1.7143,3.9571,0.74171,1.4443,1.025
0.15515,0.53013,2.1983,0.0023251,3.3339,3.9312,3.17,0.95726,1.1017,1.5185
0.3328,0.3396,1.3323,3.2291,2.7782,4.5948,2.8935,1.5321,0.93044,1.6324
0.87333,0.048657,0,2.8732,0,1.8619,2.5535,2.5379,5.3835,0.45555
0.39652,0.059664,0,0.88036,0,3.9849,2.0539,2.4661,4.5272,1.5565
0.15812,0.076615,0,0.14678,0,3.5191,1.833,2.7535,4.0134,2.6194
0.15812,0,0,0.14678,0,2.5772,2.6072,2.6098,2.4719,2.4296
0.63493,0.031935,0,0,0,1.3788,2.3571,3.2564,2.3006,1.6324
0.63493,0.11771,0,0,0,2.3607,3.3744,3.4001,3.157,2.05
0.63493,0.024747,0,0.14923,0,2.7886,3.0833,3.5438,2.1294,1.9361
3.615,0.097947,0,0.0010375,0,2.9705,1.3821,3.1846,2.4719,1.5185
3.3766,0.061069,0,5.6579e-07,0,3.1725,1.7249,2.969,3.3283,0.49351
3.2574,0.080815,0,4.4335e-10,0,2.0075,1.5325,2.7535,2.9857,0.3037
2.5421,0.057941,0,7.1875e-07,0,3.6936,3.1288,3.4001,2.6432,0.45555
2.0653,0.054243,0,0.0022517,0,4.118,2.4812,2.035,2.9857,0.37962
0.75413,0.073806,0,3.009,0,4.201,2.5913,2.4661,2.8144,0.83517
0.75413,0.31238,0.33308,2.9086,0.37043,4.0728,0.85974,0.054599,0.25579,3.5305
0.87333,1.5373,0.66616,0.88036,0.18522,2.0808,2.3933,0.060998,0.32152,5.011
0.51573,1.9456,1.4655,0,0.18522,0,1.6363,0.063221,0.45429,4.4036
0.15812,2.2722,1.8652,0,0.37043,1.8186,3.8942,0.055342,0.67698,3.075
0.27732,2.1361,2.4648,0,1.4817,1.5453,1.6558,0.1452,0.41749,2.2398
0.39652,2.0544,2.7312,0,1.2965,1.3447,2.7921,0,0.46151,1.5565
0.75413,2,2.7979,0.22384,0.74086,2.5532,3.8912,0.16801,0.13269,1.3666
3.3766,1.8367,2.6646,0.0014171,1.6669,1.677,2.6664,0.14564,0.27386,0.79721
3.4958,1.2923,2.2649,6.4179e-07,1.4817,3.091,1.3389,0.11676,0,0.45555
2.4229,1.0201,2.4648,4.8769e-10,1.8522,2.5058,2.604,0.08161,0.25823,0.64536
1.4693,0.69345,1.6654,7.5142e-07,2.2226,1.7716,0.64391,0.091724,0.65339,1.2528
0.87333,0.61179,0.93262,0.0023006,0.74086,2.9818,1.9549,0.18878,0.20477,1.9361
0.39652,0.4757,0.53292,3.1924,0.18522,2.7548,1.1217,0.16941,0.23557,2.7333
0.63493,0.44848,0.73277,2.7668,0.55565,2.8407,3.0469,1.9631,1.273,2.5435
0.15812,1.1834,0.99923,1.1005,0.37043,1.6912,4.0121,2.969,1.6155,2.3157
0.15812,2.1905,1.732,0.22017,0.74086,2.0688,0.96266,2.8972,1.1017,1.7463
0.15812,2.4083,1.7986,0,0.55565,1.4443,2.4415,2.3224,2.3006,0.9111
0.27732,2.7622,2.2649,0,1.2965,2.9719,1.6062,1.7476,2.3006,0.45555
0.27732,3.1977,2.2649,0,2.593,3.2261,4.0431,1.5321,2.3006,0.18981
0.39652,3.0343,2.3315,0.074613,2.2226,2.3237,0,1.1728,1.7868,0.15185
1.5885,1.8367,2.1317,0.0012399,1.2965,1.0131,0.95214,0.66986,1.4443,0.22777
1.8269,1.2923,2.3315,5.9957e-07,1.8522,1.3497,0.191,0.81356,0.75917,0.15185
1.3501,0.93843,1.8652,4.766e-10,2.2226,5.0716,2.0563,0.59801,0.75917,0.53147
1.1117,0.66623,1.3323,7.5959e-07,1.4817,3.0469,4.0001,0.74171,0.58789,0.98702
