"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.079885,0.23399,3.0342,0.9188,0.74928,1.5751,3.414,2.4326
0.098298,1.4017,0.72972,1.1026,0.4695,3.4752,3.2298,1.2344
0.12053,1.5996,0.146,1.1026,1.1367,0.95759,2.2631,0.25415
0.10968,1.2631,0,2.0214,1.8684,0.15005,1.3423,0.036307
0.099315,0.80794,0,3.4914,2.3203,0.10255,0.78985,0.036307
0.14659,0.70899,0,2.5726,2.4925,0.10255,0.65174,0.072614
0.05484,0.51107,0.14843,2.0214,2.6647,0.19755,0.6057,0.036307
0,0.39232,0.0011075,1.2863,2.2558,0.19755,0.51362,0.072614
0.12712,0.49128,6.0477e-07,0.73504,1.7393,0.10255,0.6057,0.32676
0.087002,0.39232,4.6855e-10,0.9188,1.2443,0.15005,1.0661,0.98029
0.10726,0.29336,7.5553e-07,0.18376,0.79232,0.15005,1.1582,0.87137
0.052659,0.29336,0.0023127,0.18376,0.38341,0.10255,1.1121,0.76245
0.12068,0.4517,2.8834,0.18376,0.2758,1.7651,1.1121,0.90768
0.73799,0.012535,2.999,0,0.017547,1.1951,1.5265,0.65353
2.5253,0.054901,1.0946,0,0.017547,3.8552,1.3423,1.7427
2.2218,0.0087044,0.072998,0,0.017547,0.67257,1.9408,1.1255
2.5928,0.012342,0,0,0.017547,0.34006,2.4012,1.1981
2.2893,0.016405,0,0,0.017547,0.10255,2.217,0.90768
2.5928,0,0,0,0.017547,0.055048,2.2631,0.76245
2.4241,0.02179,0.18554,0,0.017547,0.10255,2.4932,1.3797
0.53565,0.051018,0.0010068,0,0.017547,0.055048,2.9997,0.98029
0.13098,0.055599,5.1237e-07,0,0.017547,0.055048,2.9076,0.39938
0.13098,0.04862,4.5201e-10,0,0.017547,0.055048,2.5853,0.32676
0.097253,0.023682,7.3116e-07,0,0.017547,0.055048,1.8027,0.18154
0.097253,0.073515,0.0023614,0,0.017547,0.055048,1.7566,0.25415
1.0078,0.017455,3.0294,0,0.017547,1.7651,1.8948,0.98029
1.2438,0.31315,2.6814,0.18376,0.79232,1.4326,0.033123,3.8485
5.2906,1.3027,0.58378,0,0.70623,2.7152,0.068729,5.3008
3.8068,1.2434,0.072998,0.55128,1.1797,1.3851,0.050003,1.9969
2.5928,1.1444,0,1.1026,1.3519,1.1001,0.027976,1.5975
2.9974,1.1048,0,1.8376,1.8684,1.0526,0.071776,1.4523
2.6265,1.184,0,2.3889,2.0621,1.3376,0.015197,0.98029
2.3567,1.0256,0.11132,2.7564,2.4925,1.0051,0.11079,0.87137
0.50193,0.68919,0.001032,1.6538,2.5356,1.1476,0,0.76245
0.13098,0.51107,5.4597e-07,1.8376,1.9975,0.76758,0.044797,1.0529
0.13098,0.33295,4.5201e-10,1.4701,2.0406,0.15005,0.046394,1.2344
0.097253,0.2142,7.3928e-07,1.2863,1.481,0.24506,0.087159,2.1421
0.097253,0.11524,0.0022884,0.55128,0.81384,0.24506,0.11003,1.9606
0.94033,0.31315,3.1024,0.36752,0.4695,1.6701,0.05332,3.3766
0.63682,0.51107,3.0342,1.1026,0.059689,0.048262,2.9536,0.61722
1.8509,1.6194,0.94864,0.73504,0.022311,0.087853,1.8948,0.58091
0.94033,1.8767,0.21899,1.1026,0.035244,0,0.974,0.25415
0.67055,1.2631,0,0.9188,0.01724,0.0082183,0.55966,0.036307
0.77172,1.085,0,2.2051,0.036426,0.098333,0.46759,0.14523
1.0415,0.94648,0,2.0214,0.028824,0.026783,0.28344,0.25415
0.97405,0.94648,0.074215,2.2051,0.042427,0.036477,0.19136,0.39938
0.23215,0.72878,0.0010068,2.5726,0.012422,0.054106,0.51362,0.25415
0.097253,0.4517,6.0477e-07,1.4701,0,0.072226,0.42155,0.72614
0.097253,0.41211,4.4098e-10,1.6538,0.038559,0.066655,0.42155,1.3797
0.097253,0.33295,6.9054e-07,1.4701,0.0061023,0.015115,0.69778,1.8517
0.097253,0.27357,0.002191,0.73504,0.010626,0.022518,1.2963,1.8154
0.63682,0.4517,2.8104,0,0.0027772,0.048819,1.5725,2.3963
0.097253,0.075656,0,0.36752,0.64167,0.19755,1.8948,1.888
0.097253,0.055864,0,0,0.44798,0.15005,2.6314,0.90768
0.097253,0.11524,0,0,0.31885,0.055048,3.5061,0.47199
0.097253,0.88711,0,0,0.23276,0.055048,2.9997,0.14523
0.097253,1.7777,0,0,0.25428,0.055048,1.9408,0
0.097253,2.8465,0,0.36752,0.51254,0.055048,1.3423,0
0.097253,3.7965,0,0.73504,1.3519,0.15005,0.65174,0
0.097253,4.4892,0,0.9188,2.4064,0.29256,0.28344,0.036307
0.097253,4.9642,0,2.3889,2.8369,0.72008,0.2374,0.10892
0.097253,3.7767,0,2.7564,3.1597,0.86258,0.2374,0.036307
0.097253,2.7475,0,2.3889,2.8369,0.72008,0.099285,0.10892
