"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.046009,1.1322,-0.21151,0.33604,3.0006,-0.69247,1.6574
-0.046009,-1.0612,0.16703,1.9601,-0.40874,-1.7293,0.22589
-0.046009,-1.6162,0.70334,1.9014,-2.9746,-1.6087,-1.6786
-0.046009,-0.51151,1.2888,0.23421,-0.30203,-0.22233,0.52813
-0.046009,-0.35743,1.5103,-0.75292,-0.19034,1.0154,1.5212
-0.046009,-0.11865,0.8221,-1.1771,0.017122,1.0384,1.2371
-0.046009,0.064885,-0.54471,-1.2871,-0.041174,0.41648,-1.8456
-0.046009,-0.16904,-1.4701,-0.52141,-0.07368,0.041429,-2.4651
-0.046009,-0.17259,-1.3319,-0.084243,-0.022211,0.039365,-0.12989
-0.046009,0.17096,-0.69296,-0.20427,0.095687,0.38621,-0.11097
-0.046009,-0.55184,-0.25303,-0.047875,-0.30183,0.90457,-0.00078522
-0.046009,1.9134,-0.042711,-0.0018675,0.99853,0.89661,0.75869
-0.046009,2.7805,0.15791,-0.094951,1.2142,0.12488,0.85133
1.1651,-0.011324,-0.38696,-0.30719,1.8995,0.18961,1.1729
1.0662,-0.011324,0.39732,1.6283,-0.16359,1.6999,1.3886
0.32385,-0.011324,1.4491,2.3085,-2.0337,1.0652,0.48708
0.061239,-0.011324,1.7462,0.53117,-0.78811,-0.10849,-0.075567
0.053123,-0.011324,0.81557,-1.1352,-0.2092,0.23012,0.024071
-0.5376,-0.011324,-0.7334,-1.3196,0.004187,-0.065125,-0.31367
-1.3407,-0.011324,-1.6438,-0.96183,0.081799,-2.5373,-1.2936
-1.2648,-0.011324,-1.2265,-0.54806,-0.060558,-1.816,-1.4655
-0.4452,-0.011324,-0.33593,-0.23027,-0.037511,1.0217,-0.45201
0.022067,-0.011324,-0.045335,-0.08637,-0.02868,0.24549,0.16454
0.0091387,-0.011324,-0.14348,-0.02961,-0.21315,0.12963,-0.014621
0.12276,-0.011324,-0.037264,-0.067631,1.6198,-0.31101,0.054071
0.37107,-0.011324,0.23697,-0.0075814,1.4339,-0.78628,0.43973
1.1398,-0.85446,-0.37755,-0.30376,2.468,-0.0014624,0.38386
1.1245,-1.476,0.13774,2.2258,-0.36981,-0.0014624,0.58551
0.36237,-1.3636,1.0105,2.2087,-2.7633,-0.0014624,0.65481
0.10628,-0.8106,1.6264,-0.38722,-0.095653,-0.0014624,0.6201
0.21335,-0.26703,1.383,-1.2355,-0.015252,-0.0014624,0.29146
-0.39174,0.046499,0.31214,-0.8262,0.087213,-0.0014624,-0.42846
-1.4585,0.15188,-0.92189,-0.77536,0.12037,-0.0014624,-1.1093
-1.4458,0.11441,-1.4972,-0.5778,-0.16179,-0.0014624,-1.206
-0.43115,-0.078252,-1.1326,-0.1519,-0.10326,-0.0014624,-0.79702
0.054623,-0.23721,-0.41328,-0.13047,0.061324,-0.0014624,-0.34703
-0.02588,0.13735,-0.055213,-0.16258,-0.24221,-0.0014624,0.0028395
0.16717,1.0667,-0.048088,-0.013188,1.2067,-0.0014624,0.33158
0.46862,1.6255,0.027488,0.25583,0.8512,-0.0014624,0.52382
3.5611,3.1704,-0.60308,0.0095552,-0.0052274,1.9388,0.74457
1.6027,1.887,-0.63249,0.0095552,-0.0052274,-0.6802,-0.95485
-2.6598,-0.7612,-0.81479,0.0095552,-0.0052274,-1.6749,-1.6964
-0.23907,-0.056342,1.6489,0.0095552,-0.0052274,-0.57294,-0.77323
0.056225,0.11165,2.6164,0.0095552,-0.0052274,-0.35571,-0.15359
-0.87993,-0.30566,-1.0177,0.0095552,-0.0052274,-0.89139,-0.17671
-0.78581,-1.2038,0.8172,0.0095552,-0.0052274,-0.54204,-0.12099
-0.657,-1.0631,0.28783,0.0095552,-0.0052274,-0.0054359,0.021223
-0.050699,-0.23142,-1.7549,0.0095552,-0.0052274,-0.023641,0.22372
-0.005416,-0.27954,-0.015732,0.0095552,-0.0052274,0.084127,0.50881
-0.18518,-0.34951,-1.7834,0.0095552,-0.0052274,0.78044,0.68881
0.41996,0.55529,-1.4306,0.0095552,-0.0052274,1.4902,0.62174
1.0704,1.4604,1.1556,0.0095552,-0.0052274,1.091,0.15585
-2.5095,-0.051244,0.0043829,-0.52562,-3.0733,1.8602,-1.1765
-3.1818,-1.4234,0.0085442,1.8343,-2.5304,2.0848,-2.9914
0.12942,-1.5602,0.010422,0.42054,-0.55276,-0.90908,-1.2278
0.031842,-0.64274,0.01069,-3.4447,0.12045,0.48978,0.56195
-0.11915,0.030943,0.012147,-0.9752,-0.11504,0.12108,1.2926
-0.012828,0.023614,0.023005,0.26891,-0.035859,-0.20569,-0.016889
-0.055959,-0.21332,0.039334,-0.072302,0.16426,0.38316,-0.21291
-0.044191,-0.29838,0.022967,0.034391,0.078792,-3.2272,1.026
-0.046722,-0.16348,0.010657,0.0037843,-0.11189,-1.6341,0.37055
-0.044528,0.00071502,-0.0016458,0.0064003,-0.11576,1.6459,-0.2232
-0.045126,0.0076447,-0.017785,0.026061,-0.010387,2.2413,-0.68321
-0.065129,-0.033776,0.00042383,-0.046036,0.010446,0.53951,-1.0312
0.056104,0.05581,0.015444,0.21876,0.020032,-1.5229,-0.24777
1.6398,1.4028,-0.39087,0.055916,2.2249,0.22083,2.3508
1.2674,-0.43325,0.49501,2.3316,-0.50943,0.3144,1.1673
