"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.087395,1.472,-0.37439,0.26346,2.4113,0.8459,1.6365
-0.087395,-0.21274,0.23617,1.3803,-0.077542,0.56511,0.78543
-0.087395,-1.8365,0.18543,2.8285,-2.7225,-0.72014,-0.022688
-0.087395,-0.1204,2.4678,-0.04186,-0.15336,2.624,0.17848
-0.087395,0.12826,1.3181,-1.6979,-0.22606,-0.44183,0.47671
-0.087395,0.13066,-0.57477,-0.4825,-0.015381,-0.67493,0.53212
-0.087395,-0.099904,-0.88302,-1.1152,-0.045256,2.4085,-2.7452
-0.087395,-0.038367,-1.9212,-0.3895,-0.13377,0.004491,-1.2745
-0.087395,-0.074574,-0.63802,-0.33794,-0.16743,-1.7146,0.06198
-0.087395,0.012543,0.25242,-0.48695,0.051281,0.54682,-0.37636
-0.087395,-0.31627,0.046612,-0.027106,-0.5049,-0.1212,0.45854
-0.087395,0.55534,-0.35768,-0.13678,1.6062,-0.46332,-0.055135
-0.087395,0.37258,0.40719,0.028015,0.78571,0.29079,0.26163
2.1373,-0.054363,-0.60336,0.76299,2.5453,-0.42368,3.0114
1.7929,-0.054363,0.41352,2.0551,-0.48937,-0.16072,1.3896
-0.67677,-0.054363,0.92427,2.4649,-2.8659,0.40767,-0.42207
0.57987,-0.054363,3.8971,-0.97589,-0.014341,0.60237,-0.078477
-0.35475,-0.054363,-0.032702,-1.8625,-0.18697,0.18718,-0.15871
-0.038983,-0.054363,-0.22868,-0.69649,-0.030202,0.34032,0.32426
-1.8613,-0.054363,-0.47852,-0.93385,-0.10788,-0.19829,-2.3221
-1.9109,-0.054363,-2.591,-0.15777,-0.038315,-0.93322,-1.6272
0.10746,-0.054363,-0.42515,-0.3801,-0.16275,0.10858,0.23306
-0.31344,-0.054363,-1.2833,-0.33079,0.13002,-0.12529,0.038926
-0.042272,-0.054363,0.095077,-0.12804,-0.61057,0.40259,-0.21123
0.11872,-0.054363,-0.21776,-0.019185,1.5208,-0.11723,-0.18684
0.97222,-0.054363,0.51688,0.084359,1.0956,-0.24081,0.58927
2.61,0.31823,-0.58536,0.22996,2.3536,0.040803,2.0546
1.8023,-0.92568,0.56515,2.7214,-0.49915,0.040803,1.4844
-0.88706,-0.7105,1.0307,1.9307,-2.5952,0.040803,-0.94251
0.18187,0.21587,2.5485,-0.70487,-0.013806,0.040803,0.9535
0.34114,0.07343,0.77951,-1.8272,-0.25865,0.040803,-1.0396
-0.26757,-0.3837,-1.8756,-1.2835,0.043228,0.040803,0.79222
-2.2729,-0.28512,-0.70002,0.12794,-0.064079,0.040803,-1.015
-1.5752,-0.16056,-1.1874,-0.70365,-0.12259,0.040803,-2.7412
0.064114,-0.25175,-0.818,-0.47188,-0.18997,0.040803,0.22774
-0.25612,0.22802,0.046959,0.044815,0.09042,0.040803,-0.51608
-0.026992,-0.6574,-0.033725,-0.37627,-0.54218,0.040803,0.061951
-0.00084381,1.6216,0.0080183,0.043214,1.4852,0.040803,0.35424
0.82848,1.359,0.076239,-0.10377,0.87421,0.040803,0.63506
2.1172,3.6838,-0.25657,-0.028385,-0.07786,1.5315,2.0036
0.72532,1.3564,-0.60454,-0.028385,-0.07786,0.77912,0.52841
-1.1611,1.117,0.31403,-0.028385,-0.07786,0.040622,-1.6192
0.37733,3.9985,-0.22241,-0.028385,-0.07786,-0.65746,-0.44552
-0.97755,-1.2262,0.56775,-0.028385,-0.07786,-0.84704,-0.91987
-0.44189,-1.6234,0.33608,-0.028385,-0.07786,0.020134,0.035777
-0.50964,-2.1963,-0.30566,-0.028385,-0.07786,-1.2079,-0.16958
-0.5733,-3.4206,0.88253,-0.028385,-0.07786,0.21238,0.21813
-0.10474,-1.032,-0.43845,-0.028385,-0.07786,0.66249,0.37014
-0.080771,-0.55932,-0.71393,-0.028385,-0.07786,1.1538,-0.093267
-0.14747,-0.75392,-0.2294,-0.028385,-0.07786,0.83043,-0.18052
0.12151,0.85608,-0.32027,-0.028385,-0.07786,0.98542,0.89285
0.43602,2.742,0.32654,-0.028385,-0.07786,-0.29143,0.49768
-0.36789,-1.6547,0.0021382,-0.028385,-0.80496,0.057497,-0.012488
-0.36411,-0.74966,0.0021382,-0.028385,-1.2764,-1.6218,-0.54976
-0.040479,-0.15847,0.0021382,-0.028385,0.15738,-0.56131,-0.084039
-0.11716,-0.25917,0.0021382,-0.028385,-0.24255,-0.27809,-0.21249
-0.069462,-0.11652,0.0021382,-0.028385,-0.0028922,1.2178,0.12035
-0.098312,-0.034441,0.0021382,-0.028385,-0.11336,-0.53309,-0.257
-0.080654,-0.064282,0.0021382,-0.028385,-0.06072,0.080411,-0.26768
-0.091675,-0.048714,0.0021382,-0.028385,-0.086613,0.12167,0.41937
-0.084497,-0.057722,0.0021382,-0.028385,-0.072422,-2.3581,-0.1854
-0.089654,-0.052201,0.0021382,-0.028385,-0.08314,-0.13447,-0.17886
-0.085128,-0.056183,0.0021382,-0.028385,-0.069571,0.78164,0.052963
-0.090662,-0.051872,0.0021382,-0.028385,-0.095035,0.2315,0.092007
-0.079133,-0.060389,0.0021382,-0.028385,-0.028564,0.15279,0.00033127
2.6838,0.74792,0.078092,0.041807,1.9069,0.82117,1.937
1.2663,-1.194,-0.26819,2.8536,-0.2368,0.094302,0.35478
-0.38533,-1.5039,3.23,1.5081,-2.0615,-1.9219,-0.90045
0.42931,-0.48018,1.9326,-0.43898,-0.22774,-1.336,0.9389
-0.53535,0.0044061,1.132,-1.2903,-0.34682,2.1734,0.21287
0.36496,0.095156,0.91868,-1.0681,-0.03739,0.7877,0.81493
-2.1906,-0.17529,-2.8404,-0.72779,0.069225,-0.68205,-1.5912
-1.7852,0.11741,-2.3539,-0.81478,-0.11959,1.3702,-2.0384
0.06759,-0.37678,-1.4156,-0.13528,-0.316,-0.29108,0.1269
-0.22922,0.24603,-0.20747,-0.27225,0.19039,-0.18773,-0.39927
-0.064916,-0.82791,-0.30946,0.14075,-0.61649,-1.3912,0.12789
0.067051,2.0769,0.053501,-0.23795,1.4084,-0.78707,0.57668
0.79295,2.4073,0.27597,0.1479,1.1377,1.5817,0.12454
1.9483,0.61349,-0.3108,-0.28438,2.2745,0.21652,1.0594
1.8198,-0.42761,0.071245,2.0303,-0.33998,1.1223,0.98564
