"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.034296,0.62322,2.5728,0,0.1102,1.1566,2.4544,1.5381
0.021663,1.5684,0.93481,0,0.65976,3.9692,2.8488,2.6251
0.018234,0.45136,0.14387,0.082566,2.2299,1.1081,2.5944,2.7176
0.044736,0.10765,0,0.82566,3.4861,0.28367,2.887,2.9026
0.016904,0.10765,0,2.3119,2.544,0.089698,3.1796,3.0183
0.024041,0.27951,0,2.3119,1.9159,0.089698,2.8997,3.6312
0.028017,0.27951,0.1097,1.9816,1.3663,0.13819,3.1288,2.8795
0.022862,0.27951,0.0011409,0.99079,0.81678,0.13819,3.4723,1.2489
0.025014,0.27951,5.8768e-07,0.16513,0.65976,0.041204,3.1669,1.1333
0.023614,0.27951,4.6172e-10,0.082566,0.34573,0.041204,3.0397,0.94827
0,0.27951,7.2851e-07,0.2477,0.18871,0.041204,3.1542,1.0639
0.019055,0.19358,0.002327,0.082566,0.18871,0.041204,3.0015,1.2489
0.022854,0.79508,3.0212,0.082566,0.1102,2.5144,3.027,1.2952
0.3197,0.14435,3.0596,0,0.18871,1.6415,3.1669,1.5381
2.0913,0.15847,0.8629,0,1.2093,3.7752,3.0397,3.423
2.3022,0.030868,0.071934,0.33026,2.9365,1.0596,3.1033,3.4924
2.3022,0.12608,0,1.8165,3.6431,0.089698,3.1669,3.4577
2.5448,0.10553,0,3.4678,2.3084,0.041204,3.2942,3.2843
2.3549,0,0,2.7247,1.6019,0.041204,3.2687,3.5387
2.0175,0.23643,0.1097,3.1375,0.9738,0.041204,3.3705,2.9258
0.42515,0.020138,0.0012153,1.6513,0.65976,0.041204,3.1542,1.353
0.098244,0.09849,5.4629e-07,0.99079,0.50275,0.041204,3.0906,1.0524
0.034972,0.2507,4.6715e-10,0.33026,0.26722,0.041204,3.0906,1.2143
0.024427,0.1424,7.3651e-07,0,0.1102,0.041204,3.0779,1.1911
0.024427,0.083498,0.002279,0,0.1102,0.041204,3.1669,1.0408
0.50951,0.18981,3.0572,0,0.1102,2.3204,3.0397,1.2027
0.34079,1.1388,3.0248,0,0.1102,1.496,0.026965,1.5149
2.2284,0.96693,0.93481,0,1.2093,3.6782,0.045715,3.2843
2.4077,0.45136,0,0.4954,3.0935,0.91409,0.04096,3.1108
2.1335,0.36543,0,1.5688,3.4861,0.23518,0.037827,3.238
2.4709,0.53729,0,2.8898,2.544,0.041204,0.02854,3.3652
2.5869,0.45136,0,2.3119,1.3663,0.089698,0.037626,2.972
1.8382,0.27951,0.2194,1.4862,1.0523,0.13819,0,3.5387
0.34079,0.19358,0.0010169,0.99079,0.9738,0.13819,0.012781,1.6768
0.066608,0.10765,5.4629e-07,0.2477,0.42424,0.041204,0.027865,1.1217
0.034972,0.10765,4.3999e-10,0.082566,0.42424,0.041204,0.024732,1.0408
0.024427,0.10765,7.0449e-07,0.082566,0.26722,0.041204,0.038695,0.89045
0.024427,0.10765,0.002255,0.082566,0.18871,0.041204,0.023224,1.087
0.37242,1.4825,2.9853,0.082566,0.18871,2.2719,0.051332,1.4455
0.38297,1.2247,2.9553,0.57796,0.12031,0.033561,0.72401,0.63604
1.9542,3.0292,0.64717,0.16513,0.092615,0.086487,1.1057,2.07
1.3637,3.287,0,0.082566,0.017433,0.0069923,1.0421,1.2605
1.3953,5.0915,0,0.2477,0.10484,0.0077149,1.1057,0.78637
1.2055,6.0367,0,0.082566,0.092101,0.0521,0.78763,0.26598
0.72042,4.9196,0,0.7431,0.1062,0.052741,0.8258,0
0.55169,4.1463,0.073134,0.41283,0.14975,0.054836,0.6095,0.069386
0.16152,2.3418,0.0010417,0.7431,0,0.014692,0.52043,0
0.034972,1.1388,5.794e-07,0.99079,0.034178,0,0.59678,0.37006
0.024427,0.79508,4.7258e-10,0.41283,0.21845,0.075457,0.78763,0.41632
0.024427,0.45136,7.6053e-07,0.2477,0.1609,0.086972,0.9912,0.39319
0.024427,0.36543,0.002351,0,0.12997,0.075277,1.1566,0.53196
0.3197,1.5684,2.8054,0,0.11951,0.089201,1.2711,1.3068
0.3197,1.1388,2.99,0,0.1102,1.787,3.3578,1.5727
0.066608,0.45136,0,0,0.1102,0.28367,3.1288,1.3068
0.024427,0.27951,0,0,0.1102,0.089698,2.887,1.1333
0.024427,0.19358,0,0,0.1102,0.041204,2.7979,1.1102
0.024427,0.10765,0,0,0.1102,0.041204,2.8743,1.0292
0.024427,0.10765,0,0,0.1102,0.041204,3.0142,1.168
0.024427,0.10765,0,0,0.1102,0.041204,2.8361,0.83263
0.024427,0.10765,0,0,0.1102,0.041204,2.9888,1.0408
0.024427,0.10765,0,0,0.1102,0.041204,2.658,1.1564
0.024427,0.10765,0,0,0.1102,0.041204,2.3781,1.0061
0.024427,0.10765,0,0,0.1102,0.041204,2.4671,1.0292
0.024427,0.10765,0,0,0.1102,0.041204,2.5816,1.0986
0.024427,0.10765,0,0,0.1102,0.041204,2.5816,1.1911
0.38297,1.6544,2.7119,0,0.18871,1.399,2.9761,1.5034
2.1968,1.5684,1.0786,0,1.2878,2.9993,3.1033,2.7523
2.1862,0.70915,0.2158,0.66053,3.0935,1.2051,2.8997,2.151
2.4393,0.19358,0.071934,2.8072,3.3291,0.38066,2.4799,2.4054
2.3444,0.10765,0,3.2201,2.7795,0.13819,2.5562,2.7639
2.4182,0.19358,0,4.376,1.8374,0.041204,2.9888,3.1918
1.9964,0.19358,0.1097,3.4678,1.3663,0.13819,2.8616,3.1224
0.38297,0.19358,0.00099211,1.899,0.73827,0.23518,2.9633,1.6074
0.056063,0.19358,5.5457e-07,0.57796,0.50275,0.041204,3.116,1.0986
0.034972,0.10765,4.2369e-10,0.2477,0.34573,0.041204,2.9761,1.1217
0.024427,0.10765,6.8048e-07,0,0.34573,0.041204,2.9125,0.93671
0.024427,0.10765,0.002207,0,0.34573,0.041204,2.518,1.3299
0.40406,1.9981,2.8414,0,0.26722,2.1749,2.7089,1.5496
0.36188,1.1388,2.8162,0.082566,0.1102,1.6415,2.8361,1.5612
1.9964,1.3106,0.93514,0,0.73827,3.2418,2.9888,2.4632
2.4288,0.70915,0.14387,0.082566,2.2299,1.3505,3.0779,2.6714
2.3128,0.19358,0,0.4954,2.3869,0.18669,2.8997,2.7523
2.5026,0.27951,0,1.4862,1.6019,0.041204,3.0015,3.1455
2.3971,0.19358,0,1.2385,0.9738,0.041204,3.2051,3.1571
2.2284,0.27951,0,0.2477,0.65976,0.041204,3.3323,3.4577
2.3233,0.79508,0,0.16513,0.42424,0.041204,3.1924,3.6543
2.2706,1.3106,0,0.082566,0.18871,0.13819,2.9506,3.4577
2.3655,2.4277,0,0.16513,0.18871,0.089698,2.9379,2.8333
1.8488,3.3729,0,0.16513,0.89529,0.47765,2.2763,1.3646
1.3321,2.3418,0,0.16513,1.2878,0.57463,1.5256,0.86732
1.1317,1.3106,0,0.2477,2.3869,0.8656,1.3729,0.31224
0.39351,0.79508,2.7119,0.16513,0.1102,1.981,3.1288,1.619
2.1546,0.96693,0.93451,0.082566,1.7589,4.0662,2.9252,2.7407
1.9648,0.45136,0.2218,0.33026,3.3291,1.0596,3.3832,2.4632
0.39351,0.27951,0.0012427,0.82566,1.9944,0.18669,3.116,1.0755
