"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.026248,0.19894,0,2.5728,0.3626,0.086147,0.29696,2.0602,1.2692,1.4922
0.068184,1.4584,0,0.93481,0.1813,0.086147,2.5534,3.4252,1.3846,2.0188
0,1.0086,0.17058,0.14387,0,1.0633,3.1346,3.4352,2.0024,2.487
0.037729,1.0086,0.34116,0,0.3626,2.3412,2.1773,3.1251,2.9346,2.8088
0.030545,0.73869,0.34116,0,1.3597,2.717,1.2542,1.5896,0.73416,3.3257
0.075408,0.55877,0.34116,0,2.4475,2.5667,0.36534,2.662,2.53,3.394
0.072284,0.46881,0.34116,0.1097,2.9914,1.5895,0.22858,1.1639,1.0748,3.6573
0.060991,0.37886,0.34116,0.0011409,2.4475,0.76265,0.12602,2.7646,2.6145,2.9941
0.055717,0.37886,0.34116,5.8768e-07,1.4504,0.46198,0.05764,2.4373,2.7371,2.0969
0.020204,0.46881,0.34116,4.6172e-10,0.99714,0.31165,0.05764,2.0147,3.1567,1.775
0.059698,0.2889,0.34116,7.2851e-07,0.72519,0.086147,0.05764,1.684,2.4622,1.5507
0.067611,0.2889,0.17058,0.002327,0.1813,0.16131,0.05764,1.8252,2.8648,1.5507
0.079299,0.37886,0.34116,3.0212,0,0.086147,0.29696,0.71027,3.4572,1.1801
0.43963,0.24494,0,3.0596,0.090649,0.16131,0.091829,2.7467,2.694,1.5507
0.37472,0.084998,0,0.8629,0.090649,0.38682,3.3739,2.4055,3.2255,2.2139
0.89399,0.23956,0,0.071934,0.090649,1.6647,3.0662,3.5143,2.4627,3.238
0.69927,0.19071,0,0,0.45325,3.4687,2.0406,0.89044,1.4897,3.7451
1.608,0.23468,0,0,1.541,3.0177,1.0833,2.9902,3.5486,3.8817
1.5431,0.21139,0,0,3.626,2.5667,0.53628,2.7028,3.9128,3.9012
1.9001,0.13921,0,0.1097,4.9857,1.8902,0.26277,2.0723,2.2972,3.7061
3.8798,0,0,0.0012153,3.7166,0.53715,0.05764,1.2762,3.0666,3.0819
3.7176,0.18967,0,5.4629e-07,1.813,0.46198,0.05764,2.8762,3.1006,2.3114
2.8737,0.16266,0,4.6715e-10,1.0878,0.23648,0.05764,0.97119,4.6677,1.7165
2.1273,0.039148,0,7.3651e-07,0.5439,0.086147,0.05764,3.1289,3.4505,1.619
1.4782,0.15351,0,0.002279,0.090649,0.086147,0.05764,2.7871,2.3622,1.5507
0.43963,0.098182,0,3.0572,0,0.086147,0.33115,0.97695,2.5994,1.3069
0.6019,0.2889,0,3.0248,0.27195,0.086147,0.19439,2.6866,1.4318,1.541
0.63436,0.46881,0,0.93481,0.27195,0.31165,3.0321,4.3137,2.3598,2.4967
1.608,0.82865,0,0,0.27195,1.5143,3.0321,1.1223,3.5802,3.2185
0.86154,0.73869,0.17058,0,0.72519,2.5667,1.7329,3.9756,4.494,3.1502
1.251,0.91861,0.17058,0,1.2691,3.0177,0.7756,3.6462,2.1184,3.472
1.1536,0.73869,0,0,2.2662,3.0177,0.57047,2.5114,3.8986,3.472
1.608,0.46881,0,0.2194,2.7195,1.8902,0.26277,0.80773,3.1926,3.5501
3.7176,0.37886,0,0.0010169,2.2662,0.53715,0.12602,2.5783,0.99398,3.0429
4.3342,0.2889,0,5.4629e-07,1.1784,0.16131,0.05764,1.4018,2.6216,2.448
3.2632,0.2889,0,4.3999e-10,0.45325,0.46198,0.05764,2.3968,2.1575,1.6873
2.322,0.19894,0,7.0449e-07,0.27195,0.16131,0.05764,0.9028,0.82526,1.4532
1.6729,0.19894,0,0.002255,0.27195,0.16131,0.05764,0.97062,1.9667,1.3654
0.47208,0.46881,0,2.9853,0.3626,0.16131,0.26277,1.0287,2.036,1.1801
0.17999,1.1885,2.7292,2.9553,0.99714,0.019039,0.073014,1.4034,3.6778,0.25358
