"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.00062272,0.0087181,-0.0011038,1.8253,1.2724,0.40777,1.8284
-0.0068551,-0.75848,0.15674,2.3492,-0.85156,0.018683,0.88566
-0.027963,-1.0462,1.8141,2.4147,-2.1557,-0.18883,0.25268
-0.00012697,-0.75848,2.919,-0.2047,-0.85156,0.096501,-0.13788
0.015462,-0.37488,1.7352,-1.8418,-0.14358,-0.24071,0.10454
0.0065408,0.10462,-1.1849,-1.3834,0.042734,0.070562,0.42776
-0.026406,-0.087181,-2.5266,-1.056,0.042734,0.58934,-1.7809
-0.030092,-0.087181,-1.5006,-0.33567,-0.03179,0.40777,-2.0503
-0.0029614,0.0087181,-0.63248,-0.27018,-0.069052,0.40777,-0.31296
-0.0043182,0.0087181,-0.23787,-0.33567,0.0054721,-0.13695,-0.084008
0.00046297,0.0087181,-0.39571,-0.073728,0.0054721,-0.83731,0.10454
-0.049354,1.2554,-0.15895,-0.0082429,1.3096,-0.60386,0.64324
0.45859,-0.1226,0.077818,-0.13921,1.1233,0.43371,-0.030137
2.6142,-1.341,-0.0011038,0.38467,0.89976,1.1341,1.8553
2.3738,0.00037249,0.15674,1.5634,-0.66525,0.8228,2.8385
0.27959,0.15888,0.94596,1.105,-2.0812,-0.34446,0.37389
-0.13694,0.2425,0.47243,-0.99052,-0.44167,-0.18883,-0.52844
-0.0096667,-0.043021,-0.55356,-1.187,-0.10631,0.12244,0.17188
-0.21793,0.018673,-0.63248,-0.33567,0.11726,-0.16289,0.33349
-2.4394,-0.073745,-0.31679,-0.27018,0.079996,0.32995,-2.387
-2.4742,-0.098461,-0.0011038,-0.27018,-0.10631,-0.57792,-2.6159
-0.44934,0.23869,-0.0011038,-0.2047,-0.069052,-0.75949,-0.48804
-0.067518,0.11919,-0.0011038,-0.0082429,0.0054721,-0.75949,-0.07054
-0.021237,0.015296,-0.0011038,-0.0082429,0.0054721,-0.52604,-0.043605
0.52257,-0.017474,-0.0011038,-0.0082429,1.6077,0.58934,0.34696
0.41844,1.3936,-0.080025,-0.0082429,1.1606,-5.6912,0.21228
1.6218,0.69474,-0.080025,1.0395,1.9431,-5.9926,1.6668
2.154,-1.1421,0.3935,3.4625,-0.14358,-0.012897,1.384
0.48786,-0.66258,1.5773,2.5457,-3.2736,0.040355,-0.24562
-0.044378,-0.18308,2.8401,-0.59761,-0.96334,0.026647,0.60284
-0.10223,0.0087181,2.8401,-1.4489,-0.25536,-0.028824,0.4951
-0.40306,-0.087181,-0.31679,-1.5799,0.079996,0.0018655,-0.5015
-2.1618,-0.087181,-2.8423,-1.1215,0.0054721,0.039399,-2.0233
-2.1155,-0.087181,-2.132,-0.85955,-0.10631,-0.018527,-2.0503
-0.41463,0.0087181,-1.4217,-0.72858,0.0054721,-0.055013,-0.44763
-0.067518,0.0087181,-0.7114,-0.27018,0.0054721,-0.043526,0.44123
-0.021237,0.0087181,-0.080025,-0.27018,0.0054721,-0.013688,-0.19175
0.34901,1.3513,-0.0011038,-0.13921,1.4587,0.023037,0.27962
0.3143,1.8308,0.077818,-0.032323,0.04027,1.4461,-0.01667
0.9391,6.3381,0.15674,-0.096986,-1.4198,1.9473,-0.58231
0.83497,4.7078,0.3935,0.014532,0.0053507,-0.085073,-0.69005
-0.64604,-1.0462,0.31458,-0.035025,-0.04866,-0.91513,-1.2422
-0.66918,-0.66258,-0.15895,-0.105,-0.058959,-0.57792,-0.38029
-0.12537,-1.9093,-0.31679,-0.01756,0.10631,-0.55198,-0.030137
0.025044,-0.27898,0.31458,-0.095264,0.065458,-0.42228,0.064136
-0.49562,-0.95027,0.78811,0.11993,-0.073698,-0.18883,-0.16481
-0.55347,-3.3478,0.3935,0.11506,0.042166,-0.085073,-0.11094
-0.079089,-2.197,-0.47463,-0.013751,0.020171,0.096501,0.5355
-0.0096667,-1.1421,-0.79032,-0.0073719,-0.049399,0.32995,0.33349
-0.0096667,-0.95027,-0.39571,-0.13056,0.022451,0.77092,0.27962
0.34901,1.9267,-0.15895,0.050837,0.0066251,1.0822,0.54897
0.48786,0.96771,-0.15895,0.050765,1.2079,4.4802,1.3166
-0.28736,-1.7175,-0.15895,-0.071899,0.2531,3.8317,0.21228
-0.49562,-0.75848,-0.0011038,-0.0082429,-1.1869,0.32995,-0.90553
-0.090659,-0.75848,-0.0011038,-0.0082429,-0.25536,0.2262,-0.01667
-0.021237,-0.47078,-0.0011038,-0.0082429,-0.03179,-0.47416,0.037201
-0.0096667,-0.47078,-0.0011038,-0.0082429,0.0054721,-0.5001,0.25268
-0.0096667,-0.27898,-0.0011038,-0.0082429,0.0054721,-0.0072557,0.064136
-0.0096667,0.0087181,-0.0011038,-0.0082429,0.0054721,0.12244,-0.084008
-0.0096667,0.0087181,-0.0011038,-0.0082429,0.0054721,-0.78543,-0.030137
-0.0096667,0.0087181,-0.0011038,-0.0082429,0.0054721,-0.3704,0.077603
-0.0096667,0.0087181,-0.0011038,-0.0082429,0.0054721,0.070562,0.17188
-0.0096667,0.0087181,-0.0011038,-0.0082429,0.0054721,0.53747,0.13147
-0.0096667,0.0087181,-0.0011038,-0.0082429,0.0054721,0.71904,-0.11094
0.46472,0.87181,-0.0011038,-0.0082429,1.0115,-0.57792,0.65671
2.1193,0.68001,-0.0011038,0.84306,3.061,0.070562,2.1651
2.1656,-0.75848,0.23566,2.5457,-0.2181,0.77092,1.8284
0.21017,-0.56668,1.1038,2.1528,-2.9382,0.25214,0.5355
0.17546,-0.087181,2.4455,-0.2047,-0.73977,0.27807,0.14494
0.11761,-0.087181,2.0509,-1.6454,-0.10631,0.14838,0.58937
-0.36835,0.0087181,-0.31679,-1.4489,0.0054721,0.32995,-0.55537
-2.0576,0.10462,-1.8952,-0.85955,0.042734,-0.085073,-2.8583
-2.4626,0.10462,-1.8952,-0.53212,-0.03179,-0.3704,-2.3466
-0.43777,-0.087181,-1.1849,-0.33567,-0.03179,-0.0072557,-0.31296
-0.032807,-0.087181,-0.39571,-0.27018,0.0054721,-0.11101,0.010266
-0.0096667,0.0087181,-0.080025,-0.2047,0.0054721,-0.11101,0.15841
0.36058,1.0636,-0.080025,-0.13921,1.4587,-0.085073,0.4951
0.36058,1.0636,-0.0011038,-0.0082429,1.4214,-0.11101,0.64324
1.8184,0.10462,-0.0011038,0.71209,0.71345,0.018683,1.5994
1.992,-0.56668,0.23566,1.9563,-0.96334,-0.31853,0.4547
0.21017,-1.0462,0.94596,1.6289,-2.0067,-0.60386,-0.35336
0.16389,-0.37488,2.9979,-0.27018,-0.40441,-0.11101,0.83179
0.048185,0.20052,2.1298,-1.187,-0.14358,0.2262,0.81832
-0.10223,-0.087181,-1.5006,-1.056,-0.03179,0.17432,0.010266
0.15232,-0.18308,-1.2638,-0.85955,0.0054721,1.1081,0.25268
0.18703,0.20052,-0.55356,-0.46664,0.0054721,1.3416,0.44123
0.10604,0.68001,-0.79032,-0.2047,0.042734,-0.5001,-0.25909
0.048185,0.58411,-0.7114,-0.073728,0.0054721,-1.3042,-0.9998
-0.44934,0.68001,-0.63248,-0.13921,-0.03179,-0.24071,-0.27255
-0.17165,1.3513,-0.47463,-0.13921,0.042734,0.12244,0.14494
-1.9072,-0.47078,-0.39571,0.057242,1.1233,-0.47416,-1.8887
-0.33364,-1.1421,-0.0011038,1.0395,3.4336,-0.39634,0.52203
1.6912,-0.85438,0.70919,2.8731,-0.03179,-0.29259,1.9092
-1.9535,-0.85438,1.1038,0.84306,-3.3109,0.45965,-1.9156
-2.0576,0.0087181,-0.15895,-1.9073,-1.0379,0.45965,-2.3062
-0.28736,-0.087181,-0.7114,-1.5144,-0.14358,-0.3704,-0.27255
-0.079089,-0.087181,-0.47463,-0.79406,-0.03179,0.79686,0.037201
-0.0096667,0.0087181,-0.31679,-0.27018,0.0054721,0.66716,-0.07054
-0.0096667,0.0087181,-0.080025,-0.2047,0.0054721,-1.2523,-0.21868
-0.0096667,0.0087181,-0.080025,-0.13921,0.0054721,-0.62979,0.22575
-0.0096667,0.0087181,-0.0011038,-0.073728,0.0054721,-0.033195,0.41429
-0.0096667,0.0087181,-0.0011038,-0.0082429,0.0054721,-0.26665,-0.31296
0.37215,1.7349,-0.0011038,-0.0082429,1.0488,0.43371,-0.084008
0.38373,0.77591,0.077818,0.057242,1.1233,0.018683,0.37389
2.1077,-0.47078,-0.0011038,0.58112,1.6077,-0.16289,2.4344
2.2581,-0.087181,-0.0011038,1.6289,-0.40441,0.25214,1.8419
-0.26421,-0.75848,0.70919,1.4979,-2.4538,-0.033195,-1.1345
-2.2659,-0.27898,0.55135,-0.40115,-0.62798,0.64122,-1.9425
-2.2427,-0.18308,-0.23787,-1.4489,-0.10631,0.53747,-1.6193
-0.41463,-0.37488,-0.47463,-0.99052,-0.069052,-0.44822,-0.36683
-0.021237,-0.27898,-0.31679,-0.33567,-0.069052,-0.24071,-0.057072
-0.0096667,0.0087181,-0.0011038,-0.2047,0.0054721,-0.5001,0.21228
-0.0096667,0.0087181,-0.15895,-0.2047,0.0054721,-0.21477,0.22575
-0.0096667,0.0087181,-0.15895,-0.0082429,0.0054721,-0.13695,-0.043605
