"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.027019,-0.017616,-0.18982,0.82267,4.0911,-0.55286,2.2674
-0.022383,-0.9731,0.096916,2.197,-0.12623,0.0019399,1.055
-0.044095,-1.2337,1.1483,2.4031,-2.8591,0.052376,0.24678
0.014116,-0.45193,1.9129,0.27294,-0.73352,0.35499,0.52055
0.013827,-0.10448,3.0599,-1.0327,-0.092487,1.0359,0.10338
-0.033345,0.069247,1.9129,-1.5137,-0.025009,0.75848,0.22071
-0.035995,-0.017616,-2.1014,-1.2388,-0.025009,-0.048496,-1.5783
-0.007642,-0.10448,-2.9616,-0.55165,-0.058748,0.10281,-2.53
0.001833,-0.10448,-1.6235,-0.20807,-0.025009,-0.048496,-0.58756
0.0014731,-0.017616,-0.7633,-0.20807,-0.025009,-0.85547,0.28589
-0.025084,-0.017616,-0.2854,-0.27679,-0.025009,0.20368,-0.00091164
-0.023219,1.3722,-0.18982,-0.27679,1.1221,0.45587,0.48144
0.37686,-0.077203,-0.18982,-0.13935,0.88594,-0.85547,0.65091
2.3447,-1.4996,-0.094242,0.61652,0.95342,-0.72938,1.9676
2.5228,-0.019894,0.38365,1.5098,-0.39614,0.53152,2.3457
0.33641,0.086164,0.76597,0.82267,-1.9819,0.65761,0.45537
-0.21888,0.095673,0.57481,-0.55165,-0.53109,-0.12415,-0.026985
0.024059,-0.13199,0.096916,-0.89523,-0.1937,0.12803,-0.41808
-0.56593,-0.040661,0.096916,-0.68908,-0.025009,0.27934,-0.41808
-2.3822,-0.0031866,-0.47656,-0.48293,0.076207,-0.098932,-2.0085
-2.093,-0.088725,-0.66772,-0.27679,-0.058748,-0.42677,-2.2302
-0.34613,0.12518,-0.2854,-0.070638,-0.12623,0.077594,-0.54845
-0.068489,-0.025511,-0.38098,-0.0019221,-0.025009,0.40543,-0.1052
-0.033783,-0.016857,-0.094242,-0.0019221,-0.025009,-0.55286,-0.23557
0.41738,-0.011832,0.0013368,-0.0019221,1.1221,-0.65373,0.37715
0.31327,0.88267,0.096916,0.066794,1.1558,-5.5575,0.55966
1.9676,1.0696,0.096916,0.75395,1.7969,-5.2879,1.3027
2.3493,-0.53879,0.0013368,2.678,-0.73352,0.010874,1.9806
0.33641,-0.79938,0.57481,2.4719,-2.9265,-0.018464,0.4684
0.39425,-0.2782,1.3394,-0.070638,-0.49735,0.02611,-0.28772
