"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.02144,0.62193,2.5728,0,0.16523,1.1673,2.445,1.5381
0.018649,1.5666,0.93481,0,0.71544,3.9793,2.8391,2.6251
0.0213,0.45018,0.14387,0.082566,2.2875,1.1188,2.5849,2.7176
0.014396,0.10666,0,0.82566,3.5451,0.2946,2.8772,2.9026
0.037461,0.10666,0,2.3119,2.6019,0.10067,3.1696,3.0183
0.012063,0.27842,0,2.3119,1.9731,0.10067,2.8899,3.6312
0.01147,0.27842,0.1097,1.9816,1.4228,0.14915,3.1187,2.8795
0,0.27842,0.0011409,0.99079,0.87264,0.14915,3.4619,1.2489
0.022321,0.27842,5.8768e-07,0.16513,0.71544,0.052188,3.1569,1.1333
0.0017428,0.27842,4.6172e-10,0.082566,0.40104,0.052188,3.0297,0.94827
0.019089,0.27842,7.2851e-07,0.2477,0.24384,0.052188,3.1441,1.0639
0.022822,0.19254,0.002327,0.082566,0.24384,0.052188,2.9916,1.2489
0.014893,0.79369,3.0212,0.082566,0.16523,2.5248,3.017,1.2952
0.31587,0.083823,3.0596,0,0.24384,1.6521,3.1569,1.5381
2.0871,0.11212,0.8629,0,1.2656,3.7854,3.0297,3.423
2.298,0,0.071934,0.33026,2.9949,1.0703,3.0933,3.4924
2.298,0.0012553,0,1.8165,3.7023,0.10067,3.1569,3.4577
2.5405,0.098775,0,3.4678,2.3661,0.052188,3.284,3.2843
2.3507,0.19322,0,2.7247,1.6587,0.052188,3.2585,3.5387
2.0133,0.061914,0.1097,3.1375,1.0298,0.052188,3.3602,2.9258
0.4213,0.10677,0.0012153,1.6513,0.71544,0.052188,3.1441,1.353
0.094461,0.20237,5.4629e-07,0.99079,0.55824,0.052188,3.0806,1.0524
0.031202,0.090776,4.6715e-10,0.33026,0.32244,0.052188,3.0806,1.2143
0.020659,0.053783,7.3651e-07,0,0.16523,0.052188,3.0679,1.1911
0.020659,0.24689,0.002279,0,0.16523,0.052188,3.1569,1.0408
0.50564,0.17781,3.0572,0,0.16523,2.3309,3.0297,1.2027
0.33695,1.1372,3.0248,0,0.16523,1.5067,0,1.5149
2.2242,0.96545,0.93481,0,1.2656,3.6884,0.0067919,3.2843
2.4034,0.45018,0,0.4954,3.1521,0.92489,0.014693,3.1108
2.1293,0.3643,0,1.5688,3.5451,0.24612,0.010598,3.238
2.4667,0.53605,0,2.8898,2.6019,0.052188,0.0050484,3.3652
2.5826,0.45018,0,2.3119,1.4228,0.10067,0.027906,2.972
1.8341,0.27842,0.2194,1.4862,1.1084,0.14915,0.028294,3.5387
0.33695,0.19254,0.0010169,0.99079,1.0298,0.14915,0.03252,1.6768
0.062831,0.10666,5.4629e-07,0.2477,0.47964,0.052188,0.0082905,1.1217
0.031202,0.10666,4.3999e-10,0.082566,0.47964,0.052188,0.038704,1.0408
0.020659,0.10666,7.0449e-07,0.082566,0.32244,0.052188,0.013866,0.89045
0.020659,0.10666,0.002255,0.082566,0.24384,0.052188,0.021116,1.087
0.36858,1.4807,2.9853,0.082566,0.24384,2.2824,0.03974,1.4455
0.37913,1.2231,2.9553,0.57796,0.22474,0.05712,0.71633,0.63604
1.9501,3.0265,0.64717,0.16513,0.29353,0.021439,1.0977,2.07
1.3596,3.2842,0,0.082566,0.14746,0,1.0341,1.2605
1.3913,5.0876,0,0.2477,0.062478,0.07521,1.0977,0.78637
1.2015,6.0323,0,0.082566,0.23011,0.077927,0.77989,0.26598
0.71651,4.9159,0,0.7431,0.12306,0.015222,0.81802,0
0.54782,4.143,0.073134,0.41283,0.12212,0.12507,0.60194,0.069386
0.15772,2.3395,0.0010417,0.7431,0.25697,0.065004,0.51296,0
0.031202,1.1372,5.794e-07,0.99079,0.14601,0.12292,0.58922,0.37006
0.020659,0.79369,4.7258e-10,0.41283,0.17921,0.022168,0.77989,0.41632
0.020659,0.45018,7.6053e-07,0.2477,0,0.026139,0.98327,0.39319
0.020659,0.3643,0.002351,0,0.32685,0.0094883,1.1485,0.53196
0.31587,1.5666,2.8054,0,0.20395,0.11566,1.2629,1.3068
0.31587,1.1372,2.99,0,0.16523,1.7976,3.3475,1.5727
0.062831,0.45018,0,0,0.16523,0.2946,3.1187,1.3068
0.020659,0.27842,0,0,0.16523,0.10067,2.8772,1.1333
0.020659,0.19254,0,0,0.16523,0.052188,2.7882,1.1102
0.020659,0.10666,0,0,0.16523,0.052188,2.8645,1.0292
0.020659,0.10666,0,0,0.16523,0.052188,3.0043,1.168
0.020659,0.10666,0,0,0.16523,0.052188,2.8264,0.83263
0.020659,0.10666,0,0,0.16523,0.052188,2.9789,1.0408
0.020659,0.10666,0,0,0.16523,0.052188,2.6484,1.1564
0.020659,0.10666,0,0,0.16523,0.052188,2.3688,1.0061
0.020659,0.10666,0,0,0.16523,0.052188,2.4577,1.0292
0.020659,0.10666,0,0,0.16523,0.052188,2.5721,1.0986
0.020659,0.10666,0,0,0.16523,0.052188,2.5721,1.1911
0.37913,1.6525,2.7119,0,0.24384,1.4097,2.9662,1.5034
2.1926,1.5666,1.0786,0,1.3442,3.0097,3.0933,2.7523
2.182,0.70781,0.2158,0.66053,3.1521,1.2158,2.8899,2.151
2.435,0.19254,0.071934,2.8072,3.3879,0.39157,2.4705,2.4054
2.3402,0.10666,0,3.2201,2.8377,0.14915,2.5467,2.7639
2.414,0.19254,0,4.376,1.8945,0.052188,2.9789,3.1918
1.9922,0.19254,0.1097,3.4678,1.4228,0.14915,2.8518,3.1224
0.37913,0.19254,0.00099211,1.899,0.79404,0.24612,2.9535,1.6074
0.052288,0.19254,5.5457e-07,0.57796,0.55824,0.052188,3.106,1.0986
0.031202,0.10666,4.2369e-10,0.2477,0.40104,0.052188,2.9662,1.1217
0.020659,0.10666,6.8048e-07,0,0.40104,0.052188,2.9026,0.93671
0.020659,0.10666,0.002207,0,0.40104,0.052188,2.5086,1.3299
0.40021,1.996,2.8414,0,0.32244,2.1855,2.6993,1.5496
0.35804,1.1372,2.8162,0.082566,0.16523,1.6521,2.8264,1.5612
1.9922,1.309,0.93514,0,0.79404,3.2521,2.9789,2.4632
2.4245,0.70781,0.14387,0.082566,2.2875,1.3612,3.0679,2.6714
2.3085,0.19254,0,0.4954,2.4447,0.19764,2.8899,2.7523
2.4983,0.27842,0,1.4862,1.6587,0.052188,2.9916,3.1455
2.3929,0.19254,0,1.2385,1.0298,0.052188,3.195,3.1571
2.2242,0.27842,0,0.2477,0.71544,0.052188,3.3221,3.4577
2.3191,0.79369,0,0.16513,0.47964,0.052188,3.1823,3.6543
2.2664,1.309,0,0.082566,0.24384,0.14915,2.9408,3.4577
2.3612,2.4254,0,0.16513,0.24384,0.10067,2.9281,2.8333
1.8446,3.37,0,0.16513,0.95124,0.48854,2.2671,1.3646
1.328,2.3395,0,0.16513,1.3442,0.5855,1.5171,0.86732
1.1277,1.309,0,0.2477,2.4447,0.8764,1.3646,0.31224
0.38967,0.79369,2.7119,0.16513,0.16523,1.9915,3.1187,1.619
2.1504,0.96545,0.93451,0.082566,1.8159,4.0763,2.9153,2.7407
1.9606,0.45018,0.2218,0.33026,3.3879,1.0703,3.3729,2.4632
0.38967,0.27842,0.0012427,0.82566,2.0517,0.19764,3.106,1.0755
0.073374,0.10666,6.3474e-07,0.33026,1.4228,0.052188,2.8264,1.2027
0.020659,0.10666,2.5693e-10,0.57796,0.95124,0.052188,2.8137,1.3415
0.020659,0.10666,8.9484e-14,0.41283,0.79404,0.052188,2.5849,1.4802
0.020659,0.10666,0,0.2477,0.47964,0.052188,2.4959,0.98297
0.020659,0.10666,8.6375e-14,0,0.32244,0.052188,2.8009,1.1217
0.020659,0.10666,2.6173e-10,0,0.16523,0.052188,2.712,1.5149
0.020659,0.10666,7.8455e-07,0,0.16523,0.052188,2.7501,1.1102
0.020659,0.10666,0.0023749,0,0.16523,0.052188,2.8518,1.087
0.37913,0.79369,3.0212,0,0.16523,2.3794,3.1696,1.6537
0.37913,0.87957,2.851,0,0.24384,1.6521,2.5721,1.3877
2.0871,1.2231,0.79099,0,1.187,3.5915,2.534,3.4462
2.2664,0.45018,0,1.2385,3.6237,1.2158,2.2671,2.6598
2.0555,0.45018,0.14747,2.9724,2.9163,0.2946,2.534,2.3822
0.37913,0.45018,0.0011853,1.899,2.1303,0.19764,2.7882,1.2143
0.083918,0.3643,6.0598e-07,0.99079,1.5014,0.10067,2.8518,1.0408
0.020659,0.27842,2.3023e-10,0.66053,1.187,0.10067,2.9535,1.1333
0.020659,0.19254,8.5709e-14,0.41283,0.87264,0.052188,3.106,1.1796
0.020659,0.19254,8.6375e-14,0.082566,0.40104,0.052188,3.2077,1.0177
0.020659,0.19254,2.6173e-10,0,0.32244,0.052188,2.9916,0.91358
0.020659,0.10666,7.8455e-07,0,0.24384,0.052188,2.7755,1.0061
0.020659,0.10666,0.0023749,0,0.16523,0.052188,2.6993,1.0986
0.46347,1.3948,2.8414,0,0.16523,1.6521,2.6484,1.5959
0.40021,1.1372,3.0248,0,0.16523,1.5552,2.9662,1.6653
2.2769,0.96545,0.93481,0,0.63684,3.2521,3.017,3.1571
2.2031,0.45018,0.14387,0.082566,1.8159,0.73095,2.9281,2.9836
2.2031,0.3643,0,0.66053,1.8159,0.24612,2.5976,3.2149
1.929,0.3643,0.29413,0.66053,1.5014,0.34309,3.1314,3.2843
0.30532,0.45018,0.0010032,0.4954,1.1084,0.24612,3.1441,1.5381
0.062831,0.45018,5.2729e-07,0.16513,0.63684,0.052188,3.0679,1.2143
0.020659,0.27842,2.1779e-10,0.2477,0.32244,0.052188,2.7628,1.0524
0.020659,0.27842,1.6348e-13,0.41283,0.24384,0.052188,2.9662,0.83263
0.020659,0.19254,2.457e-10,0.16513,0.24384,0.052188,2.7501,0.98297
0.020659,0.19254,7.6854e-07,0,0.16523,0.052188,2.4959,1.1102
0.020659,0.19254,0.002327,0,0.16523,0.052188,2.8264,1.1449
0.4213,1.309,3.2011,0,0.16523,2.04,2.6611,1.4108
0.4951,1.996,2.5728,0,0.16523,1.1188,3.0297,1.434
2.2136,1.9101,0.93481,0,1.2656,3.8824,2.6357,2.4516
2.0344,0.70781,0.071934,0.66053,2.9163,1.1188,2.534,2.7176
2.3929,0.27842,0,2.0642,3.7023,0.34309,2.4705,2.7061
2.4561,0.10666,0,3.7155,2.2875,0.10067,2.7882,3.2033
2.0871,0.10666,0,3.7155,1.5801,0.052188,3.0297,3.2033
2.3507,0.10666,0,3.0549,0.87264,0.052188,2.9535,3.3768
2.3191,0.45018,0,2.5596,0.63684,0.052188,3.0806,3.7353
2.6775,0.19254,0,1.4862,0.40104,0.10067,3.1823,3.4577
2.1926,0.62193,0.14507,0.82566,0.32244,0.24612,2.6611,3.0992
0.47401,0.70781,0.00097603,0.57796,0.32244,0.10067,2.712,1.4687
0.073374,0.27842,0.0016558,0.33026,0.24384,0.052188,2.8391,0.77481
0.43184,1.2231,2.5537,0.33026,0.16523,1.7491,3.0679,1.5034
