"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.053522,0.20217,0,2.5728,0.3626,0.13788,0.31398,2.3812,2.8128,1.4922
0,1.4589,0,0.93481,0.1813,0.13788,2.5711,2.3345,2.1756,2.0188
0.054868,1.01,0.17058,0.14387,0,1.1139,3.1525,3.6498,2.8871,2.487
0.046262,1.01,0.34116,0,0.3626,2.3902,2.1949,0.3402,3.3909,2.8088
0.084383,0.74075,0.34116,0,1.3597,2.7656,1.2715,3.2423,2.4056,3.3257
0.04924,0.56122,0.34116,0,2.4475,2.6155,0.38238,2.1317,2.6778,3.394
0.044906,0.47146,0.34116,0.1097,2.9914,1.6394,0.24559,1.6481,4.1004,3.6573
0.10717,0.38169,0.34116,0.0011409,2.4475,0.81358,0.14299,2.4087,1.7888,2.9941
0.0081007,0.38169,0.34116,5.8768e-07,1.4504,0.51327,0.074592,2.4543,1.6407,2.0969
0.01251,0.47146,0.34116,4.6172e-10,0.99714,0.36311,0.074592,0.45266,4.3218,1.775
0.10085,0.29193,0.34116,7.2851e-07,0.72519,0.13788,0.074592,2.6123,1.892,1.5507
0.019924,0.29193,0.17058,0.002327,0.1813,0.21295,0.074592,2.1451,0.29518,1.5507
0.038235,0.38169,0.34116,3.0212,0,0.13788,0.31398,2.8194,2.7597,1.1801
0.43827,0.28372,0,3.0596,0.090649,0.21295,0.10879,2.0087,3.0686,1.5507
0.37337,0.037573,0,0.8629,0.090649,0.43819,3.3919,0.29574,0.73511,2.2139
0.89257,0.022136,0,0.071934,0.090649,1.7145,3.0841,1.7688,4.6224,3.238
0.69787,0.17373,0,0,0.45325,3.5164,2.0581,3.3403,1.7601,3.7451
1.6065,0.046117,0,0,1.541,3.0659,1.1006,0.50984,1.9661,3.8817
1.5416,0.094925,0,0,3.626,2.6155,0.55337,1.7464,2.1446,3.9012
1.8985,0,0,0.1097,4.9857,1.9398,0.27978,1.7876,2.9585,3.7061
3.878,0.18043,0,0.0012153,3.7166,0.58834,0.074592,0.38238,4.5191,3.0819
3.7157,0.13319,0,5.4629e-07,1.813,0.51327,0.074592,3.4434,1.9446,2.3114
2.872,0.02986,0,4.6715e-10,1.0878,0.28803,0.074592,3.9654,2.7232,1.7165
2.1257,0.14252,0,7.3651e-07,0.5439,0.13788,0.074592,3.5863,3.1313,1.619
1.4767,0.14077,0,0.002279,0.090649,0.13788,0.074592,3.324,4.0107,1.5507
0.43827,0.29304,0,3.0572,0,0.13788,0.34818,2.55,2.2673,1.3069
0.60052,0.29193,0,3.0248,0.27195,0.13788,0.21139,1.8879,1.9423,1.541
0.63297,0.47146,0,0.93481,0.27195,0.36311,3.0499,1.385,3.1306,2.4967
1.6065,0.83052,0,0,0.27195,1.5644,3.0499,2.0167,1.9317,3.2185
0.86012,0.74075,0.17058,0,0.72519,2.6155,1.7503,1.9561,0.42993,3.1502
1.2495,0.92028,0.17058,0,1.2691,3.0659,0.79276,0.70452,3.4762,3.472
1.1522,0.74075,0,0,2.2662,3.0659,0.58757,0.86252,2.3587,3.472
1.6065,0.47146,0,0.2194,2.7195,1.9398,0.27978,1.9912,1.5088,3.5501
3.7157,0.38169,0,0.0010169,2.2662,0.58834,0.14299,3.1747,2.5988,3.0429
4.3323,0.29193,0,5.4629e-07,1.1784,0.21295,0.074592,1.0453,2.5338,2.448
3.2614,0.29193,0,4.3999e-10,0.45325,0.51327,0.074592,2.287,2.7412,1.6873
2.3204,0.20217,0,7.0449e-07,0.27195,0.21295,0.074592,2.8551,4.0027,1.4532
1.6714,0.20217,0,0.002255,0.27195,0.21295,0.074592,3.3154,3.8133,1.3654
0.47072,0.47146,0,2.9853,0.3626,0.21295,0.27978,2.6187,3.6204,1.1801
0.17867,1.1896,2.7292,2.9553,0.99714,0.14819,0.081683,1.2283,3.3769,0.25358
0.30847,2.3565,2.3881,0.64717,0.99714,0,0.053933,0.7746,3.4607,1.1021
0.27602,2.9849,2.2175,0,0.72519,0.12081,0.16391,0.98519,1.8685,1.4337
0.27602,3.6132,2.7292,0,0.63454,0.11687,0,2.8085,3.6816,1.0923
0.081319,4.4211,4.0939,0,0.3626,0.12639,0.056148,3.2714,2.6036,0.77048
0.081319,6.4857,4.0939,0,0.5439,0.065307,0.079741,2.4364,3.5566,0.39987
0.14622,5.9471,5.1173,0.073134,0.90649,0.095684,0.09176,3.1351,2.4466,0.24382
1.6389,3.0746,4.9467,0.0010417,0.45325,0.10609,0.027893,1.8239,1.6818,0.039012
1.6714,1.8179,4.435,5.794e-07,0.81584,0.10344,0.079187,2.1221,2.2063,0
1.1846,1.6384,3.0704,4.7258e-10,0.5439,0.14369,0.078244,3.8761,4.3357,0.1658
0.79522,1.4589,2.7292,7.6053e-07,0.3626,0.17161,0.11919,1.8401,3.2167,0.25358
0.63297,1.2793,1.7058,0.002351,0.3626,0.08463,0.076111,1.9706,2.9108,0.28283
0.081319,1.0998,1.3646,2.8054,0.27195,0.13813,0.12912,1.7114,1.7364,0.57542
0.50317,0.20217,0,2.99,0.090649,0.13788,0.27978,2.4132,1.7403,1.3459
0.76277,0.47146,0,0,0,0.13788,0.10879,2.3049,2.7245,1.619
0.60052,0.20217,0,0,0,0.13788,0.074592,1.6844,1.3054,1.5117
0.37337,0.20217,0,0,0,0.13788,0.074592,3.0613,0,1.4142
0.34092,0.1124,0,0,0,0.13788,0.074592,0.5464,3.0604,1.2386
0.30847,0.1124,0,0,0,0.13788,0.074592,2.1535,1.8698,1.4532
0.24357,0.1124,0,0,0,0.13788,0.074592,2.3119,0.90449,1.0143
0.17867,0.1124,0,0,0,0.13788,0.074592,3.4041,2.7923,1.1118
0.14622,0.1124,0,0,0,0.13788,0.074592,1.9998,3.8523,1.1508
0.11377,0.1124,0,0,0,0.13788,0.074592,3.8195,2.0574,1.2484
0.11377,0.1124,0,0,0,0.13788,0.074592,1.6023,3.6285,0.9948
0.11377,0.1124,0,0,0,0.13788,0.074592,3.6022,3.4881,0.9948
0.048869,0.1124,0,0,0,0.13788,0.074592,0.39547,0.46388,0.98504
0.47072,0.20217,0,2.7119,0.1813,0.21295,0.17719,0.89566,2.3739,1.3166
0.27602,1.3691,0.17058,1.0786,0.1813,0.66342,3.5287,2.3416,2.1055,1.7653
0.60052,1.4589,0.51173,0.2158,0.1813,1.9398,3.3919,2.5681,1.8835,2.1846
0.92502,1.01,0.68231,0.071934,0.90649,2.9908,2.0239,4.2265,3.318,2.3504
1.4118,0.74075,0.51173,0,2.2662,3.4413,1.3057,0.41134,2.5171,2.7503
