"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.059545,-1.3176,-0.037817,0.44539,2.7059,-0.36623,0.059049
-0.059545,-1.3529,0.25457,1.9041,-0.49838,-0.50809,0.058411
-0.059545,-0.96251,1.1956,2.3107,-2.9323,-0.16474,-0.32299
-0.059545,-0.39776,2.0832,0.20032,-0.52318,0.41368,-0.21594
-0.059545,0.038644,1.3295,-1.9573,-0.21129,0.088837,1.2706
-0.059545,0.18626,-0.70273,-1.5727,-0.13324,0.45062,2.5931
-0.059545,0.11985,-1.8099,-0.35113,0.062601,2.1483,-1.0216
-0.059545,0.07142,-1.2703,-0.16001,0.004562,2.0282,-2.624
-0.059545,0.2342,-0.44933,-0.57729,-0.16538,-0.37552,-0.61878
-0.059545,0.60156,-0.23629,-0.58427,0.022749,-1.8237,0.08453
-0.059545,0.97256,-0.20793,-0.061055,-0.42841,-1.337,0.12464
-0.059545,1.1139,-0.074847,0.071065,1.6106,-1.0053,0.052021
-0.059545,0.93377,0.032349,-0.10092,1.5917,-0.96122,0.4691
0.61593,0.16811,-0.1738,-0.091112,2.5939,0.030116,0.21752
0.42059,0.16811,-0.0013331,2.7113,-0.3521,0.3764,-0.42425
0.078664,0.16811,0.21839,1.9612,-2.855,0.59653,-0.62875
0.21625,0.16811,1.4519,-1.0758,-0.34871,-0.2928,-0.12877
0.29414,0.16811,2.463,-1.4213,-0.15566,-1.7054,0.018989
-0.34456,0.16811,0.45887,-1.0183,0.046495,-1.4377,0.24946
-1.2073,0.16811,-1.9631,-0.92348,-0.046413,0.088099,1.0824
-1.2955,0.16811,-1.6512,-0.50186,-0.121,1.3001,1.5972
-0.63397,0.16811,-0.66775,-0.11969,-0.036527,1.9541,-0.25876
-0.084419,0.16811,-0.22447,0.0020373,-0.0091439,1.5615,-2.1928
0.095106,0.16811,0.0011108,-0.020437,-0.27625,0.028017,-1.4975
0.23167,0.16811,0.017548,-0.21323,1.3277,-1.6637,-0.20468
0.36301,0.16811,0.17743,0.0048419,0.91971,-1.7639,0.51657
1.1622,1.2436,-0.30186,0.61253,2.6802,-0.038743,1.9673
1.1482,-0.18612,0.26576,2.1822,0.037003,-0.038743,0.30816
0.40692,-1.4594,1.3221,1.9951,-2.7972,-0.038743,-1.6606
0.1056,-0.43303,1.9376,0.019658,-0.70418,-0.038743,1.474
0.093684,0.17743,1.1791,-1.556,-0.17766,-0.038743,0.79267
-0.57552,0.035656,-0.52427,-1.4589,-0.062368,-0.038743,0.49564
-1.5368,0.070403,-1.7199,-0.64404,-0.076556,-0.038743,-1.7548
-1.4313,0.016127,-1.5508,-0.32185,-0.043408,-0.038743,-2.5134
-0.4631,0.22243,-0.60107,-0.33949,-0.04026,-0.038743,0.51222
0.01398,0.1993,-0.0087606,-0.25483,-0.030417,-0.038743,-0.043095
0.016376,-0.26485,-0.035008,-0.21024,-0.2206,-0.038743,-0.46648
0.27196,2.3868,-0.091539,-0.18308,1.1115,-0.038743,0.45778
0.54883,2.4662,0.13318,0.074171,0.88797,-0.038743,0.85688
3.4129,2.8478,1.1213,-0.03387,-0.044628,1.6352,1.9363
1.2175,2.526,0.27912,-0.03387,-0.044628,1.1323,-0.41525
-2.9737,-1.1848,-0.81118,-0.03387,-0.044628,-0.058094,-2.6326
-0.2466,-0.53134,-0.97691,-0.03387,-0.044628,-0.78621,-0.64063
0.20032,0.2395,-0.88532,-0.03387,-0.044628,-0.69778,0.08849
0.37444,-0.17534,-0.93174,-0.03387,-0.044628,-0.35082,0.038894
-1.3363,0.29591,0.2578,-0.03387,-0.044628,-0.19925,0.33152
-1.4756,-0.82408,2.1178,-0.03387,-0.044628,-0.059718,0.29232
0.1442,-0.69616,0.043359,-0.03387,-0.044628,0.44149,0.51159
-0.064308,0.055631,-2.2789,-0.03387,-0.044628,1.256,0.42636
-0.275,-0.33776,-0.99265,-0.03387,-0.044628,1.8182,0.59694
0.81134,0.53947,-0.10031,-0.03387,-0.044628,1.5332,0.11503
1.2029,1.4317,0.42528,-0.03387,-0.044628,0.43643,-0.84562
-0.059545,1.9189,0.024851,0.63714,0.23637,-1.2829,-0.2
-0.059545,0.46474,0.23839,1.1986,0.55998,-1.4961,0.04548
-0.059545,-0.90111,0.5585,1.4159,0.61631,-0.74518,0.26771
-0.059545,-0.83441,1.2646,1.1365,0.51814,-0.21705,0.49177
-0.059545,-0.38524,1.6126,0.4514,0.36234,-0.14823,0.7428
-0.059545,-0.29843,0.7644,-0.34958,0.021043,0.25237,1.0038
-0.059545,-0.14553,-0.59677,-0.9486,-0.51624,1.1221,0.98305
-0.059545,0.1122,-1.2031,-1.168,-0.91377,1.4331,0.25943
-0.059545,0.10708,-1.0114,-1.0309,-0.90497,0.51689,-0.84081
-0.059545,-0.019554,-0.76232,-0.70167,-0.6242,-0.28158,-1.2873
-0.059545,0.058127,-0.62901,-0.36514,-0.30631,0.44865,-0.79172
-0.059545,0.21003,-0.3064,-0.12496,-0.0118,1.1639,-0.12998
-0.059545,0.28959,0.19349,0.02012,0.23616,0.21029,0.13049
0.69522,-3.3176,-0.56232,1.6457,1.5672,-0.32196,-0.10654
0.82436,-1.9545,0.35706,2.2137,-0.32961,-0.022074,0.17936
0.4545,-0.34987,1.6015,1.0045,-1.9235,-0.16026,0.76161
0.40202,-0.10078,1.8321,-0.75138,-0.57219,0.40723,1.0856
0.42361,0.020613,0.76275,-1.5004,-0.11529,1.3497,0.21794
-0.38198,0.25549,-0.5328,-1.1223,0.038983,1.0085,-0.5246
-1.5789,0.045138,-1.2128,-0.52383,0.015785,0.63397,-0.44042
-1.6496,0.042815,-1.2473,-0.35809,-0.13191,1.2393,-0.5948
-0.61244,0.28549,-0.86683,-0.39409,-0.094114,0.23655,-0.93386
0.044561,0.1352,-0.38348,-0.2522,-0.094286,-2.049,-0.74811
0.075934,0.37455,-0.087762,-0.077275,-0.014894,-1.8525,0.096339
0.23307,0.76727,0.031826,-0.0019715,1.1143,-0.61511,0.87345
0.46811,-0.15206,0.16886,0.13968,0.62198,-0.53027,0.69901
0.20464,-4.0959,0.84884,1.4944,2.8194,-0.49572,0.084762
0.46585,-1.7652,1.553,1.808,-0.95306,-0.20661,-0.16669
0.73889,-0.40272,1.5593,0.75542,-3.1658,-0.010354,-0.014725
1.3887,-0.0073069,0.91312,-0.66356,-0.43289,-0.067183,0.75405
1.583,0.033329,0.15208,-1.2053,-0.067154,0.35551,2.7504
0.48119,0.10889,-0.26821,-1.0017,-0.25906,1.5664,0.73457
-1.14,0.19343,-0.38461,-0.79668,0.039647,2.1004,-3.2804
-1.6673,0.18757,-0.50724,-0.65952,-0.13256,0.90543,-1.2095
-0.79804,0.14107,-0.75602,-0.39567,-0.02384,-0.71891,-0.22842
0.25353,0.14543,-0.9511,-0.17101,-0.04908,-1.2769,0.15763
0.51696,0.19131,-0.8717,-0.13978,-0.035786,-0.96176,0.14697
0.1775,0.199,-0.49221,-0.12971,-0.079156,-0.54651,-0.20899
-0.13968,0.12677,0.013188,0.052155,0.085691,-0.27161,0.79296
4.6154,-1.9657,0.31295,1.3861,1.3899,-1.3232,-0.017
1.2133,-1.9029,1.6857,2.5838,-0.2027,-1.3222,-0.0099025
-3.2865,-0.89514,1.9583,1.1563,-1.6712,0.49836,-0.03069
-1.8038,-0.042197,0.66212,-1.191,-0.84907,1.382,-0.0098612
-0.14671,0.15356,-0.9145,-1.468,-0.2314,0.37355,-0.017154
-0.048392,0.065853,-1.6173,-0.83578,-0.12265,1.5256,-0.058161
-0.075977,0.10096,-1.3429,-0.70194,-0.067994,1.2432,-0.060516
-0.026673,0.23406,-0.56704,-0.48925,-0.04609,-1.0965,-0.044001
-0.1201,0.31532,-0.0064157,-0.34776,-0.054979,-0.38353,0.00060594
0.053073,0.34302,0.042546,-0.24751,-0.10157,0.47023,0.0099517
-0.29506,0.40027,-0.056178,-0.046098,0.1156,0.5455,-0.02977
0.66591,0.51813,-0.0066748,-0.067225,0.85868,0.34666,-0.023325
2.1301,0.60133,0.14618,-0.051106,0.5546,-0.67948,-0.02597
0.40812,-3.0716,0.20498,1.2338,1.3779,-0.73598,0.62793
0.1904,-1.6008,1.2033,1.7288,-0.29102,-0.60875,-0.23847
-0.22376,-0.26903,1.8938,0.98317,-1.6204,-0.13568,-0.88534
-0.62194,0.037789,1.2753,-0.41519,-0.67174,0.10684,0.74523
-0.76746,0.096575,-0.36749,-1.2794,-0.25882,-0.080039,1.7059
-0.55107,0.19319,-1.509,-1.2279,-0.32823,0.39011,1.2166
-0.22671,0.15913,-1.3447,-0.80361,-0.15441,1.9293,0.31179
-0.069585,0.17501,-0.61383,-0.52919,-0.03166,2.1812,-1.8856
-0.057549,0.21008,-0.24538,-0.42243,-0.03571,0.28443,-2.1247
-0.01948,0.24674,-0.25082,-0.2983,-0.11278,-1.1285,-0.049785
0.13437,0.79964,-0.23629,-0.10646,0.071064,-1.1906,0.091096
0.27831,1.8029,-0.10003,0.096222,0.7183,-0.93646,0.10176
0.21858,2.0896,0.09873,0.26677,0.52905,-0.45175,0.5855
1.3132,-0.058007,-0.19007,0.20933,2.5717,-0.90284,0.51638
-0.40446,-0.96664,0.30646,1.8125,0.097999,-1.507,-0.29539
-0.10946,-0.65036,2.0384,2.2247,-2.8307,-1.462,-0.80424
3.3737,0.042308,2.5787,0.49682,-0.21553,-0.62525,2.5226
-2.1413,0.091007,0.043798,-1.6625,-0.086182,0.85055,2.7794
-3.2929,0.032331,-2.4528,-1.7283,-0.13455,2.0103,-1.7932
0.18696,0.23186,-1.6407,-0.86362,-0.13162,1.7149,-1.8128
-0.35244,0.40793,0.02144,-0.53338,-0.1041,0.25569,-0.3566
0.0022394,0.64971,-0.27358,-0.20791,-0.046974,-0.96966,-0.48611
-0.074877,1.7611,-0.43091,-0.094717,0.018584,-1.3807,-0.3086
-0.10911,1.763,0.0703,0.88522,-0.14202,-1.422,-0.24959
0.16697,-0.42134,0.4458,2.1068,1.7102,-1.2805,0.14579
0.61562,-1.461,0.82361,1.1188,0.78887,-0.70622,0.042277
