"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.057128,-1.4896,-0.4769,2.6065,2.7094,-0.91512,0.59851
-0.057128,-0.7145,2.761,1.9038,0.10321,-0.14956,0.98065
-0.057128,-0.050699,1.49,0.29799,-2.7979,1.3183,2.4342
-0.057128,-0.017497,2.8157,-1.8836,-0.34683,3.3026,-0.54938
-0.057128,0.15016,-0.1826,-1.8072,-0.27821,0.83066,-2.7581
-0.057128,-0.0039032,-1.2579,-0.79878,0.22279,0.99035,-0.61522
-0.057128,0.12248,-1.0431,-1.1354,-0.020639,-0.47293,-0.32684
-0.057128,-0.012967,-3.6931,-0.61277,-0.27712,-1.7941,-0.0493
-0.057128,0.30271,-0.60532,-0.28817,-0.10844,-0.81883,-0.0058383
-0.057128,0.48684,-0.80121,-0.19802,0.036257,-1.118,-0.070052
-0.057128,1.3521,-0.075945,-0.25718,-0.28569,-0.78882,0.20369
-0.057128,2.143,-0.16538,0.4442,0.66681,-1.2352,0.14746
-0.057128,0.16923,0.53742,1.3253,0.76149,0.96371,-0.25861
2.1468,0.10101,-0.15907,-0.75218,3.2046,0.42679,1.1194
0.81115,0.10101,0.022986,1.7924,-0.12755,1.1099,0.48437
-1.1506,0.10101,0.98558,1.4137,-3.491,0.24165,-1.3256
0.37196,0.10101,2.7012,-0.25425,-0.020742,-0.68886,-0.25462
-0.69381,0.10101,0.50103,-0.75702,-0.21367,-0.80464,0.034427
0.75681,0.10101,-0.2617,-0.93376,0.028789,0.027474,0.28768
-1.2896,0.10101,-0.91395,-0.49766,0.032296,0.094829,0.30133
-1.4897,0.10101,-1.7458,-0.53958,-0.12444,-0.25231,-0.25757
0.1263,0.10101,-0.72045,0.016087,-0.18689,-0.046926,-0.49152
-0.24079,0.10101,-0.48,-0.2187,0.037226,0.47913,-0.073466
-0.063558,0.10101,0.21061,-0.15382,-0.36976,-0.6569,-0.063247
0.19105,0.10101,-0.15879,-0.16734,0.9023,-1.35,0.079266
0.65718,0.10101,0.18666,-0.058229,0.74312,0.60745,0.26735
5.5772,0.66356,-0.06828,-0.37945,2.1328,-0.010931,4.5629
2.8352,-0.14573,-0.0070619,0.74226,0.25529,-0.010931,-0.177
-1.0539,-0.51608,0.08089,0.67478,-2.2315,-0.010931,-2.0829
0.88058,0.039268,0.6584,0.27715,-0.54632,-0.010931,3.6533
-0.027251,0.10812,0.43934,-0.13667,-0.12908,-0.010931,0.067826
1.2978,0.29589,0.27273,-0.98086,-0.11018,-0.010931,0.64056
-4.7464,0.10808,-0.50546,-0.47554,-0.073714,-0.010931,-4.4248
-4.138,-0.027737,-0.66856,-0.14072,-0.016309,-0.010931,-3.8736
0.18648,0.0077369,-0.19306,-0.18706,-0.26602,-0.010931,0.80656
-0.39091,0.19025,-0.21243,-0.18614,0.19952,-0.010931,-0.09168
0.085851,-0.057391,0.093508,-0.1234,-0.54186,-0.010931,0.42709
0.11845,0.4054,-0.09251,-0.043499,1.165,-0.010931,0.53948
1.7157,0.52997,0.12033,-0.041174,1.4206,-0.010931,1.095
1.2568,2.4861,-0.083616,-0.061367,-0.063287,1.505,0.71553
-0.080578,0.73504,0.13205,-0.061367,-0.063287,0.026356,-1.6291
-1.2143,-0.36598,0.40127,-0.061367,-0.063287,-0.83766,-0.94742
-0.15068,-0.13928,0.0098027,-0.061367,-0.063287,-0.67758,0.2043
-0.29374,-0.98977,0.016693,-0.061367,-0.063287,-0.59281,-0.23197
0.58011,-0.6851,0.22457,-0.061367,-0.063287,-0.29899,0.31853
-0.34929,-0.39846,-0.13231,-0.061367,-0.063287,0.15788,0.20824
-0.71815,0.071701,-0.18779,-0.061367,-0.063287,0.11598,-0.024006
0.035036,-0.10017,-0.11958,-0.061367,-0.063287,0.37515,0.75848
-0.066487,0.14747,-0.13239,-0.061367,-0.063287,1.0697,0.80778
-0.14371,-0.18099,-0.0072241,-0.061367,-0.063287,1.3002,-1.1614
0.25676,0.40757,-0.066242,-0.061367,-0.063287,1.4697,-0.37429
0.4155,0.88937,-0.14418,-0.061367,-0.063287,-0.75021,0.44943
-0.057128,1.1813,-0.50596,-1.3974,-0.096258,-1.0115,-0.14886
-0.057128,2.5803,0.15078,1.9227,0.085744,-0.88544,-0.017454
-0.057128,-0.65469,0.29746,1.917,-0.047636,-0.58209,-0.11923
-0.057128,-1.7447,0.73993,1.5531,-0.0069706,-0.22541,0.12895
-0.057128,-0.58253,1.7689,0.098222,0.331,-0.36677,-0.24935
-0.057128,-0.70872,-0.077329,0.14986,-0.22266,0.29183,0.46096
-0.057128,-0.077673,-0.20832,-0.113,-0.16993,-0.18944,-0.046578
-0.057128,-0.31385,-0.1321,-1.1008,-0.02521,-0.12364,1.0524
-0.057128,-0.084577,0.06545,-0.8754,-0.32804,0.7035,0.72353
-0.057128,-0.091493,-0.05008,-1.9731,-0.075825,0.81997,0.085058
-0.057128,0.0076144,-1.2144,-0.49659,-0.11471,2.4515,-0.19967
-0.057128,-0.013447,-0.64988,-0.70403,-0.13218,1.2626,-1.4081
-0.057128,0.26853,-0.37988,0.22332,-0.016991,-0.89075,0.0068748
0.90701,-1.0816,-0.24438,0.59896,2.1739,0.057809,0.22833
1.285,-1.1628,0.41351,1.441,-0.15463,-0.27956,0.011302
-0.70689,0.099339,-0.036845,0.032615,-2.3591,-0.27183,-1.0276
0.37479,-0.05124,0.89581,0.30375,-0.050917,-0.40842,2.0593
1.4304,0.10854,0.79573,-0.97848,-0.23545,1.4867,0.85088
-0.64213,-0.1566,-0.10087,-0.84371,-0.037483,2.2211,-1.1872
-2.0689,0.4332,-0.70118,-0.32306,-0.10581,1.3448,-0.35828
-1.1103,-0.26151,-0.90881,-0.7711,-0.071128,-0.30816,-1.1254
-0.035717,1.7083,-0.1086,-0.010724,-0.11246,-1.7288,-0.052135
-0.14783,2.4691,-0.22659,-0.00037498,0.10896,-0.50652,-0.048646
-0.062651,0.26654,0.05192,0.75153,-0.3495,-1.274,-0.16076
0.034553,-0.35363,0.21965,2.1822,0.94303,-1.3727,-0.027394
0.55868,-1.5012,0.31131,1.1514,0.65345,0.24038,0.33602
0.056623,-4.8852,0.80554,1.5355,2.0182,-0.96723,0.12889
0.58526,-2.2852,0.60578,2.9853,-0.70707,-0.47516,0.13179
0.35784,-0.91654,2.7296,0.8261,-1.9366,-0.05226,-0.11089
1.1688,-0.40602,2.0471,-0.94195,0.31267,-0.13825,1.3078
1.215,-0.066415,0.0062444,-1.083,-0.39888,1.1344,1.6701
-0.66072,0.065493,1.289,-1.8277,-0.15313,3.3278,-1.1057
-1.183,0.05016,-1.045,-0.78533,-0.12053,2.511,-1.7279
-0.38168,0.082532,-1.4654,-0.52376,-0.044913,1.6441,-0.60927
-0.27249,0.1068,-1.9735,-0.59165,-0.067828,-0.56399,-0.16529
-0.55625,0.099052,-1.0822,-0.042354,-0.068245,-1.3659,0.029508
0.2466,0.099861,-0.30939,-0.27578,-0.044599,-1.2008,-0.033055
0.57083,0.11788,-1.1703,-0.081903,-0.11318,-2.701,0.20926
-0.40594,0.40138,0.75276,-0.13715,0.091901,-0.46298,0.14901
0.10785,-4.8113,-0.57323,2.7286,3.0853,-0.71219,0.64298
0.24907,-2.941,3.4103,3.1564,-0.59911,-0.79963,-0.029962
-0.43507,-0.77705,2.2347,-0.71549,-2.9842,0.1537,-0.59512
-0.47286,-0.096373,-1.1225,0.33546,0.38057,-0.22431,0.46055
-0.023145,-0.085154,-0.37163,-0.97549,-0.59603,0.21663,0.40453
