"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.044215,1.3114,2.7313,0.1398,1.2399,1.7015,0.53093,0.12801
0.084442,0.65816,0.50055,0.72695,1.7029,3.1947,0.49539,0.65607
0.0061808,0.30429,0.071532,2.0411,2.275,1.1415,0.49539,0.9601
0.022987,0.14097,0,2.6282,2.0843,0.34824,1.1708,1.2161
0.027751,0.16819,0,2.7121,1.6212,0.11492,1.5973,0.76808
0.032243,0.11375,0,2.8519,0.96745,0.068253,2.1305,0.41604
0,0.086532,0.10909,2.4884,0.55884,0.16158,2.3793,0.17602
0.0055973,0.11375,0.0012825,1.4259,0.25919,0.20825,2.1305,0.032003
0.022559,0.11375,6.2555e-07,0.55919,0.15023,0.068253,1.6684,0.016002
0.00083986,0.19541,4.8615e-10,0.19572,0.095745,0.068253,1.2774,0.12801
0.031964,0.73982,7.4832e-07,0.055919,0.068505,0.068253,0.74421,0.032003
0.041116,2.3458,0.0023378,0,0.12299,0.068253,0.67312,0.11201
0.048159,3.3802,3.0043,0.02796,0.42263,2.2615,0.45984,0.17602
0.20251,0.092833,3.0079,0,0.041264,1.7948,1.4907,0.24002
1.2376,0.076856,0.85808,0,0.42263,3.8947,1.2063,0.38404
1.2169,0.12475,0.071532,0.083879,1.0219,1.0949,1.0997,0.38404
1.4446,0.069503,0,0.39144,1.0219,0.16158,0.74421,0.52805
1.6723,0.12107,0,0.97859,0.804,0.068253,1.4196,0.67207
1.7552,0.077797,0,1.0066,0.42263,0.068253,1.8106,0.59206
1.3204,0.070444,0.10909,1.0066,0.28643,0.11492,2.4149,0.59206
0.28532,0.10022,0.0011346,0.36348,0.17747,0.068253,2.2016,0.30403
0.057598,0,5.7616e-07,0.1398,0.12299,0.068253,1.9172,0.14401
0.016194,0.065008,4.3753e-10,0.083879,0.095745,0.068253,1.4907,0.22402
0.016194,0.12962,7.324e-07,0.055919,0.095745,0.068253,1.0997,0.33603
0.016194,0.097615,0.0023617,0,0.095745,0.068253,1.3485,0.40004
0.24392,0.10198,3.1832,0,0.095745,1.7015,1.2774,0.33603
0.86497,0.82148,2.9387,0,0.15023,1.7015,0.053848,2.5443
3.9703,0.49484,1.4301,0,0.42263,5.0613,0.05308,3.2483
4.2808,0.14097,0.2146,0.11184,1.1037,1.7948,0.08436,3.6004
4.1152,0.14097,0.071532,0.67103,1.3216,0.62822,0.062972,4.1764
5.0468,0.086532,0,1.4259,0.96745,0.30157,0.059352,5.3285
5.0675,0.086532,0,1.7335,0.6678,0.068253,0,5.3285
4.612,0.086532,0.072725,1.7335,0.42263,0.11492,0.067151,5.1365
0.65795,0.086532,0.0011839,1.0345,0.23195,0.068253,0.14718,2.3202
0.1197,0.086532,6.7493e-07,0.30756,0.20471,0.068253,0.087616,1.8402
0.016194,0.086532,4.5914e-10,0.083879,0.15023,0.068253,0.093809,2.0322
0.016194,0.086532,7.324e-07,0.02796,0.068505,0.068253,0.020613,2.1442
0.016194,0.086532,0.002314,0.02796,0.041264,0.068253,0.079812,2.1602
0.94778,0.52206,3.0759,0.02796,0.041264,1.6548,0.042617,2.2562
0.43023,0.4404,2.835,0.22368,0.064487,0.10685,1.5262,1.2001
1.6102,2.0464,1.0726,0.1398,0.023063,0.019881,2.4149,0.76808
0.72006,1.6653,0.35766,0.19572,0.045447,0.099114,1.7395,0.12801
0.49234,1.3114,0,0.25164,0.030051,0.062451,1.2418,0
0.32672,2.1825,0,0.2796,0.018267,0.084727,0.8153,0.09601
0.22321,1.4203,0,0.47532,0.01549,0.017492,0.56648,0.064007
0.45094,0.9848,0.18181,0.30756,0.041602,0.082824,0.38875,0.19202
0.1197,0.63094,0.0009619,0.39144,0.053547,0.044213,0.45984,0.09601
0.057598,0.41318,5.3501e-07,0.30756,0,0.080892,0.45984,0.30403
0.036896,0.30429,4.5374e-10,0.33552,0.020999,0.031874,0.70866,0.70407
0.016194,0.19541,7.5628e-07,0.083879,0.058382,0,0.77975,1.1361
0.016194,0.14097,0.0023378,0.02796,0.022484,0.056248,1.4551,1.0881
0.32672,0.5765,3.0401,0.02796,0.054425,0.0312,2.2727,0.51205
0.016194,3.1624,0,0.02796,0.44987,0.11492,0.95748,0.080008
0.016194,3.2985,0,0.1398,1.2126,0.16158,0.63757,0.016002
0.016194,3.0263,0,0.47532,2.3022,0.30157,0.38875,0
