"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0,2.0306,1.967,2.7313,0.11027,0.7847,0.18809,0.87846,1.793,0.2195
0.14249,1.8339,2.248,0.50055,0.38596,1.6808,2.5343,0.72761,1.3112,0.34144
0.021857,1.2833,2.529,0.071532,1.0476,2.6049,2.4663,0.87846,0.94993,0.54875
0.0076896,0.9293,1.967,0,1.4336,2.6329,1.7183,1.1802,0.58863,0.76825
0.092388,0.61464,1.405,0,2.1779,2.4929,1.0722,1.683,0.8295,0.878
0.039135,0.49664,0.74933,0,2.8671,2.1849,0.66414,2.035,1.1908,0.71947
0.020357,0.41798,0.65566,0.10909,2.9774,1.5408,0.22209,3.1916,1.4317,0.63411
0.083043,0.22132,0.37466,0.0012825,2.5638,0.42066,0.12008,3.6945,1.793,0.37803
0.020269,0.22132,0.37466,6.2555e-07,1.7092,0.14063,0.052074,3.5436,2.8769,0.2073
0.062874,0.26065,0.281,4.8615e-10,0.85462,0.084622,0.052074,2.4876,3.2382,0.12194
0.070416,0.26065,0.18733,7.4832e-07,0.55137,0.11263,0.052074,2.1859,3.8404,0.097555
0.050918,1.126,0.093666,0.0023378,0.19298,0.084622,0.052074,1.6327,3.72,0.085361
0.06623,2.4239,0.562,3.0043,0.082705,0.14063,0.46012,1.1299,3.4791,0.13414
0.23382,0.017947,0,3.0079,0.027568,0.084622,0.2561,3.1413,3.9608,0.15853
0.29093,0.043577,0,0.85808,0.027568,0.084622,2.9084,2.8899,4.0813,0.35364
0.17671,0.045562,0,0.071532,0.027568,0.44866,2.5684,2.1859,2.5156,0.30486
0.29093,0.028163,0,0,0.24811,0.98073,1.8203,1.683,2.1543,0.4268
0.29093,0.06297,0,0,0.5238,1.2608,0.93617,1.7836,2.2747,0.63411
0.1196,0.051569,0,0,0.71678,1.0647,0.39211,1.8842,1.3112,0.67069
0.17671,0.012547,0,0.10909,0.79948,0.42066,0.2561,2.0853,2.0339,0.62191
1.9471,0,0,0.0011346,0.57893,0.19664,0.052074,1.7836,1.9134,0.47558
1.7758,0.0228,0,5.7616e-07,0.46866,0.11263,0.052074,2.0853,2.2747,0.35364
1.4902,0.012983,0,4.3753e-10,0.30325,0.084622,0.052074,1.683,2.7565,0.28047
0.91914,0.036036,0,7.324e-07,0.22055,0.084622,0.052074,1.2807,2.0339,0.29267
0.40515,0.010895,0,0.0023617,0.11027,0.11263,0.052074,1.6327,2.1543,0.28047
0.062487,0.055902,0,3.1832,0.055137,0.084622,0.2561,1.9847,2.5156,0.23169
0.74781,0.18198,0,2.9387,0,0.16863,0.12008,0.097727,0.48138,2.3901
0.80492,0.77197,0.18733,1.4301,0,0.19664,3.1804,0,0.3422,2.8901
1.0905,0.57531,0,0.2146,0,0.56068,3.6225,0.13459,0.31144,3.3535
1.4902,0.41798,0.093666,0.071532,0.19298,1.2328,2.4323,0.011866,0,3.8534
2.0042,0.22132,0.093666,0,0.57893,1.4568,1.2422,0.045043,0.46767,4.2924
2.5182,0.14265,0.093666,0,0.96489,1.5408,0.93617,0.1451,0.15962,4.89
3.6604,0.14265,0,0.072725,1.4336,1.2608,0.46012,0.10471,0.30951,5.6216
6.8015,0.10332,0,0.0011839,1.2681,0.28065,0.052074,0.01537,0.45979,4.7192
5.6022,0.10332,0,6.7493e-07,0.90975,0.11263,0.052074,0.1543,0.39138,3.3657
4.5742,0.063987,0,4.5914e-10,0.63407,0.11263,0.052074,0.026647,0.3802,3.0364
3.2607,0.063987,0,7.324e-07,0.38596,0.084622,0.052074,0.10257,0.27788,2.7437
2.1756,0.063987,0,0.002314,0.13784,0.084622,0.052074,0.10168,0.25807,2.6218
0.46226,0.063987,0,3.0759,0.055137,0.084622,0.3241,0.19329,0.32222,2.4633
0.062487,0.53597,1.686,2.835,0.16541,0.09422,0.031764,0.92875,0.58863,0.76825
0.1196,1.7553,1.686,1.0726,0.30325,0.07152,0.041615,2.1859,1.1908,1.1829
0.1196,2.3059,2.6227,0.35766,0.30325,0.10914,0.038602,2.739,1.4317,0.68289
0.062487,2.3453,2.9973,0,0.22055,0.090586,0.067268,2.2362,1.793,0.41461
0.062487,2.8566,3.5593,0,0.30325,0.071829,0.041434,1.9847,1.6726,0.29267
0.1196,2.8566,3.7466,0,0.38596,0.088998,0.022774,1.5825,1.5521,0.18292
0.1196,2.1879,3.372,0.18181,0.55137,0.092748,0.045587,1.331,0.94993,0.13414
0.6907,1.4799,2.9037,0.0009619,0.49623,0.10526,0.026532,0.82818,1.0704,0.13414
0.63359,1.362,2.1543,5.3501e-07,0.27568,0.084964,0.043008,0.67732,0.70906,0.15853
0.51937,0.9293,1.5923,4.5374e-10,0.22055,0,0,0.52647,0.70906,0.25608
0.29093,0.61464,0.93666,7.5628e-07,0.19298,0.10647,0.057204,0.52647,0.70906,0.56094
0.1196,0.53597,0.74933,0.0023378,0.19298,0.10692,0.027956,1.1299,0.70906,0.96336
0.1196,0.41798,0.46833,3.0401,0.082705,0.091428,0.11519,1.9345,0.94993,0.85361
0.63359,1.7553,0.74933,0,0.055137,0.16863,0.052074,2.4373,3.3587,0.14633
0.40515,2.7779,1.124,0,0.055137,0.33665,0.12008,1.4316,3.1178,0.060972
0.23382,3.6039,1.4987,0,0.055137,1.0087,0.052074,1.0293,3.1178,0.024389
0.1196,3.6826,1.967,0,0.68921,1.4568,0.15409,0.92875,2.1543,0
0.1196,2.4239,2.4353,0,1.1027,0.89672,0.12008,0.57675,1.6726,0.036583
0.1196,1.7946,3.4656,0,0.88218,1.4848,0.15409,0.32532,1.1908,0.2195
0.1196,1.244,2.529,0,1.2406,1.1207,0.12008,0.57675,1.0704,0.25608
0.1196,0.77197,2.0607,0,1.213,0.89672,0.15409,0.62704,0.8295,0.49997
0.1196,0.6933,1.3113,0,0.74434,0.61668,0.052074,0.97904,0.94993,0.84141
0.1196,0.49664,0.93666,0,0.6065,0.36465,0.052074,1.8339,1.3112,0.62191
0.1196,0.49664,0.65566,0,0.41352,0.36465,0.052074,2.1859,1.6726,0.54875
0.062487,0.37865,0.46833,0,0.19298,0.16863,0.052074,2.1356,1.793,0.39022
0.062487,0.53597,0.37466,0,0.11027,0.11263,0.052074,1.5825,2.5156,0.19511
0.23382,2.6599,1.0303,2.9387,0.19298,0.16863,0.22209,2.739,5.0448,0.036583
0.1196,3.9185,1.4987,0.85808,0.13784,0.7847,2.2963,2.387,4.2017,0.17072
0.062487,2.9352,2.4353,0.2146,0.68921,1.9888,3.0104,1.9847,2.5156,0.12194
0.062487,1.7159,2.7163,0,1.3784,3.137,2.0243,1.4316,1.793,0.10975
0.1196,1.0473,1.967,0,2.3433,3.221,1.0722,1.2807,1.4317,0.14633
0.062487,0.53597,1.405,0,2.812,3.053,0.76615,1.1299,1.1908,0.439
0.40515,0.33931,0.93666,0.25454,3.2255,2.1009,0.39211,1.2305,1.1908,0.96336
2.4611,0.26065,0.65566,0.0010852,2.6466,0.7287,0.15409,1.4316,1.4317,0.99994
1.6045,0.22132,0.18733,5.6793e-07,1.8471,0.36465,0.052074,2.6385,1.793,0.68289
1.2618,0.18198,0.093666,4.5914e-10,1.1303,0.16863,0.052074,3.5939,2.0339,0.48778
0.91914,0.29998,0.093666,7.0852e-07,0.77191,0.11263,0.052074,4.0967,2.3952,0.24389
0.86203,0.26065,0.18733,0.0021947,0.41352,0.11263,0.052074,3.6442,2.9974,0.17072
0.17671,0.57531,0.18733,3.0759,0.13784,0.084622,0.2901,2.4876,2.9974,0.097555
0.23382,2.1879,0.843,2.8696,0.027568,0.19664,0.2901,1.6327,2.8769,0.14633
0.17671,2.3846,1.686,0.85838,0.082705,0.89672,3.0104,1.3813,2.8769,0.2195
0.1196,1.9126,1.4987,0,0.55137,1.6528,3.0104,0.82818,2.1543,0.2195
0.17671,1.0866,1.5923,0,1.1303,2.6049,1.9563,0.52647,1.1908,0.63411
0.23382,0.65397,1.3113,0,1.213,3.221,1.0042,1.3813,1.0704,1.256
0.57648,0.49664,0.843,0,1.6265,2.8289,0.59613,2.4876,1.1908,1.1463
0.1196,0.33931,0.74933,0,2.812,2.2969,0.35811,3.5436,1.4317,1.0121
0.062487,0.22132,0.562,0,3.1979,1.8488,0.18809,3.6442,2.0339,0.68289
0.17671,0.22132,0.37466,0,2.619,1.2048,0.15409,2.8396,1.793,0.30486
0.17671,0.18198,0.37466,0,2.4811,0.61668,0.12008,2.2362,2.2747,0.29267
0.1196,0.18198,0.37466,0,1.6541,0.56068,0.12008,2.1356,2.7565,0.4268
0.29093,0.26065,0.18733,0,1.2406,0.36465,0.086078,1.8339,2.5156,0.36583
0.1196,0.49664,0.093666,0,0.79948,0.22464,0.052074,1.9345,2.2747,0.37803
0.17671,1.0866,0.843,3.1116,0,0.11263,0.22209,1.4819,2.0339,0.12194
0.23382,1.8339,1.5923,0.85781,0,0.19664,3.0104,1.5825,1.3112,0.18292
0.40515,1.244,2.0607,0.33084,0.13784,1.0087,2.4323,1.0293,0.8295,0.25608
1.2047,1.0866,1.686,0.00098353,0.46866,0.92472,0.22209,0.82818,0.94993,0.29267
0.97625,0.85063,1.124,5.3021e-07,0.66164,0.7287,0.18809,0.72761,0.94993,0.34144
0.51937,0.49664,0.93666,2.1338e-10,0.66164,0.58868,0.12008,0.67732,0.94993,0.79264
0.57648,0.41798,0.37466,8.6597e-14,0.5238,0.33665,0.12008,1.2807,0.70906,1.0609
0.23382,0.33931,0.281,0,0.41352,0.36465,0.052074,2.035,1.1908,0.84141
0.23382,0.26065,0.18733,8.8374e-14,0.30325,0.28065,0.052074,2.5882,1.9134,0.51216
0.17671,0.29998,0,2.6558e-10,0.13784,0.11263,0.052074,2.8899,1.9134,0.32925
0.17671,0.57531,0,7.9609e-07,0.055137,0.14063,0.052074,2.6887,2.5156,0.2073
0.1196,1.126,0.18733,0.0023855,0.055137,0.14063,0.052074,2.4876,2.636,0.14633
0.062487,1.7159,0.562,3.1474,0.027568,0.22464,0.18809,2.035,2.5156,0.15853
0.1196,2.0306,0.93666,2.8004,0.30325,0.14063,0.12008,2.035,3.5995,0.31705
0.23382,2.3846,1.3113,1.0726,0.24811,0.36465,2.5003,1.4819,2.9974,0.31705
0.1196,1.5586,2.3417,0.28604,0.35839,1.2888,2.6704,0.97904,2.0339,0.30486
0.34804,0.85063,2.529,0.073321,0.57893,1.8488,1.6843,0.97904,1.4317,0.31705
1.9471,0.61464,1.7797,0.00097808,1.213,0.95272,0.15409,0.42589,1.0704,0.49997
2.2327,0.45731,1.124,5.2727e-07,1.2406,1.0087,0.086078,0.77789,1.0704,0.68289
1.6616,0.37865,0.74933,2.2057e-10,1.1027,0.47667,0.052074,0.92875,0.94993,0.91458
1.2618,0.22132,0.65566,7.8604e-14,0.55137,0.25264,0.052074,1.8842,1.3112,0.93897
0.97625,0.22132,0.37466,7.9936e-14,0.38596,0.33665,0.052074,3.091,1.9134,0.6463
0.80492,0.53597,0.281,2.4964e-10,0.16541,0.16863,0.052074,3.3425,2.3952,0.32925
0.6907,1.126,0.281,7.5628e-07,0.11027,0.11263,0.052074,3.2419,3.1178,0.2195
0.40515,2.1879,1.3113,0.002314,0.027568,0.16863,0.052074,3.0407,2.9974,0.12194
0.062487,3.9185,1.7797,2.9686,0.027568,0.67269,0.2561,2.2865,2.9974,0.060972
0.17671,1.9913,1.124,2.9042,0.082705,0.11263,0.18809,2.0853,3.8404,0.15853
0.062487,3.7612,1.686,1.0011,0.055137,0.84071,3.1804,2.1859,2.636,0.32925
0.1196,2.6599,2.9037,0.2146,0.44109,1.7088,3.6905,1.7836,1.9134,0.25608
0.17671,1.8339,3.091,0.071509,1.4887,3.249,2.6364,1.6327,1.6726,0.15853
0.17671,1.0866,3.091,0.32905,2.619,3.389,1.5142,1.0293,1.5521,0.17072
0.91914,0.77197,2.0607,0.0011472,2.8947,1.6528,0.22209,0.77789,1.4317,0.57314
1.2047,0.37865,1.0303,5.9925e-07,2.3433,0.95272,0.052074,0.82818,0.8295,0.82922
0.6907,0.26065,0.65566,2.3323e-10,2.1503,0.70069,0.052074,1.5825,1.1908,0.85361
0.51937,0.22132,0.37466,1.5543e-13,1.3784,0.19664,0.052074,2.1356,1.1908,0.70728
0.34804,0.18198,0.18733,2.4699e-10,0.93732,0.30865,0.052074,2.387,1.4317,0.47558
0.29093,0.18198,0.18733,7.4832e-07,0.44109,0.22464,0.052074,2.0853,1.9134,0.30486
0.29093,0.18198,0.18733,0.0022901,0.41352,0.14063,0.052074,2.2865,2.636,0.26828
0.23382,0.8113,0.18733,2.897,0.11027,0.14063,0.12008,2.3367,2.7565,0.19511
0.1196,2.4633,0.562,2.835,0.19298,0.11263,0.2561,1.9345,3.1178,0.12194
0.17671,3.6039,1.4987,1.0011,0.19298,1.0367,2.5343,1.5825,1.6726,0.14633
0.062487,2.6206,3.1846,0.14306,0.38596,2.0168,2.8064,1.0796,1.3112,0.19511
0.062487,1.8339,3.091,0,1.6265,3.053,2.6024,0.57675,0.58863,0.23169
0.062487,0.96863,2.529,0,2.0952,3.8091,1.8203,0.37561,0.58863,0.53655
0.86203,0.53597,2.0607,0,3.0601,4.1171,1.1402,0.67732,0.46819,1.3414
0.40515,0.33931,1.405,0,4.2179,3.7811,0.59613,2.035,0.70906,1.6462
0.062487,0.22132,0.74933,0,4.5212,2.997,0.42612,2.8899,1.1908,1.2926
0.23382,0.14265,0.562,0,3.9423,2.1849,0.2901,4.147,1.3112,0.85361
0.29093,0.14265,0.37466,0.18032,3.1428,1.2888,0.12008,3.5939,1.9134,0.56094
1.1476,0.10332,0.18733,0.00092205,2.0952,0.28065,0.086078,3.1916,2.636,0.32925
1.0905,0.14265,0.093666,0.0015989,1.02,0.16863,0.052074,2.739,2.636,0.2195
0.34804,0.33931,0.093666,2.5036,0.6065,0.14063,0.18809,3.0407,2.636,0.18292
