"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.065475,-1.0294,0.075363,0.83133,2.6127,-0.3462,0.1761
0.023909,-0.89181,0.38438,1.2161,-0.4022,-0.3041,0.01955
-0.0010892,-0.58922,1.1569,1.3122,-2.4894,-0.13571,-0.137
-0.017802,-0.36915,1.8522,0.15806,-0.94334,0.28526,-0.0028151
-0.065832,-0.12158,1.1183,-1.0282,-0.24759,0.20107,0.69049
0.015644,0.043475,-0.58129,-0.96405,-0.092982,0.53785,1.1825
0.018008,-0.011542,-1.547,-0.35491,0.061628,1.6324,-0.45011
-0.010497,-0.011542,-1.2766,-0.16254,0.022975,1.3798,-1.2329
-0.0065452,0.015966,-0.54267,-0.32285,-0.092982,-0.13571,-0.40538
-0.001058,0.31856,-0.3109,-0.32285,-0.05433,-1.2723,-0.0028151
-0.034172,0.51112,-0.19502,-0.066363,-0.015677,-1.104,0.086644
-0.035494,0.51112,-0.079144,0.029818,1.5304,-0.85137,0.064279
0.42686,-0.54976,-0.040518,-0.002242,1.1439,0.45365,0.39975
2.0325,-0.844,-0.0018908,0.126,1.6077,1.1272,0.35502
0.61593,-0.0030469,-0.0018908,0.60691,-0.36355,0.20107,-0.22646
-0.47873,0.0035788,0.11399,0.4466,-3.0306,0.32736,-0.36065
0.66805,0.077474,0.34575,-0.1946,-0.82738,-0.0094204,-0.0028151
0.32923,-0.0088902,0.61614,-0.32285,-0.17029,-1.2723,-0.02518
-0.0095893,-0.043471,0.11399,-0.29079,0.061628,-0.89347,0.2432
-1.6255,0.045929,-0.50404,-0.22666,-0.015677,0.24316,0.51157
-1.7037,0.0082829,-0.38816,-0.13048,-0.092982,0.66414,0.91414
-0.29628,-0.030014,-0.23365,-0.034302,-0.015677,1.464,-0.11464
-0.0095893,-0.004295,-0.079144,-0.002242,-0.015677,0.91672,-1.2552
-0.0095893,0.038807,-0.0018908,-0.002242,-0.015677,0.11687,-0.69612
0.32923,0.016867,-0.0018908,-0.034302,1.5304,-1.0198,-0.18173
0.82443,0.32868,-0.0018908,-0.002242,1.0666,-2.9519,3.7768
4.4993,0.43312,-0.0018908,0.41454,1.685,-1.7348,5.9462
3.8217,-0.066559,0.30712,1.4725,0.061628,0.070458,0.60103
1.059,-0.31413,1.0797,1.2481,-2.9533,-0.0069924,-1.6131
0.98081,-0.14908,1.6977,0.029818,-1.1366,-0.13338,1.764
-0.11384,-0.011542,0.88652,-0.86787,-0.28624,0.0090862,2.0771
-0.94786,-0.011542,-0.42678,-0.99611,-0.05433,0.13524,0.37738
-5.0919,-0.011542,-1.3538,-0.38697,-0.05433,-0.046235,-3.2904
-4.6488,-0.011542,-1.4311,-0.29079,-0.015677,-0.11719,-4.0285
-0.68723,0.015966,-0.54267,-0.22666,-0.015677,0.054067,-0.22646
-0.087779,0.015966,-0.11777,-0.13048,-0.015677,-0.068743,0.064279
-0.061716,0.015966,-0.079144,-0.13048,-0.015677,0.01211,-0.47247
1.2414,0.48361,-0.040518,-0.098423,1.2985,0.12215,0.86941
0.48561,0.42859,0.34575,-0.067803,-0.031612,0.34185,-1.3447
0.61593,1.0888,0.423,-0.044974,-1.3054,1.0578,-1.1434
0.66805,1.2814,0.036736,0.030646,0.051457,0.62204,-0.36065
-1.2606,-0.36915,-0.11777,-0.027391,-0.087807,-0.093615,-2.1498
-0.45266,-0.50669,-0.1564,-0.014584,-0.086171,-0.3041,-0.65139
0.17285,-0.094067,-0.1564,0.05406,-0.0024248,-0.3883,-0.0028151
0.0686,-0.094067,-0.11777,-0.026583,-0.011884,-0.17781,0.086644
-0.73936,-0.12158,0.036736,-0.023385,0.076317,-0.093615,0.33266
-0.81755,-0.5342,0.2685,0.036405,-0.026902,-0.051518,0.31029
-0.087779,-0.5342,-0.0018908,-0.026969,-0.10975,0.36946,0.51157
-0.0095893,-0.23161,-0.3109,-0.03792,0.0232,0.66414,0.44448
-0.0095893,-0.17659,-0.1564,0.0032564,0.022002,0.95882,0.53394
0.53774,0.29105,-0.040518,-0.013226,-0.039019,0.91672,0.10901
-0.0095893,1.749,-0.0018908,0.11383,-0.016907,-0.51459,-1.5683
-0.55692,2.2992,0.036736,0.55604,0.11147,-1.3986,-1.0763
-0.0095893,0.42859,0.22987,1.0237,0.21624,-0.89347,0.01955
-0.0095893,-1.1669,0.15262,1.2161,0.061628,-0.4304,0.10901
-0.0095893,-1.2494,0.50026,1.0558,0.10028,-0.17781,0.22083
-0.0095893,-0.8643,0.77064,0.41454,0.022975,-0.051518,0.35502
-0.0095893,-0.61673,0.30712,-0.38697,0.10028,0.20107,0.37738
-0.0095893,-0.39666,-0.3109,-0.67551,-0.092982,0.70624,0.33266
-0.0095893,-0.12158,-0.50404,-0.86787,-0.36355,0.79043,0.28793
-0.0095893,-0.094067,-0.38816,-1.0602,-0.092982,0.49575,-0.42774
-0.0095893,-0.2041,-0.38816,-0.51521,-0.13163,-0.17781,-0.5843
-0.0095893,-0.12158,-0.27228,-0.22666,-0.092982,0.28526,-0.18173
-0.0095893,0.070983,-0.1564,-0.1946,-0.015677,0.79043,-0.092274
0.3553,1.6115,-0.0018908,-0.13048,0.98929,-0.89347,-0.092274
1.1633,0.56613,-0.0018908,0.63897,2.69,-1.104,0.1761
1.0851,-1.4145,0.15262,1.697,-0.4022,-0.051518,0.1761
0.27711,-0.50669,1.7363,0.57485,-2.5281,-0.0094204,0.31029
0.58986,-0.17659,2.084,-0.48315,-0.63412,0.41155,1.2496
0.3553,-0.066559,0.46163,-0.83581,-0.20894,1.0009,0.01955
-0.16597,0.015966,-0.38816,-0.93199,0.10028,0.87463,-0.5843
-1.5994,-0.03905,-1.1993,-0.25873,0.061628,0.70624,-0.047545
-1.9122,-0.03905,-1.4311,-0.29079,-0.13163,0.83253,-0.5172
-0.24416,0.043475,-0.92893,-0.32285,-0.092982,0.074775,-0.67376
-0.0095893,0.043475,-0.46541,-0.098423,-0.015677,-1.3986,-0.56193
-0.0095893,0.18102,-0.11777,-0.034302,-0.015677,-1.3986,0.01955
0.3553,0.26354,-0.0018908,-0.002242,1.5304,-0.64088,0.77995
0.22498,3.6196,0.075363,1.3764,1.5304,-0.72508,0.1761
0.43349,1.1163,1.4273,3.0114,0.75737,-0.68298,-0.45011
0.43349,-3.3125,3.0496,2.9473,-0.63412,-0.4304,-0.069909
0.53774,-1.1394,3.32,1.4405,-2.2189,-0.0094204,0.10901
1.2936,-0.36915,1.8908,-1.0282,-0.78873,0.20107,1.1378
1.1633,-0.17659,0.34575,-1.8938,-0.13163,0.83253,2.3007
0.5638,-0.066559,-0.46541,-1.6694,-0.13163,2.7269,0.42211
-0.94786,0.015966,-0.81305,-1.5411,-0.015677,3.7794,-2.3735
-1.2606,0.043475,-1.1607,-1.0602,-0.05433,1.464,-1.5907
-0.53085,-0.011542,-1.7787,-0.67551,-0.015677,-1.0198,-0.31592
0.14679,-0.011542,-1.8946,-0.32285,-0.015677,-1.9459,0.13137
0.45955,0.043475,-1.856,-0.1946,-0.015677,-1.8196,0.10901
0.12073,0.043475,-1.0834,-0.13048,-0.015677,-0.93556,0.086644
-1.1042,2.1066,-0.61992,0.19012,1.2212,-1.4407,0.13137
0.016474,1.0338,-0.11777,1.5046,3.2311,-1.3565,0.31029
0.69412,-1.6345,0.92515,2.5305,-0.28624,-0.47249,0.28793
-1.3909,-0.75427,1.1569,1.2161,-2.76,0.15897,-0.27119
-1.1564,-0.23161,0.30712,-0.93199,-0.86603,0.53785,0.26556
-0.24416,-0.094067,-0.50404,-1.5091,-0.44086,0.32736,0.22083
-0.0095893,-0.066559,-0.85168,-1.0602,-0.13163,0.62204,-0.42774
-0.0095893,0.015966,-0.89031,-0.77169,-0.05433,0.45365,-0.2041
-0.0095893,0.098491,-0.34953,-0.54727,-0.015677,-0.3041,-0.27119
-0.0095893,0.015966,-0.040518,-0.38697,-0.05433,-0.13571,0.31029
-0.0095893,0.26354,-0.040518,-0.22666,0.022975,0.15897,0.51157
-0.0095893,0.20852,-0.0018908,-0.066363,0.022975,0.24316,-0.29356
0.53774,0.20852,-0.0018908,-0.034302,1.4531,0.11687,0.13137
0.19892,4.1422,0.11399,1.184,1.2212,-0.3883,-0.33829
0.0686,0.89623,0.80927,2.4343,1.6077,-0.93556,-0.40538
-0.035653,-4.0828,1.5818,2.9794,-0.4022,-0.85137,-0.11464
-0.061716,-1.387,2.7406,1.6328,-2.5667,-0.21991,-0.36065
-0.11384,-0.36915,1.8908,-0.70757,-0.47951,0.074775,0.44448
-0.55692,-0.12158,-0.65855,-1.8297,-0.47951,0.20107,0.98123
-0.087779,0.015966,-2.0105,-2.0541,-0.44086,0.87463,0.71286
-0.035653,0.015966,-2.0491,-1.3808,-0.13163,2.8111,0.13137
-0.0095893,0.043475,-0.96756,-0.93199,-0.015677,3.3163,-1.0092
-0.0095893,0.098491,-0.50404,-0.70757,-0.015677,0.41155,-1.1658
-0.0095893,0.40108,-0.50404,-0.45109,-0.015677,-1.3986,-0.137
-0.0095893,1.639,-0.27228,-0.098423,-0.015677,-1.6933,0.01955
0.22498,3.4545,-0.1564,0.19012,1.1439,-1.567,0.13137
0.51167,0.20852,-0.11777,-0.066363,0.75737,0.032677,0.10901
0.58986,-2.4873,-0.0018908,0.35042,1.8783,-0.051518,0.041914
-0.0095893,-1.4145,0.50026,1.9214,0.10028,-1.2302,-0.137
0.40742,-1.1394,1.8136,2.1779,-2.876,-1.0619,-0.047545
1.1893,-0.34164,2.0067,0.54278,-0.71142,-0.3462,1.1601
-0.86968,-0.14908,0.036736,-1.477,-0.092982,0.49575,1.1154
-1.6776,-0.094067,-1.856,-1.7976,-0.13163,1.6745,-0.53957
-0.37447,0.070983,-1.5083,-1.0602,-0.13163,1.4219,-0.8974
-0.061716,0.42859,-0.3109,-0.61139,-0.092982,0.074775,-0.36065
-0.035653,0.97876,-0.27228,-0.22666,-0.015677,-0.59879,-0.22646
-0.0095893,2.1616,-0.3109,0.093939,0.022975,-1.104,-0.18173
-0.0095893,1.914,0.036736,1.1199,0.21624,-1.1461,-0.092274
0.17285,-0.61673,0.423,2.0496,1.9169,-1.0198,0.041914
0.38136,-0.17659,-0.11777,-1.0282,1.1826,0.36946,0.19847
0.69412,-0.78178,-0.38816,-1.0602,-0.092982,0.41155,0.19847
0.66805,-2.4323,1.2728,2.6267,-0.78873,-0.72508,-0.047545
0.64199,-1.0018,2.702,1.2161,-1.7164,-0.17781,0.064279
0.69412,-0.23161,2.084,-0.96405,-0.59547,0.41155,1.026
1.0851,-0.094067,0.8479,-1.445,-0.20894,0.95882,0.69049
0.61593,-0.03905,0.036736,-1.0923,-0.092982,1.464,-0.092274
-0.63511,0.015966,-0.81305,-0.54727,-0.015677,1.8429,-0.71849
-0.66117,0.015966,-1.7015,-0.57933,-0.015677,1.2535,-1.054
-0.76542,0.015966,-1.8173,-0.41903,0.10028,-0.68298,-0.2041
-1.5213,0.015966,-1.3152,-0.16254,0.061628,-1.4828,0.086644
-1.2606,0.015966,-0.89031,-0.002242,-0.13163,-0.97766,0.42211
0.17285,0.34607,-0.27228,-0.034302,1.1439,-0.3462,0.26556
0.82443,0.67617,-0.0018908,-0.066363,2.4581,0.15897,-0.18173
