"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.033927,-1.7657,-0.003447,2.0974,4.452,-0.37904,-0.001274
-0.00036608,-1.6084,1.0481,2.7155,0.078743,-0.1505,0.272
0.0096572,-0.90048,2.494,1.7147,-2.8482,0.2685,1.0007
-0.016092,-0.21875,2.2968,-0.4047,-1.2298,1.1446,1.7978
-0.043725,-0.035205,1.2453,-1.3467,-0.57552,2.4778,-0.18346
-0.046611,0.017236,0.128,-1.4055,-0.058997,2.3635,-2.1192
-0.0026225,0.043456,-1.9423,-0.87568,0.009873,0.30659,-1.0716
0.04329,0.043456,-2.4352,-0.7285,0.009873,-1.3694,-0.20623
0.05924,0.12212,-1.2522,-0.52244,-0.024562,-1.6741,-0.069593
-0.0077941,0.51542,-0.7264,-0.34582,-0.058997,-1.1028,-0.04682
-0.0082256,0.7514,-0.52923,-0.25752,-0.024562,-0.5695,0.20368
-0.035427,1.5642,-0.33206,0.15459,0.87075,-0.60759,0.31755
0.16877,-0.86377,-0.036308,-0.080898,0.83632,0.30659,0.067045
1.8388,-2.0311,-0.003447,0.18403,1.7661,0.42086,0.29478
1.2967,0.095158,0.22658,1.3615,0.044308,-0.18859,0.089818
-0.55392,-0.016305,0.98239,1.0671,-2.6072,-0.074317,0.089818
-0.28954,-0.090491,1.6068,0.30177,-0.98875,-0.11241,-0.04682
0.26324,0.010522,1.1796,-0.28695,-0.12787,0.0018646,0.24923
0.57568,-0.013242,0.65378,-1.2878,0.18205,0.23041,1.2512
-1.2749,0.016468,-0.95643,-1.1406,-0.024562,1.4493,-0.52505
-1.7556,0.12656,-1.778,-0.28695,-0.23117,1.1827,-1.1399
-0.24148,0.076048,-0.92357,-0.13977,-0.024562,-0.18859,-0.25178
-0.025169,-0.031965,-0.59495,-0.13977,-0.024562,-0.11241,-0.29732
-0.0011355,-0.064291,-0.23348,-0.080898,-0.024562,-0.53141,-0.18346
0.35937,0.042979,-0.13489,-0.051462,1.1807,-1.2932,0.089818
0.98426,0.2939,-0.06917,-0.051462,1.1462,-1.9031,3.5058
4.5172,0.21714,-0.003447,0.30177,1.2151,-1.1119,6.1702
3.8203,-0.19253,0.095137,1.0082,-0.50665,0.065998,1.98
0.55165,-0.19253,0.42375,0.80219,-2.194,0.081739,-0.3201
0.40744,-0.0089846,1.1138,-0.25752,-0.60996,-0.026403,1.274
-0.097271,0.017236,1.311,-0.78737,-0.26561,-0.026304,0.54528
-0.62602,0.069676,0.25944,-0.52244,-0.058997,0.032466,-0.61615
-4.5436,0.043456,-1.2522,-0.16921,0.009873,-0.026451,-3.0529
-4.4955,-0.0089846,-1.3508,-0.13977,-0.093432,-0.024471,-3.3261
-0.77022,0.017236,-0.46351,-0.22808,-0.093432,-0.019654,-0.61615
-0.097271,0.017236,-0.13489,-0.13977,-0.024562,-0.019424,0.11259
-0.025169,0.017236,-0.036308,-0.051462,-0.024562,-0.027908,-0.18346
0.67182,0.33188,0.029414,-0.080898,0.83632,0.018529,0.43141
0.67182,0.41054,0.5552,-0.037499,-0.091943,0.38172,-1.2538
1.9696,0.14834,0.5552,0.020034,-0.84768,0.76668,-0.95774
1.4169,0.12212,-0.26634,0.021778,0.056415,1.4874,0.18091
-1.1548,0.227,-0.43064,-0.055158,-0.042768,1.3731,-1.8459
-1.1067,0.38432,-0.23348,-0.077954,-0.07128,-0.30286,-1.5726
-0.52988,0.7514,-0.06917,-0.003279,-0.061511,-1.2551,-0.20623
0.095,0.3581,0.22658,0.0011556,0.015714,-0.72186,0.24923
-0.67409,-0.61205,0.128,-0.031611,0.029257,-0.30286,0.18091
-1.0346,-0.79559,-0.003447,-0.057162,0.0039122,-0.45522,0.22646
-0.26551,-0.42851,0.128,-0.098584,-0.095125,0.2685,0.18091
-0.025169,-0.24497,-0.13489,-0.016604,-0.057907,0.76368,0.38587
-0.025169,-0.21875,-0.23348,0.01216,-0.038046,0.76368,0.38587
0.33534,0.43676,-0.06917,-0.0025383,-0.097518,1.1827,0.20368
-0.0011355,2.7704,-0.13489,0.4438,0.023059,-0.41713,-1.1399
-0.36164,1.7478,0.22658,1.5822,0.080544,-1.5218,-1.2082
-0.0011355,-0.84804,0.81809,2.0679,0.21648,-0.60759,0.044272
-0.0011355,-1.1102,1.0481,0.71388,0.21648,-0.60759,0.18091
-0.0011355,-1.1365,0.5552,-0.22808,0.044308,-0.41713,0.11259
-0.0011355,-0.55961,-0.2992,0.036847,0.28535,0.11614,0.272
