"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.063656,1.0247,2.7229,0.084756,0.11572,1.4096,1.0742,0.72821
0.054352,0.62246,1.2274,0.042378,0.40427,4.6295,1.4932,1.0607
0.010148,0.28212,0.14445,0.21189,1.1978,1.3149,2.0518,0.47492
0.041694,0.12742,0,0.93232,1.3781,0.46251,1.9122,0.2058
0.067073,0.096482,0,1.7375,1.5585,0.22575,2.145,0.14248
0.06786,0.065542,0,1.907,1.1617,0.13104,1.4001,0.15831
0.028323,0.065542,0.036716,1.9494,0.80102,0.17839,1.6794,0.25329
0,0.065542,0.0010709,1.1866,0.47641,0.22575,1.0742,0.15831
0.03611,0.1893,5.4851e-07,0.50854,0.29606,0.08369,1.3535,0.23746
0.044153,0.1893,4.5814e-10,0.16951,0.18786,0.08369,1.5863,0.34827
0.050881,0.99374,7.4755e-07,0.084756,0.15179,0.08369,1.9122,0.34827
0.086633,3.0048,0.0023364,0.042378,0.40427,0.13104,1.4932,0.12665
0.074917,4.2115,3.3224,0.16951,1.4142,2.3093,1.1207,0.17414
0.44465,0,3.1069,0,0.043584,1.5516,1.6328,0.2058
1.7014,0.08358,0.72201,0,0.72889,3.2563,1.6328,0.45909
1.4291,0.067278,0.14445,0.25427,1.1617,1.0781,1.9587,0.58573
1.7433,0.022584,0,0.9747,1.2338,0.22575,2.2381,0.79153
1.9737,0.050701,0,1.6527,0.98137,0.17839,2.6571,0.71238
1.6176,0.03431,0,1.1866,0.62068,0.08369,3.2158,0.63323
1.3034,0.050899,0.11015,0.9747,0.33213,0.08369,3.3554,0.33244
0.25613,0.032909,0.0011705,0.50854,0.26,0.08369,2.8899,0
0.088566,0.026625,6.6487e-07,0.12713,0.15179,0.08369,1.8656,0.079153
0.06762,0.0040832,5.0177e-10,0.042378,0.11572,0.08369,1.6794,0.063323
0.046674,0.061015,7.6363e-07,0,0.11572,0.08369,1.4466,0.17414
0.046674,0.01215,0.0023846,0,0.11572,0.08369,1.2138,0.22163
0.4237,0.09527,2.9613,0,0.043584,2.3566,0.93449,0.39577
0.84262,0.59152,2.7927,0,0.043584,1.8831,0,2.1371
4.3825,0.31306,1.0108,0,0.62068,3.9666,0.05264,5.3033
4.3615,0.15836,0.14445,0.12713,1.4503,1.2201,0.08049,4.7017
4.3615,0.12742,0,0.76281,1.6306,0.3678,0.1369,4.5909
4.571,0.065542,0,2.2884,1.7388,0.17839,0.11106,4.9233
5.3041,0.034602,0,2.5003,0.98137,0.08369,0.18627,5.145
3.796,0.065542,0.18358,2.1189,0.51248,0.2731,0.10623,4.2426
0.75884,0.034602,0.0012203,1.1018,0.29606,0.13104,0.083705,2.2321
0.1514,0.034602,5.9007e-07,0.59329,0.18786,0.08369,0.10535,2.0896
0.046674,0.034602,4.3633e-10,0.33902,0.079653,0.08369,0.061947,1.9788
0.046674,0.034602,7.154e-07,0.12713,0.043584,0.08369,0.054991,1.773
0.046674,0.034602,0.0022642,0.084756,0.043584,0.08369,0.074267,1.9947
0.9264,0.37494,2.853,0,0.043584,1.8831,0.15505,2.5804
0.27708,1.1484,2.8975,0.042378,0.01166,0.058629,2.6571,0.37994
1.1568,3.2214,0.86641,0.042378,0.085411,0.083725,1.726,0.34827
0.46559,3.3452,0.28891,0.084756,0.10277,0.04733,1.0742,0.094984
0.21424,3.1286,0.072227,0.16951,0.041703,0.089723,0.42236,0.094984
0.21424,2.2004,0,0.16951,0,0.16409,0.37581,0.11081
0.36086,1.6125,0,0.3814,0.069529,0.10434,0.32925,0.079153
0.48654,1.2413,0.036716,0.3814,0.11586,0.1049,0.28269,0.28495
0.10951,0.77716,0.0012701,0.80518,0.049114,0.16585,0.37581,0.22163
0.046674,0.40588,5.9838e-07,0.55091,0.0086597,0.096359,0.42236,0.34827
0.046674,0.25118,4.636e-10,0.3814,0.0089291,0.11687,0.7017,0.50658
0.046674,0.1893,7.3147e-07,0.21189,0.049265,0.09835,1.2138,0.60156
0.046674,0.12742,0.0022642,0.084756,0.045772,0.1053,1.726,0.7757
0.48654,0.43682,3.0335,0.084756,0.1217,0,1.8191,0.99733
0.046674,0.8081,0,0.042378,0.079653,0.08369,1.6328,0.11081
0.046674,1.396,0,0.042378,0.043584,0.08369,1.2138,0.047492
0.046674,2.3551,0,0,0.29606,0.22575,1.0742,0.094984
0.046674,4.0568,0,0.042378,0.83709,0.2731,0.84137,0.12665
0.046674,3.3761,0,0.12713,1.9913,0.17839,0.65515,0.047492
0.046674,2.3551,0,1.0595,3.1455,0.3678,0.37581,0.031661
0.046674,1.891,0,2.3732,3.0733,0.46251,0.23614,0.079153
0.046674,0.90092,0,1.6951,3.398,0.32045,0.23614,0.14248
0.046674,0.46776,0,2.2037,3.2537,0.3678,0.28269,0.25329
0.046674,0.31306,0,2.4155,2.8569,0.46251,0.28269,0.60156
0.046674,0.28212,0,1.9918,2.1356,0.17839,0.60859,0.87069
0.046674,0.28212,0,1.3985,1.0896,0.17839,1.8191,0.96567
0.046674,0.15836,0,0.76281,0.72889,0.08369,2.3312,0.49075
0.25613,3.7784,2.8975,0.042378,0.76496,1.8831,0.93449,0.063323
0.71694,2.2004,0.86641,0.59329,2.5684,3.6351,0.74826,0.18997
0.59127,0.8081,0.14445,2.2037,4.0472,1.599,0.74826,0.14248
0.94735,0.28212,0,3.6869,4.7325,0.3678,0.56203,0.33244
1.4919,0.15836,0,3.9412,3.7226,0.3678,0.88793,0.94984
1.9528,0.096482,0,4.0259,2.7127,0.17839,1.726,1.4564
1.5338,0.065542,0.14686,4.7887,1.7388,0.22575,2.6571,0.93401
0.21424,0.065542,0.0010958,3.7716,1.2338,0.08369,3.1692,0.25329
0.046674,0.034602,5.2358e-07,1.7375,0.80102,0.08369,3.3089,0.18997
0.046674,0.034602,4.4723e-10,0.80518,0.54854,0.08369,2.8433,0.063323
0.046674,0.034602,7.2344e-07,0.25427,0.33213,0.08369,2.145,0.063323
0.046674,0.15836,0.0022642,0,0.26,0.08369,1.3069,0.14248
0.36086,0.46776,2.8168,0,0.15179,1.2201,1.4001,0.53824
0.48654,1.1794,3.1069,0,0.043584,1.6937,1.0742,0.63323
1.5967,0.83904,1.0112,0,0.72889,3.7298,0.88793,0.68072
1.094,0.56058,0.072227,0.25427,1.7027,0.93603,1.1207,0.4116
1.5129,0.28212,0,0.93232,2.2077,0.22575,1.4001,0.82319
1.7433,0.12742,0,2.797,1.7749,0.13104,1.726,1.2506
1.7642,0.034602,0,2.9665,1.2338,0.13104,3.1692,1.1081
1.3663,0.034602,0,1.9494,0.83709,0.13104,4.2866,0.45909
1.1778,0.034602,0,1.4409,0.58461,0.08369,3.8676,0.18997
0.86356,0.034602,0,1.1018,0.26,0.08369,3.6813,0.094984
1.1987,0.12742,0,0.46616,0.11572,0.08369,3.1692,0.079153
1.1778,0.096482,0,0.12713,0.043584,0.08369,2.2846,0.25329
1.3872,0.4987,0,0.042378,0.043584,0.08369,1.7725,0.33244
1.1568,0.93186,0,0.042378,0.11572,0.08369,1.1673,0.25329
0.48654,3.469,2.8626,0.084756,0.22393,1.6937,1.1207,0.12665
0.50748,1.9529,0.72178,0.084756,1.2699,3.7298,0.74826,0.23746
0.86356,0.77716,0.2227,0.80518,3.1094,1.8357,0.46892,0.17414
0.1933,0.43682,0.0012986,2.2037,3.1455,0.65192,0.23614,0.2058
0.046674,0.31306,5.7784e-07,2.6274,2.6766,0.50986,0.79482,0.55407
0.046674,0.25118,2.3529e-10,1.3561,2.1716,0.32045,1.3535,0.7757
0.046674,0.1893,8.3267e-14,1.0595,1.5945,0.22575,1.6328,0.66489
0.046674,0.1893,0,0.84756,1.1978,0.13104,1.8191,0.34827
0.046674,0.15836,8.7652e-14,0.55091,0.65675,0.17839,1.6794,0.25329
0.046674,0.25118,2.6816e-10,0.25427,0.29606,0.13104,1.4001,0.28495
0.046674,0.77716,8.0382e-07,0.042378,0.079653,0.08369,1.4932,0.31661
0.046674,1.1175,0.0024087,0.042378,0.043584,0.08369,1.4001,0.33244
0.38181,1.1794,3.2141,0,0.079653,2.0251,1.1207,0.52241
0.38181,1.7982,3.0022,0,0.26,1.4096,0.98104,0.23746
1.3663,0.56058,0.86641,0,1.5224,3.3984,0.79482,0.42743
1.7852,0.1893,0.21661,0.88994,2.2077,1.3149,0.93449,0.83902
1.5548,0.15836,0.18508,1.9918,2.388,0.88868,1.5863,0.9815
0.33992,0.15836,0.0011142,1.7799,1.5585,0.2731,2.564,0.49075
0.06762,0.065542,5.6619e-07,0.9747,0.90923,0.08369,1.9587,0.52241
0.046674,0.096482,2.509e-10,0.46616,0.51248,0.13104,2.7502,0.44326
0.046674,0.344,8.7097e-14,0.12713,0.26,0.08369,1.8656,0.2058
0.046674,0.83904,8.4932e-14,0.042378,0.26,0.08369,1.8656,0.14248
0.046674,1.5816,2.6011e-10,0.084756,0.26,0.08369,1.2138,0.094984
0.046674,1.9219,7.8774e-07,0.16951,0.58461,0.22575,1.0276,0.031661
0.046674,2.1385,0.0023846,0.16951,1.2699,0.22575,1.0742,0.015831
0.31897,2.1076,3.0696,0.63567,2.0634,1.9778,0.7017,0.18997
0.36086,1.7054,2.7927,0.084756,0.44034,1.4096,1.4932,0.094984
1.1568,1.0866,1.0108,0.084756,1.0174,3.4931,0.98104,0.30078
0.82167,0.46776,0,0.63567,2.0634,1.1728,0.93449,0.22163
1.2825,0.22024,0,1.229,2.388,0.22575,0.7017,0.55407
1.2406,0.096482,0.2215,2.4579,1.7749,0.22575,0.88793,0.66489
0.1933,0.034602,0.00095692,1.3985,1.3421,0.13104,1.9122,0.45909
0.046674,0.065542,4.9582e-07,0.67805,0.83709,0.08369,2.7968,0.64906
0.046674,0.065542,2.2428e-10,0.33902,0.54854,0.08369,2.983,0.39577
0.046674,0.1893,1.5871e-13,0.12713,0.22393,0.08369,3.1692,0.14248
0.046674,0.52964,2.5207e-10,0,0.15179,0.08369,3.4485,0.079153
0.046674,1.3341,7.7166e-07,0.042378,0.18786,0.08369,2.4243,0.031661
0.046674,2.8501,0.0023846,0.042378,0.33213,0.08369,1.726,0.031661
0.33992,3.1595,2.853,0.12713,1.2338,1.741,1.0276,0.15831
0.36086,1.4578,3.0022,0,0.11572,1.5516,1.5863,0.15831
1.2615,0.71528,0.93861,0.084756,0.80102,4.0613,1.1673,0.26912
1.3663,0.28212,0.072227,0.3814,1.6306,0.88868,1.0742,0.23746
1.2825,0.096482,0,1.1018,2.0634,0.08369,1.1673,0.31661
1.6595,0.12742,0,2.2037,1.1256,0.08369,1.4932,0.52241
1.6805,0.12742,0,1.9494,0.72889,0.08369,1.6794,0.58573
1.7223,0.096482,0,1.6104,0.3682,0.08369,2.3312,1.1081
1.7433,0.065542,0,1.1866,0.18786,0.08369,2.8899,0.63323
2.0156,0.065542,0,0.63567,0.15179,0.08369,4.24,0.82319
1.2825,0.096482,0.14566,0.25427,0.11572,0.08369,4.0072,0.39577
0.1933,0.46776,0.0010045,0.12713,0.11572,0.08369,3.3089,0.18997
0.088566,1.6435,0.0016144,0.042378,0.079653,0.08369,2.7968,0.2058
0.31897,2.6645,2.564,0,0.15179,1.3149,2.2381,0.11081
