"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.052257,1.663,0.27318,3.0515,0.085917,0.030477,0.17288,1.4387,2.2686,0.12614
0.059976,2.9977,1.2748,1.321,0.057278,0.46153,2.3887,1.4387,2.0198,0.25228
0.11833,1.8248,2.1854,0.29365,0.20047,1.8122,3.1172,0.90977,1.398,0.14908
0.018392,0.97545,2.1854,0.073413,1.1456,2.4157,2.3583,0.66935,0.77616,0.38989
0.052307,0.61144,1.6391,0,2.0334,2.818,1.3567,0.90977,0.65179,0.83713
0.06543,0.49011,1.457,0,2.2911,3.1053,1.0531,2.16,0.90053,1.1009
0.10848,0.40922,1.0017,0.074637,2.6061,1.7547,0.38536,3.7467,1.7711,0.68805
0.10522,0.28788,0.72848,0.0011897,2.2625,0.4328,0.051469,3.8429,3.0148,0.43576
0.064847,0.24744,0.63742,6.4199e-07,2.0334,0.26037,0.081823,3.2178,3.2635,0.21788
0.15539,0.24744,0.63742,4.823e-10,1.3174,0.2029,0.051469,2.9774,4.1341,0.068805
0.021776,0.32833,0.54636,7.5166e-07,0.68733,0.11669,0.051469,2.4004,4.0097,0.057337
0,0.73278,0.36424,0.0023014,0.34367,0.030477,0.051469,1.7753,3.5123,0.068805
0.033593,1.5821,0.4553,2.753,0.14319,0.11669,0.20324,1.3425,3.0148,0.16054
0.1446,0.05631,0,2.7321,0.028639,0.059214,0.17288,2.4965,2.6417,0.26375
0.19818,0.023959,0,0.95403,0,0.14543,2.9958,2.4485,2.7661,0.28669
0.1446,0.085258,0,0.22024,0.057278,0.72017,3.3904,2.3523,2.1442,0.24082
0.19818,0.058213,0,0,0.34367,1.2949,2.5101,2.3523,1.5224,0.26375
0.25175,0.054567,0,0,0.71597,1.9559,1.2656,2.4965,1.8955,0.25228
0.19818,0.02004,0,0,1.3747,2.1858,0.65854,1.4868,2.0198,0.26375
0.3589,0.096731,0,0.22391,2.1479,1.3524,0.26394,1.5349,1.5224,0.68805
1.6447,0.10939,0,0.0011644,1.7756,0.31785,0.051469,1.4868,1.6467,0.72245
