"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.052581,2.2438,3.0515,0,0.21825,1.6407,0.5563,0.23429
0.038131,1.2115,1.321,0,1.2021,4.6831,0.371,0.23429
0.053259,0.36129,0.29365,0.90785,2.7597,1.7811,0.40806,0.43512
0.047643,0.14875,0.073413,2.1561,2.8144,0.84496,0.63042,0.97065
0.040078,0.088027,0,2.8938,2.4045,0.14287,1.5198,1.7572
0.010109,0.088027,0,3.2342,1.5846,0.096061,3.0393,0.83677
0,0.088027,0.074637,3.0072,1.1201,0.096061,3.8175,0.20082
0.0087982,0.11839,0.0011897,1.5604,0.79214,0.14287,3.3357,0.050206
0.039152,0.11839,6.4199e-07,0.90785,0.4642,0.14287,2.4834,0.050206
0.062007,0.23984,4.823e-10,0.48229,0.32756,0.14287,1.7051,0
0.033284,0.69529,7.5166e-07,0.2837,0.16359,0.096061,1.4087,0.016735
0.055759,1.09,0.0023014,0.02837,0.10894,0.14287,1.1492,0.15062
0.0030626,2.4867,2.753,0,0.32756,1.313,0.81572,0.25103
0.2055,0.069806,2.7321,0,0.054283,1.313,1.4457,0.20082
1.6246,0.11473,0.95403,0,0.51886,3.747,1.2234,0.46859
1.3493,0.16004,0.22024,0.19859,1.3387,1.4066,1.2604,0.26777
1.1375,0.075887,0,0.85111,1.53,0.23648,1.1492,0.53553
1.0951,0.035292,0,1.5887,1.6393,0.096061,1.1492,0.23429
1.3705,0.068112,0,1.8724,1.284,0.096061,1.1492,0.71962
1.6035,0,0.22391,2.1561,0.4642,0.3769,1.3716,1.1547
0.24786,0.067223,0.0011644,1.0497,0.24558,0.096061,2.5575,0.33471
0.057226,0.1266,6.0821e-07,0.62414,0.21825,0.096061,2.5204,0.31797
0.036045,0.13533,4.6012e-10,0.25533,0.13627,0.096061,2.3722,0.15062
0.036045,0.069627,7.7617e-07,0.11348,0.10894,0.096061,2.4093,0.10041
0.036045,0.040919,0.0023993,0.05674,0.08161,0.096061,1.8534,0.016735
0.35376,0.099438,3.12,0,0.08161,1.7343,1.1492,0.16735
0.90448,0.36129,2.9805,0,0.054283,1.6875,0,2.594
4.3358,0.33093,0.88064,0,0.38222,3.4193,0.065641,4.7026
4.2723,0.11839,0.073413,0.085111,1.0108,1.0322,0.062397,4.05
4.823,0.088027,0.073413,0.36881,1.1474,0.47051,0.14335,4.4683
4.6324,0.088027,0,1.0497,0.79214,0.23648,0.034895,4.9871
4.7383,0.088027,0,1.5036,0.43687,0.14287,0.11595,4.87
4.0817,0.14875,0.14927,1.2767,0.32756,0.18967,0.064668,4.5353
0.73503,0.11839,0.00088594,0.42555,0.30023,0.18967,0.088398,2.6274
0.12077,0.11839,5.2373e-07,0.11348,0.21825,0.096061,0.039046,2.0919
0.057226,0.11839,4.4903e-10,0.02837,0.10894,0.096061,0.067462,2.1756
0.036045,0.11839,7.1081e-07,0,0.10894,0.096061,0.018334,2.1756
0.036045,0.11839,0.0023503,0,0.08161,0.096061,0.038495,2.0417
0.62912,0.48275,3.1935,0.02837,0.054283,1.2662,0.034547,2.4936
0.62912,0.57383,2.9096,0.48229,0.067246,0.0044731,0.40806,1.1213
2.366,0.63456,1.2476,0.51066,0.09333,0.14739,0.77866,1.7907
1.8788,0.69529,0.29365,0.25533,0.10791,0.11454,1.8534,1.2551
1.3493,0.87746,0,0.14185,0.06257,0.12264,2.1128,0.43512
0.90448,1.1204,0,0.05674,0.05599,0.051041,1.5569,0.10041
0.8833,1.7276,0,0.085111,0.079974,0.072418,0.88983,0.2845
0.9892,1.5151,0.11196,0.25533,0.077511,0.10579,0.85277,0.2845
0.29022,0.99892,0.0011138,0.19859,0.071075,0.14557,0.59336,0.41838
0.078407,0.57383,6.251e-07,0.25533,0.044891,0.14449,0.40806,0.45185
0.057226,0.48275,4.823e-10,0.31207,0,0.049659,0.85277,0.55227
0.057226,0.2702,7.5166e-07,0.14185,0.049924,0.099167,1.1492,0.73635
0.036045,0.20948,0.0022769,0.11348,0.031737,0.031331,1.594,0.83677
0.35376,0.75601,2.7163,0.085111,0.068016,0,2.2981,0.88697
0.036045,3.3976,0,0,0.4642,0.096061,1.1863,0
0.036045,2.76,0,0.2837,1.5573,0.14287,0.81572,0
0.036045,2.3956,0,0.70926,2.4045,0.42371,0.59336,0.033471
0.036045,1.4544,0,1.1915,2.2405,0.47051,0.22277,0.13388
0.036045,1.0596,0,1.1915,2.2132,0.51732,0.18571,0.11715
0.036045,0.78638,0,0.93622,2.2952,0.89177,0.33394,0.33471
0.036045,0.39166,0,1.1348,2.1312,0.42371,0.51924,0.30124
0.036045,0.23984,0,0.93622,1.5573,0.28329,0.48218,0.569
0.036045,0.23984,0,0.82274,1.0381,0.42371,0.77866,0.70288
0.036045,0.17912,0,0.59577,0.81946,0.18967,0.92689,0.70288
0.036045,0.17912,0,0.48229,0.43687,0.18967,1.0381,0.78656
0.036045,0.23984,0,0.22696,0.43687,0.18967,0.96395,0.65268
0.036045,0.42202,0,0.085111,0.43687,0.14287,1.4828,0.16735
0.24786,4.0656,2.9805,0.05674,0.73748,1.7343,0.7416,0.11715
0.86212,1.6365,1.0274,0.2837,1.8033,4.2618,0.44512,0.38491
0.60794,0.63456,0.22024,1.1915,2.6504,1.0322,0.40806,0.16735
0.79857,0.42202,0,2.4682,3.1697,0.42371,0.33394,0.16735
1.2857,0.17912,0,2.6952,2.6778,0.28329,0.371,0.95391
1.8153,0.088027,0,2.7803,1.8579,0.23648,1.1492,2.0417
1.9635,0.11839,0.14927,2.3547,1.3114,0.23648,2.7799,1.5899
0.24786,0.088027,0.001215,1.5887,0.79214,0.23648,4.9664,0.45185
0.057226,0.088027,5.7442e-07,0.70926,0.51886,0.096061,4.744,0.016735
0.036045,0.11839,4.7121e-10,0.17022,0.27291,0.096061,3.5952,0.016735
0.036045,0.66492,7.5166e-07,0.085111,0.16359,0.096061,2.6316,0
0.036045,1.9402,0.0023993,0.02837,0.054283,0.096061,1.8904,0.016735
0.26904,3.6405,3.2669,0,0.54619,1.8279,1.1492,0.083677
0.2055,4.9157,2.8741,0.085111,0.57351,1.5471,1.4087,0.15062
0.41731,1.5455,0.66072,0.45392,2.7324,3.4193,0.85277,0.31797
0.45967,0.63456,0.073413,1.8724,3.4976,0.98538,0.40806,0.083677
0.86212,0.2702,0,2.5533,3.6069,0.3769,0.33394,0.23429
1.2646,0.11839,0,3.2626,2.7597,0.28329,0.51924,0.78656
2.0695,0.088027,0,4.1421,1.9672,0.14287,1.0381,1.4727
1.8576,0.088027,0,3.4612,0.9561,0.096061,2.6687,1.2384
1.5823,0.088027,0,2.7235,0.54619,0.096061,4.5587,0.43512
1.1798,0.088027,0,2.4682,0.40955,0.096061,4.5958,0.16735
0.75621,0.088027,0,1.9008,0.24558,0.096061,3.4469,0.016735
0.79857,0.088027,0,1.4753,0.21825,0.096061,2.1128,0
0.79857,0.088027,0,0.90785,0.13627,0.096061,1.4087,0.033471
1.2857,0.11839,0,0.34044,0.10894,0.096061,1.0381,0.21756
0.24786,1.6062,2.9096,0.05674,0.16359,1.4534,1.0381,0.38491
1.2434,0.75601,1.1738,0.02837,0.62817,4.215,0.7416,0.40165
1.3069,0.39166,0.075453,0.42555,1.7213,1.4066,0.70454,0.41838
0.2055,0.30057,0.0011647,0.70926,1.448,0.47051,1.1492,0.5188
0.057226,0.2702,6.3916e-07,0.42555,0.6555,0.18967,1.2604,0.40165
0.036045,0.20948,2.478e-10,0.17022,0.51886,0.096061,1.0381,0.36818
0.036045,0.20948,8.6542e-14,0.14185,0.40955,0.096061,1.1492,0.35144
0.036045,0.30057,0,0.02837,0.32756,0.14287,1.0381,0.50206
0.036045,0.69529,8.7264e-14,0.02837,0.19092,0.096061,1.1122,0.43512
0.036045,0.8471,2.6438e-10,0.02837,0.24558,0.14287,1.4828,0.2845
0.036045,1.4544,7.9251e-07,0,0.16359,0.18967,1.1863,0.15062
0.036045,1.8794,0.0023993,0.05674,0.35489,0.14287,0.70454,0.11715
0.18431,2.0313,3.1567,0.05674,0.6555,1.5471,0.51924,0.13388
0.45967,1.5455,2.945,0.02837,0.10894,1.7811,0.92689,0.23429
1.0527,0.8471,0.66048,0.02837,0.6555,4.0278,0.51924,0.38491
1.3493,0.36129,0.14678,0.34044,1.3934,1.313,0.59336,0.92044
1.7941,0.14875,0.26337,0.90785,1.7759,0.51732,1.1863,1.2049
0.39613,0.088027,0.0012869,0.87948,1.0927,0.18967,2.224,0.40165
0.14195,0.14875,6.0984e-07,0.59577,0.68282,0.096061,2.2981,0.26777
0.036045,0.2702,2.407e-10,0.31207,0.40955,0.096061,2.1499,0.20082
0.036045,0.96855,8.5654e-14,0.17022,0.19092,0.096061,1.9275,0.15062
0.036045,2.3653,8.8152e-14,0.085111,0.16359,0.096061,1.3716,0.11715
0.036045,3.428,2.7256e-10,0.05674,0.62817,0.18967,1.1492,0.11715
0.036045,3.5494,8.1702e-07,0.17022,1.7213,0.14287,0.63042,0.050206
0.036045,2.2742,0.0024483,0.53903,2.7324,0.28329,0.48218,0.016735
0.22668,1.424,3.1935,1.3618,2.9237,1.8747,0.33394,0.10041
0.099589,4.7032,3.0515,0.02837,0.71015,1.7343,1.1122,0.066941
0.58676,2.0009,1.1008,0.62414,2.7051,4.0746,0.70454,0.25103
0.35376,0.57383,0.14683,1.532,4.2081,1.4066,0.33394,0.15062
0.69267,0.2702,0.073389,2.7519,4.1535,0.56413,0.25983,0.2845
1.2857,0.14875,0.22514,4.1137,3.7982,0.65774,0.33394,1.0543
0.3114,0.088027,0.0011006,4.1137,2.951,0.23648,0.81572,0.76983
0.057226,0.088027,5.5521e-07,2.7803,2.0219,0.28329,1.4087,0.97065
0.036045,0.088027,2.2796e-10,1.6738,1.2567,0.14287,1.8534,0.60247
0.036045,0.11839,1.6132e-13,1.3901,1.0108,0.096061,1.631,0.35144
0.036045,0.14875,2.5075e-10,0.65251,0.60084,0.096061,1.7422,0.36818
0.036045,0.17912,7.9251e-07,0.2837,0.38222,0.096061,1.4087,0.26777
0.036045,0.69529,0.0023993,0.17022,0.24558,0.14287,1.3716,0.10041
0.35376,1.8794,2.9732,0.11348,0.19092,1.6407,1.0751,0.20082
0.16313,1.0293,2.7321,0.02837,0.13627,1.6875,1.4828,0.31797
1.2646,0.36129,0.88064,0.05674,0.62817,3.0917,1.0381,0.45185
1.0951,0.20948,0,0.22696,0.9561,0.79816,0.96395,0.43512
1.2434,0.14875,0,0.22696,1.1474,0.18967,1.4828,0.48532
1.7094,0.11839,0,0.766,0.81946,0.096061,1.4087,0.61921
1.8788,0.14875,0,1.0213,0.49153,0.096061,1.7793,0.8033
1.6246,0.088027,0,0.53903,0.35489,0.096061,1.9646,0.78656
1.2646,0.2702,0,0.22696,0.19092,0.096061,2.7428,0.43512
1.2434,0.63456,0,0.11348,0.16359,0.096061,2.1869,0.18409
1.1587,0.93819,0.18506,0.11348,0.16359,0.28329,1.6681,0.20082
0.14195,2.0616,0.0010459,0.11348,0.27291,0.18967,1.0751,0.066941
0.036045,2.6992,0.0015429,0.085111,0.57351,0.33009,0.7416,0.20082
0.099589,1.7884,2.0923,0.17022,0.98343,1.7811,0.59336,0.26777
