"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.18659,0.98203,0.28388,2.7229,0.39682,0.16785,0.22129,1.1264,2.0514,0.4795
0,1.2236,0.47313,1.2274,0.29762,0.37974,2.6655,1.5555,1.2301,0.79917
0.13428,1.0223,0.757,0.14445,0.24801,0.93064,2.9588,2.1072,1.5039,0.66393
0.20388,1.0223,0.66238,0,0.39682,1.4392,1.8834,2.8428,1.5039,0.46721
0.1409,0.74044,0.66238,0,1.0417,2.1596,1.3619,3.0267,1.5039,0.35655
0.20144,0.49885,0.66238,0,1.9841,1.9901,0.74272,3.088,1.367,0.19672
0.076798,0.33779,0.757,0.036716,2.4305,1.9477,0.41683,2.5976,1.2301,0.28278
0.24883,0.25726,0.56775,0.0010709,1.4385,0.50687,0.090932,2.3524,1.7776,0.27049
0.11568,0.17673,0.3785,5.4851e-07,0.99205,0.25261,0.058343,1.862,1.9145,0.31967
0.14207,0.13647,0.28388,4.5814e-10,0.54563,0.16785,0.058343,2.2298,1.6407,0.30737
0.28064,0.61965,0.28388,7.4755e-07,0.19841,0.21023,0.058343,1.862,2.4621,0.35655
0.20381,1.8678,0.56775,0.0023364,0.099205,0.29498,0.090932,2.7202,3.4203,0.20901
0.088855,2.5926,1.514,3.3224,0.099205,0.54925,0.38424,2.0459,3.5571,0.17213
0.20631,0.11712,0,3.1069,0.049603,0.16785,0.25388,2.7202,2.0514,0.036885
0.44761,0.0795,0,0.72201,0.049603,0.29498,2.7959,2.6589,2.4621,0.31967
0.26664,0.11362,0,0.14445,0.099205,1.0154,3.1869,2.2298,2.4621,0.41803
0.26664,0.086707,0,0,0.49603,1.4815,2.1441,1.862,3.0096,0.51639
0.26664,0.069525,0,0,1.1905,1.3968,1.0686,1.9846,2.8727,0.56557
0.32696,0.12857,0,0,1.6369,1.3544,0.5146,2.7815,2.3252,0.67622
0.56826,0.084433,0,0.11015,1.6865,0.76113,0.090932,2.9654,2.3252,0.61475
2.9812,0.050955,0,0.0011705,0.99205,0.37974,0.058343,3.4558,2.4621,0.35655
2.8606,0.11762,0,6.6487e-07,0.54563,0.21023,0.058343,3.3332,2.7358,0.22131
1.9557,0.14573,0,5.0177e-10,0.39682,0.29498,0.058343,2.9041,3.4203,0.11065
1.5938,0,0,7.6363e-07,0.24801,0.25261,0.058343,2.3524,3.5571,0.09836
0.74923,0.094944,0,0.0023846,0.049603,0.16785,0.058343,2.475,3.1465,0.036885
0.38729,0.098257,0,2.9613,0.049603,0.16785,0.28647,2.0459,3.2834,0.11065
0.93021,0.13647,0,2.7927,0.14881,0.16785,0.12352,0.021227,0.15514,2.3606
1.0509,0.37806,0,1.0108,0.099205,0.25261,2.6655,0,0.14211,3.627
1.4128,0.41832,0,0.14445,0.049603,0.84588,3.0566,0.1111,0.096836,4.2418
1.4731,0.41832,0,0,0.34722,1.4815,2.1115,0.10717,0.034587,4.4877
2.016,0.33779,0.094626,0,0.99205,2.2443,1.1012,0.0051596,0.20046,4.3401
3.2829,0.25726,0.094626,0,2.0337,1.9901,0.61236,0.13681,0.088371,4.8073
3.0416,0.25726,0.094626,0.18358,3.0754,1.3544,0.25388,0.10765,0.24795,4.9303
6.1181,0.217,0,0.0012203,2.4305,0.67638,0.15611,0.0885,0.081886,4.2786
5.8768,0.13647,0,5.9007e-07,1.2897,0.25261,0.058343,0.098423,0.12615,3.4426
4.248,0.13647,0,4.3633e-10,1.0417,0.21023,0.058343,0.040599,0.20599,2.9139
3.4638,0.13647,0,7.154e-07,0.54563,0.16785,0.058343,0.17588,0.18768,2.5451
2.378,0.13647,0,0.0022642,0.29762,0.16785,0.058343,0.1198,0,2.1885
0.93021,0.25726,0,2.853,0.29762,0.16785,0.25388,0.046913,0.14675,2.1762
0.14599,0.53912,0.757,2.8975,0,0.23421,0.096249,2.7202,1.5039,0.31967
0.14599,2.0692,0.757,0.86641,0,0.1504,0.11311,2.6589,1.7776,0.43032
0.14599,3.6798,1.6086,0.28891,0,0.18347,0.063888,1.9233,1.6407,0.33196
0.14599,4.8072,2.6495,0.072227,0.099205,0.19404,0.074612,1.6168,1.5039,0.14754
0.14599,4.5253,3.5011,0,0.29762,0.1051,0.089647,1.1264,1.5039,0.036885
0.14599,4.0824,3.5958,0,0.44642,0.13635,0.10927,0.69732,0.95631,0.012295
0.14599,2.5926,4.2582,0.036716,0.39682,0.17703,0.055392,0.81992,0.54565,0.07377
